Gene = GlyP
index = 1192
Annotated 5SS: [ 442 4155 5832]
Annotated 3SS: [3625 4224 5917]
SMsplice 5SS: [ 442 4155 5832]
SMsplice 3SS: [3625 4224 5917]
top_k =  100
Partition function (log Z): -1.014845369588605

Sorted 5' Splice Sites (High to Low Probability):
Position 442: 0.9983809343942155
Position 5832: 0.9819178456859955
Position 4155: 0.8752958456394098
Position 5154: 0.34001602873163794
Position 2959: 0.09656170212904437
Position 3485: 0.05243213611560703
Position 2930: 0.016749178957879512
Position 5676: 0.00711447402472431
Position 4027: 0.003426087028114443
Position 262: 0.0016093605229374718
Position 3055: 0.0011621369434071367
Position 6197: 7.923644884669058e-05
Position 4419: 7.391413577348088e-05
Position 391: 9.705121695396576e-06
Position 4816: 9.597377463346056e-09
Position 4909: 9.483829484131208e-09
Position 4452: 7.4297582875697105e-09
Position 52: 9.438262137138402e-12
Position 46: 4.534486545848995e-12
Position 280: 2.024646339614042e-12
Position 244: 5.89435347171889e-13
Position 107: 5.447477199134379e-13
Position 58: 4.948109836225004e-13
Position 36: 1.6414075951330464e-13
Position 319: 1.0209815982650138e-13
Position 33: 6.24902987061826e-14
Position 40: 4.548685079362434e-14
Position 63: 3.528028303761779e-14
Position 76: 3.414588503181147e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 5917: 0.9990012949246835
Position 3625: 0.8295042813259162
Position 4224: 0.7891080068022231
Position 5221: 0.4345490354805656
Position 2675: 0.1570318787230415
Position 5153: 0.05096225974681695
Position 3288: 0.028135920495802623
Position 2647: 0.018568627002506888
Position 4247: 0.01681582917028666
Position 3596: 0.009453129418904386
Position 3473: 0.008364193208227988
Position 3700: 0.006187310111905314
Position 3892: 0.004524483294628929
Position 3007: 0.004325725548622017
Position 3889: 0.00391751496770572
Position 2514: 0.0037697460759036185
Position 3570: 0.0025088997019779378
Position 2800: 0.0015498486544174293
Position 2710: 0.0015080844357746833
Position 2783: 0.0014584444822604266
Position 2691: 0.001395373479593716
Position 2622: 0.0010492073647567644
Position 2870: 0.000767712506970328
Position 5964: 0.00020763473237702323
Position 6241: 7.923644884669058e-05
Position 2897: 4.2075220722530794e-05
Position 2331: 4.1515543711426384e-05
Position 504: 4.610398241531369e-07
Position 507: 3.605415001918095e-07
Position 1100: 3.1326520661935396e-07
Position 1174: 2.0863572369333235e-07
Position 324: 3.522714380720213e-11
Position 237: 1.5241333088970317e-11
Position 347: 4.0609348262767154e-12
Position 381: 2.3895999341429366e-12
