Gene = ebi
index = 1689
Annotated 5SS: [ 380 1644]
Annotated 3SS: [ 444 1721]
SMsplice 5SS: [ 380 1644]
SMsplice 3SS: [ 444 1721]
top_k =  100
Partition function (log Z): 0.90257513660707

Sorted 5' Splice Sites (High to Low Probability):
Position 1644: 0.9989106283584616
Position 380: 0.998437127777671
Position 2809: 0.15661956975746708
Position 2511: 0.15043041256478842
Position 2289: 0.10803628173367094
Position 2650: 0.041537548717590876
Position 1300: 0.037549203968523265
Position 2031: 0.02126390575989953
Position 2882: 0.010290512882726036
Position 1269: 0.009692469066439901
Position 2411: 0.009184715557332397
Position 2665: 0.0061789290848479304
Position 2024: 0.006101616714813564
Position 496: 0.005460834736378742
Position 651: 0.002600194721985673
Position 582: 0.0021188663326066758
Position 861: 0.0018464626974446312
Position 3287: 0.0015296226882016183
Position 1290: 0.0008442450470694906
Position 1360: 0.0008003470102241231
Position 1504: 0.0007891916326127541
Position 384: 0.0005815652387824787
Position 1249: 0.00028167001724487304
Position 1996: 0.0002416358720256456
Position 2029: 0.0002028765479601757
Position 2016: 0.00017483033040935762
Position 1003: 0.00017331558525145345
Position 180: 0.0001328280804329937
Position 1648: 0.00011033921761344657
Position 343: 0.00010121190844425617
Position 600: 9.321049981464328e-05
Position 240: 6.706224445656156e-05
Position 1819: 6.351295906982654e-05
Position 570: 5.6495464480795555e-05
Position 1605: 5.469222910477287e-05
Position 141: 4.814876436994141e-05
Position 1847: 4.0584122249288956e-05
Position 575: 3.749542309588322e-05
Position 223: 2.171943670502629e-05
Position 208: 1.6327812989612014e-05
Position 210: 1.3064040921239588e-05
Position 2073: 1.074266512652523e-05
Position 50: 5.302926375927027e-06
Position 282: 5.270450786057311e-06
Position 290: 5.000060706814913e-06
Position 22: 3.927096483259823e-06
Position 165: 3.765851425414576e-06
Position 796: 3.4141650221315796e-06
Position 293: 3.3107143275922983e-06
Position 189: 3.03041726786285e-06
Position 72: 1.6119150451226076e-06
Position 270: 1.4754312333469957e-06
Position 1942: 8.852340026596374e-07
Position 150: 7.010472499469736e-07
Position 1679: 4.258297509103306e-07
Position 1458: 3.2311637040147944e-07
Position 59: 3.055828251570869e-07
Position 35: 2.6492209449384937e-07
Position 772: 2.3580084427356088e-07
Position 314: 8.075007334226241e-08
Position 375: 4.6554071754899725e-08
Position 319: 4.298486698560968e-08
Position 355: 2.0339341558873186e-08
Position 672: 2.2557573922533924e-09
Position 1565: 1.276800376317008e-09
Position 1257: 1.2189400367409112e-09
Position 976: 2.607731096633663e-10
Position 1434: 1.9996153889508306e-10
Position 326: 9.677990350074247e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1721: 0.9975347893623377
Position 444: 0.9929061115970829
Position 3187: 0.21535056726133212
Position 2741: 0.05327190170012872
Position 2939: 0.050060023244554594
Position 1354: 0.04586714793628199
Position 2872: 0.04561810860016152
Position 2099: 0.02810096889130267
Position 2881: 0.02476328760436652
Position 3133: 0.022448768068765213
Position 2346: 0.020668990252120004
Position 3010: 0.019023067653625332
Position 3455: 0.012571936332017359
Position 548: 0.007229318116979964
Position 1565: 0.005956001484992153
Position 3167: 0.005371074297348996
Position 2339: 0.004629989432693386
Position 1330: 0.004158715544288568
Position 2401: 0.0034576008108151168
Position 2779: 0.0028867508786115654
Position 2744: 0.0021458820600449365
Position 1750: 0.001718435605841853
Position 633: 0.0013122786368987864
Position 1427: 0.0007969745693801827
Position 1203: 0.0006736267768070339
Position 2638: 0.0006610454474585414
Position 1059: 0.0005454561281183514
Position 681: 0.0005379031689619065
Position 2579: 0.0004884740757599063
Position 1135: 0.00047394702324436396
Position 1377: 0.0004617800457637536
Position 2371: 0.0003901252668209711
Position 1123: 0.00012781637857634188
Position 551: 0.00010262367984616557
Position 496: 8.828583731979878e-05
Position 267: 7.668031188925698e-05
Position 335: 6.366790270137923e-05
Position 201: 4.3070115690989875e-05
Position 570: 2.9930326940763558e-05
Position 290: 2.902112766913268e-05
Position 293: 2.6472474365917064e-05
Position 372: 2.366492011240974e-05
Position 223: 2.1757341943546644e-05
Position 2141: 1.1014238901378021e-05
Position 1996: 1.0476728529266048e-05
Position 1942: 9.284544745612674e-06
Position 120: 6.7747857009332195e-06
Position 2058: 5.657918575652538e-06
Position 296: 4.965051788841021e-06
Position 2087: 4.544182738623567e-06
Position 2048: 4.183648913854051e-06
Position 282: 3.624994183848619e-06
Position 95: 3.537294866374728e-06
Position 2183: 1.609699262422341e-06
Position 299: 1.4275582347170833e-06
Position 270: 9.710847429483955e-07
Position 218: 7.372051528455395e-07
Position 92: 7.334551506883976e-07
Position 302: 5.801010746191816e-07
Position 375: 3.850164636892527e-07
Position 77: 3.659967098665139e-07
Position 342: 3.19023566497795e-07
Position 404: 2.3094921679221e-07
