Gene = VhaSFD
index = 1595
Annotated 5SS: [ 197  817 2968 3595 3769]
Annotated 3SS: [ 337 2832 3031 3654 3928]
SMsplice 5SS: [ 259  817 2968 3595 3769]
SMsplice 3SS: [ 337 2832 3031 3654 3928]
top_k =  100
Partition function (log Z): 11.174139480106293

Sorted 5' Splice Sites (High to Low Probability):
Position 2968: 0.9999533594043388
Position 3595: 0.9943097640788331
Position 3769: 0.910354968886903
Position 817: 0.9069727448960021
Position 259: 0.4346274132513901
Position 197: 0.38559686157629797
Position 2520: 0.25376575780515465
Position 2598: 0.06903135389161875
Position 3758: 0.06875928775257963
Position 2692: 0.053302946339377585
Position 263: 0.02173447129357709
Position 508: 0.013819014600924828
Position 4008: 0.009274649368032122
Position 274: 0.005288537594906854
Position 3565: 0.00467280173734618
Position 3773: 0.004476821495784296
Position 255: 0.0036763812211084656
Position 511: 0.0026348510796548722
Position 3158: 0.001990835279600061
Position 249: 0.0013387429083480064
Position 3719: 0.001288674786614558
Position 1935: 0.0010453075414184653
Position 4011: 0.0009256037982100598
Position 4099: 0.0009128061574810917
Position 267: 0.0006474224001075021
Position 265: 0.0005122732769199445
Position 3825: 0.00046303439791733875
Position 4304: 0.000433483328255916
Position 564: 0.00040210774179483966
Position 3599: 0.0003975220830495954
Position 3320: 0.00032731035528533076
Position 257: 0.0003092511307639172
Position 3569: 0.0002858010351382046
Position 3257: 0.00023959513886273053
Position 272: 0.00015329231843161752
Position 662: 0.00014682970613341765
Position 83: 9.638645248866646e-05
Position 36: 5.50674376427755e-05
Position 3392: 2.4240347148839702e-05
Position 836: 8.897154856930513e-06
Position 51: 3.7048262321478627e-06
Position 3830: 3.1443154973848087e-06
Position 295: 2.2305035582868173e-06
Position 86: 1.7636028274106154e-06
Position 64: 1.5912831394792877e-06
Position 299: 1.4368306658945836e-06
Position 69: 1.2858019651698715e-06
Position 124: 8.271589159033865e-07
Position 174: 8.220640840156241e-07
Position 24: 6.618221965271704e-07
Position 67: 4.7542009646811073e-07
Position 3379: 1.4829858413078133e-07
Position 2989: 9.481235449156165e-09
Position 126: 2.903577663655544e-09
Position 201: 4.5118035202375816e-10
Position 3743: 5.638745805466448e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3654: 0.9997206155256805
Position 3031: 0.9993076550021514
Position 2832: 0.8896343877880434
Position 3928: 0.751532337140724
Position 337: 0.7113663630071976
Position 2422: 0.27741688841889856
Position 3824: 0.22838535557645634
Position 2579: 0.09510995750424546
Position 1712: 0.07371518259690782
Position 2387: 0.02062812969633864
Position 634: 0.01704772492252451
Position 369: 0.016994527525734878
Position 2196: 0.011575313479143201
Position 564: 0.00821613543174816
Position 597: 0.007537634253237031
Position 4058: 0.006305653866564778
Position 366: 0.005207073482764184
Position 4848: 0.004789339667017668
Position 2699: 0.004372561732337431
Position 789: 0.0041450476954779875
Position 420: 0.002252669981884419
Position 690: 0.001949951206277887
Position 4441: 0.0018416142805872094
Position 4783: 0.0017086992514953206
Position 3866: 0.0014166269989507505
Position 255: 0.001180844061113367
Position 1199: 0.001145724190247382
Position 873: 0.000979181642707707
Position 3202: 0.0009263503600171038
Position 283: 0.0009207532480522631
Position 549: 0.0008984286977481793
Position 1280: 0.0008737965766135972
Position 3389: 0.0007035296665944701
Position 249: 0.0005919855323810097
Position 4178: 0.0005349960759122948
Position 392: 0.0005282611786719237
Position 3830: 0.00038218476537383477
Position 3138: 0.0003769597598556
Position 3043: 0.0003090052222480752
Position 890: 0.0003043417552563493
Position 3250: 0.00025867961164494747
Position 3323: 0.0002111255295617036
Position 893: 0.00020566989315934316
Position 1021: 0.0001562067262854603
Position 3286: 0.00014875513585111823
Position 3682: 0.00014555757855907363
Position 3226: 0.0001252199955958374
Position 372: 0.00010044720952275733
Position 96: 5.8176935697803256e-05
Position 426: 1.6738184147211312e-05
Position 3679: 8.33280131594859e-06
Position 147: 3.000698223419362e-06
Position 3694: 1.8988346041110088e-06
Position 151: 6.780118047645051e-07
Position 288: 1.476413910218693e-07
Position 189: 8.864420866254033e-08
Position 135: 6.362293521912604e-08
