Gene = Gr77a
index = 1199
Annotated 5SS: [1188]
Annotated 3SS: [1653]
SMsplice 5SS: [1188]
SMsplice 3SS: [1653]
top_k =  100
Partition function (log Z): -6.562528482471094

Sorted 5' Splice Sites (High to Low Probability):
Position 1188: 0.8363971655226495
Position 97: 0.25651917156350695
Position 1753: 0.0333609012787102
Position 602: 0.008925341126085545
Position 1047: 0.006230563708888819
Position 1436: 0.004389836072320925
Position 585: 0.004270599196238454
Position 186: 0.003465225217172183
Position 112: 0.0026175240267704175
Position 1469: 0.002593326968566963
Position 977: 0.002072795939466818
Position 630: 0.0017050377444103356
Position 1167: 0.0016833699369797825
Position 348: 0.0015904603510463549
Position 852: 0.001428885842289619
Position 1545: 0.0013442831571927904
Position 818: 0.0012291887721707453
Position 266: 0.0004492345067673916
Position 135: 0.00023849308206980825
Position 237: 0.00023083487589613253
Position 1757: 0.00020439188803430712
Position 119: 0.0001888060676365658
Position 222: 0.00013852434673210042
Position 437: 5.165720128490903e-06
Position 665: 4.895085982731487e-06
Position 519: 3.4808111495157595e-06
Position 821: 1.964340366150499e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 1653: 0.9646445314038561
Position 1098: 0.051287153947552
Position 1815: 0.031650381640091284
Position 638: 0.03032101793184294
Position 903: 0.019260885344207897
Position 1381: 0.011183314149444144
Position 1294: 0.010835301141405204
Position 1264: 0.008648521484371478
Position 1267: 0.006860295573835505
Position 280: 0.006151494653132768
Position 770: 0.0048828979155671245
Position 650: 0.004473399402048497
Position 389: 0.0026808720786581663
Position 1349: 0.0017285285804692883
Position 1831: 0.0016006104112690927
Position 563: 0.0015643898524916428
Position 1346: 0.001548654665820727
Position 872: 0.0015040273028475355
Position 794: 0.001432155068345233
Position 425: 0.0013621721288074678
Position 1009: 0.001263014046740438
Position 554: 0.001163511137564835
Position 977: 0.0010718908262804289
Position 767: 0.0006609244573754538
Position 386: 0.0005916137360179442
Position 1621: 0.0005085948829639503
Position 1120: 0.0004155177224119237
Position 1577: 0.00038802358226789713
Position 464: 0.00038465291388870086
Position 1835: 0.0003143011153841371
Position 1625: 0.0002778308724342421
Position 1591: 0.00022260580910535605
Position 1484: 0.00022214370021385638
Position 1330: 0.00015982045972087535
Position 760: 6.990589245057165e-06
Position 497: 5.983078353914803e-06
Position 1159: 4.464519127405907e-06
Position 510: 4.422677177892294e-06
Position 166: 2.556346891735124e-06
