Gene = del
index = 1668
Annotated 5SS: [ 346 1607]
Annotated 3SS: [ 409 1660]
SMsplice 5SS: [ 346  600 1607]
SMsplice 3SS: [ 409  722 1660]
top_k =  100
Partition function (log Z): -4.748466530263558

Sorted 5' Splice Sites (High to Low Probability):
Position 346: 0.9847364417407973
Position 1607: 0.6197175040824873
Position 600: 0.6065766380010155
Position 1859: 0.3928147166016502
Position 657: 0.253624372933276
Position 2739: 0.1401146592277872
Position 1598: 0.10734773816631864
Position 588: 0.04300510596554909
Position 2452: 0.03298125496911687
Position 579: 0.0214660457904179
Position 927: 0.020760975781492105
Position 2748: 0.013211195994965546
Position 140: 0.01112563621695372
Position 1262: 0.010309181096150734
Position 1563: 0.008367107123320014
Position 643: 0.006929491349748071
Position 2378: 0.0063976882743772626
Position 1506: 0.00541704872028864
Position 621: 0.002343571112304111
Position 1724: 0.0021600936255310103
Position 329: 0.0012466955914715145
Position 24: 0.001143641281758631
Position 1415: 0.0009591618391288864
Position 1055: 0.0006225776565695051
Position 311: 0.000566207110175266
Position 756: 0.0005271815155714964
Position 690: 0.0004789944078142868
Position 623: 0.0004347162148799225
Position 101: 0.00043344559224627375
Position 963: 0.0004113271679613918
Position 819: 0.00032770948760664487
Position 155: 0.0002595752528762539
Position 565: 0.00022344074927901737
Position 300: 0.00015934004508470317
Position 192: 9.781035483359931e-05
Position 52: 7.003418861458603e-05
Position 57: 4.3892632209878225e-05
Position 149: 3.432070299748535e-05
Position 12: 3.195014492789331e-05
Position 260: 8.950484739806384e-06
Position 178: 6.899779256299793e-06
Position 591: 4.841578913962727e-06
Position 543: 4.385581919300306e-06
Position 443: 3.1918000128825534e-06
Position 249: 1.922115032018043e-06
Position 1464: 1.2181108157534798e-06
Position 959: 1.0022436334462111e-06
Position 131: 7.787062189614353e-08
Position 555: 2.3049229500570406e-08
Position 487: 1.297109288311649e-08
Position 222: 1.0143847389651789e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 409: 0.9986614432410421
Position 1660: 0.8326462156286467
Position 722: 0.7446993183071952
Position 2957: 0.23607464637164396
Position 2605: 0.19718854747074824
Position 2146: 0.06164796911735872
Position 1463: 0.05205591790259178
Position 741: 0.04702278008197963
Position 2511: 0.0387181001592294
Position 2656: 0.03392413699512423
Position 3048: 0.015066049233103378
Position 1349: 0.012847822571044526
Position 1918: 0.009254546877968403
Position 2243: 0.005984012780810165
Position 2140: 0.005501337255274645
Position 2804: 0.004401764937525626
Position 91: 0.0005662202116081184
Position 918: 0.0004223222304998227
Position 234: 0.00022502890351639183
Position 155: 0.00016340718434112864
Position 297: 0.00011195958855338839
Position 206: 9.371707904480726e-05
Position 1751: 6.659298689457687e-05
Position 80: 5.7492650112389165e-05
Position 192: 3.9490798036513584e-05
Position 643: 2.524435642791161e-05
Position 500: 2.3474057180648548e-05
Position 447: 7.856210064967471e-06
Position 167: 6.808839047068864e-06
Position 436: 3.900924489356496e-06
Position 341: 2.8893213921867146e-06
Position 453: 1.733428543967575e-11
Position 433: 1.5136898059503e-11
