Gene = bur
index = 1636
Annotated 5SS: [ 354 2113 2479 3013 3175 3677 3943 4404 4651]
Annotated 3SS: [2004 2173 2711 3077 3306 3749 4001 4458 4707]
SMsplice 5SS: [ 354 2113 2479 3013 3175 3677 3943 4404 4651]
SMsplice 3SS: [2004 2173 2711 3077 3306 3749 4001 4458 4707]
top_k =  100
Partition function (log Z): 25.446071480895526

Sorted 5' Splice Sites (High to Low Probability):
Position 4651: 0.9989850063841781
Position 4404: 0.99774510032762
Position 2113: 0.9965851638497646
Position 3677: 0.9899509200896139
Position 3013: 0.9860530086945833
Position 2479: 0.9704786203700158
Position 3175: 0.8611566645469753
Position 354: 0.6875344975291083
Position 3947: 0.5339790786542552
Position 1782: 0.4461015444600412
Position 3970: 0.2648972895235979
Position 1501: 0.24484170675535347
Position 2767: 0.16917318217994015
Position 1647: 0.13330019173699095
Position 3246: 0.07027742068860204
Position 592: 0.050581442920942236
Position 203: 0.050159348604264346
Position 1786: 0.03477687756362213
Position 1614: 0.027349490566000726
Position 3165: 0.021211607320404544
Position 3519: 0.017177232920515872
Position 2833: 0.015375515645711886
Position 199: 0.013014578334809842
Position 3502: 0.011766161319229045
Position 5106: 0.011234135253539808
Position 1035: 0.011003336721601678
Position 3621: 0.0068862290932646605
Position 5134: 0.006124596315833443
Position 3007: 0.004905255992133283
Position 1488: 0.0043694038688505115
Position 3183: 0.004219177299586971
Position 207: 0.004083510490760931
Position 2607: 0.003480821541850078
Position 3531: 0.0030920952988343423
Position 2595: 0.0026095199555178374
Position 3691: 0.0023491504459262425
Position 2189: 0.0021894307609636203
Position 2184: 0.002136380665881648
Position 4290: 0.002097037984622104
Position 2992: 0.0016580209310177326
Position 2984: 0.0015307342534722213
Position 5390: 0.0013728791374891152
Position 3137: 0.0013368072573498565
Position 2913: 0.0012529321138366105
Position 286: 0.0011861745594587121
Position 4174: 0.0010517238798869412
Position 598: 0.001046688104256102
Position 4655: 0.0010146199576130577
Position 2103: 0.0009383634932094945
Position 666: 0.0006130577744342652
Position 2869: 0.0005553148375616527
Position 891: 0.0005225463977682469
Position 2951: 0.0002745365407554434
Position 201: 0.00025212155533230673
Position 588: 0.00020052636727891382
Position 4359: 0.00017184381569508475
Position 2851: 0.00011343543858006921
Position 1433: 0.00010848471314563076
Position 2600: 0.00010584548097475525
Position 1268: 9.297447514507045e-05
Position 871: 9.124493156991838e-05
Position 2423: 5.2329276539344734e-05
Position 2524: 5.014691820118569e-05
Position 4764: 3.415540962864041e-05
Position 3108: 2.5383528592874594e-05
Position 4813: 1.4218492334166357e-05
Position 2395: 1.3685690002512469e-05
Position 3225: 1.2241878219188225e-05
Position 409: 2.0702506452336014e-06
Position 617: 1.930859511378721e-06
Position 266: 1.885710797810604e-06
Position 765: 1.4910608153719987e-06
Position 11: 4.1346593110375933e-07
Position 4566: 3.727334098362659e-07
Position 30: 3.412133479397172e-07
Position 22: 1.4553558302246576e-07
Position 82: 5.318515794231089e-08
Position 112: 3.849410745193334e-08
Position 253: 9.925985655607779e-09
Position 4610: 5.615592484754893e-10
Position 4570: 3.63233188748179e-10
Position 4197: 1.2523336600072562e-11
Position 4281: 9.753144764303856e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3077: 0.9994973108287287
Position 4458: 0.9992724294045852
Position 4707: 0.9902929660554333
Position 2173: 0.9874081586594956
Position 3749: 0.9709230504473236
Position 2711: 0.9688338621231614
Position 3306: 0.951403228362519
Position 1577: 0.4903986266550396
Position 4001: 0.4658788172944346
Position 2004: 0.46413035784766715
Position 1723: 0.37467528758774343
Position 4023: 0.3552264977537455
Position 2818: 0.15892724105708494
Position 935: 0.12782734442493265
Position 1858: 0.12518762472281528
Position 1883: 0.07109398066666806
Position 2895: 0.02465835260731258
Position 1895: 0.01344939263767057
Position 1012: 0.012940391033828554
Position 3594: 0.011629590786919608
Position 3554: 0.011595793947283441
Position 260: 0.009467122593608854
Position 1343: 0.008657287053286094
Position 2237: 0.008405741186903102
Position 3578: 0.00831403979660235
Position 5193: 0.007911578749606398
Position 5249: 0.005992044910036573
Position 1268: 0.005360812812774409
Position 4740: 0.0051316948118261185
Position 2856: 0.004501682600485932
Position 266: 0.004452269082349429
Position 4904: 0.0042996832534132065
Position 4043: 0.004133906104100347
Position 2833: 0.0031223871091741015
Position 5327: 0.0027290107427039418
Position 3801: 0.0027140965781568354
Position 1862: 0.0024997031794399232
Position 2730: 0.002187240287780558
Position 3387: 0.0018792462289382932
Position 3384: 0.0016939692909427799
Position 3405: 0.0016081705274619612
Position 2188: 0.0014833125560331467
Position 4373: 0.0014067899316671261
Position 5449: 0.0013728791374891152
Position 3323: 0.0013551024191417113
Position 5303: 0.0007260971670263372
Position 2552: 0.0006128736452072724
Position 2341: 0.0004786093659333888
Position 4884: 0.0003187173860207477
Position 2209: 0.00031547397831233813
Position 2720: 0.00016504327762398866
Position 4471: 0.0001449385570682064
Position 4497: 0.00013990271372166092
Position 4488: 6.248629849909558e-05
Position 4562: 3.915912464267977e-05
Position 333: 1.3312600570931e-05
Position 4835: 5.312395269480354e-06
Position 565: 5.838708529987123e-07
Position 459: 5.710449088449116e-07
Position 65: 2.450470634612158e-07
Position 337: 5.617917014811258e-08
Position 139: 3.283844211893435e-08
Position 77: 3.1928376399840904e-08
