Gene = Cnb
index = 1082
Annotated 5SS: [ 221 1459 1679 2079]
Annotated 3SS: [ 281 1516 1740 2142]
SMsplice 5SS: [ 221 1459 1679 2079]
SMsplice 3SS: [ 281 1516 1740 2142]
top_k =  100
Partition function (log Z): 2.874957295417025

Sorted 5' Splice Sites (High to Low Probability):
Position 2079: 0.998798873699191
Position 221: 0.9649416281195665
Position 1679: 0.8291346254736487
Position 1459: 0.7451565051833299
Position 1438: 0.09266366884391522
Position 1918: 0.09079077231041449
Position 1635: 0.06306775981965641
Position 620: 0.020775081643940117
Position 2523: 0.01925822599641556
Position 218: 0.011150854584970277
Position 5: 0.010015960157709822
Position 559: 0.004858291768052769
Position 581: 0.0030440971353949847
Position 55: 0.0021446968941751157
Position 431: 0.0018637153664253206
Position 624: 0.001192141976807195
Position 2171: 0.0010097266474694297
Position 1892: 0.0005396123099494229
Position 225: 0.0004607129928633864
Position 10: 0.0002246826387013746
Position 1218: 0.0002035412705357254
Position 438: 0.00018985600169750492
Position 1090: 0.0001600535709153197
Position 2571: 0.00014566060815076107
Position 2586: 6.230298041912875e-05
Position 86: 5.196396394486289e-05
Position 902: 3.9099562704039275e-05
Position 79: 1.845005080622997e-05
Position 8: 9.504175284332272e-06
Position 2360: 7.0475147138161325e-06
Position 2259: 6.40491120846146e-06
Position 1269: 6.3326320089389515e-06
Position 2244: 1.281000553142518e-06
Position 2220: 6.170497029999188e-07
Position 2436: 2.880618593617962e-07
Position 1993: 2.6189887008420906e-07
Position 2428: 2.048757558136553e-07
Position 444: 1.0401517518131879e-07
Position 393: 1.036447922600751e-07
Position 236: 1.2969932656473698e-08
Position 198: 1.9826252246010362e-09
Position 181: 1.426436915970966e-09
Position 135: 1.8197758929426e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2142: 0.998071164855322
Position 1740: 0.9914243836836149
Position 281: 0.9249749961035606
Position 1516: 0.6888234798849188
Position 1974: 0.0897514684381999
Position 1523: 0.06200070257547853
Position 2586: 0.01309804949489978
Position 717: 0.01267224193114063
Position 1573: 0.011427972648685393
Position 980: 0.010925578259220057
Position 292: 0.009146234513008075
Position 691: 0.008776338359252681
Position 79: 0.006800148217148333
Position 2598: 0.0048210666686593715
Position 498: 0.0044955565412035095
Position 1800: 0.004393322764279699
Position 135: 0.0035043778386465814
Position 1316: 0.0028422775163620025
Position 265: 0.002760737404129936
Position 1980: 0.0018068193478038921
Position 1233: 0.00173914703275144
Position 2244: 0.0015181391439907923
Position 149: 0.0010284967652765518
Position 1044: 0.0010205783514831072
Position 2607: 0.000967840837828638
Position 299: 0.0008692460909119653
Position 746: 0.000773282419431876
Position 2649: 0.0004828427325743945
Position 111: 0.0003759477885994197
Position 91: 0.0003478185522855513
Position 2297: 0.00022125560760308423
Position 2678: 3.764245917324026e-05
Position 2690: 3.329910237157381e-05
Position 2685: 2.5448289478445437e-05
Position 96: 1.097922610905408e-05
Position 458: 9.270473377914193e-06
Position 2323: 8.185637435340115e-06
Position 2448: 3.778321619698916e-06
Position 2424: 3.7151431590892597e-06
Position 2482: 8.382922217533354e-07
Position 105: 5.8417489877884574e-08
