Gene = ND-B17.2
index = 1301
Annotated 5SS: [ 33 313 554 690]
Annotated 3SS: [101 375 604 745]
SMsplice 5SS: [158 313 554 690]
SMsplice 3SS: [216 375 604 745]
top_k =  100
Partition function (log Z): 16.295341288164284

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9997125245722681
Position 690: 0.9979885477222539
Position 554: 0.977094155351571
Position 158: 0.9129374253945342
Position 33: 0.4012240013502185
Position 532: 0.02242479884891006
Position 37: 0.0025201525209248904
Position 4: 0.0010569093339583943
Position 529: 0.0001450771995192675
Position 558: 0.00010169814005169482
Position 317: 5.7472234695988854e-05
Position 643: 4.2046436070619444e-05
Position 418: 2.9468833838932864e-05
Position 813: 2.730067800471055e-05
Position 649: 2.201295590307099e-05
Position 151: 1.9199486769718788e-05
Position 105: 1.5644532470038457e-05
Position 295: 1.5288360089787906e-05
Position 850: 1.5034243829041924e-05
Position 714: 1.1732671116503025e-05
Position 887: 9.093582068335665e-06
Position 781: 7.897644169137374e-06
Position 145: 5.182130582448224e-06
Position 162: 3.982082829699901e-06
Position 430: 2.7019414808059883e-06
Position 92: 2.314398068227909e-06
Position 404: 2.0371010827163432e-06
Position 491: 1.603200595712571e-06
Position 816: 1.4351955655446281e-06
Position 52: 1.2137535954462723e-06
Position 445: 8.427247025864527e-07
Position 478: 7.760623223257776e-07
Position 266: 2.4519836020308735e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 604: 0.9997632518505728
Position 375: 0.999656389948588
Position 745: 0.9980954250459554
Position 216: 0.9154295709845726
Position 92: 0.23759127650429987
Position 101: 0.1632068976180668
Position 71: 0.0005352521541554027
Position 158: 0.00041221828409829334
Position 135: 0.00031047855352370803
Position 226: 0.00015118456653622457
Position 391: 0.0001347188979358642
Position 262: 9.39811374331298e-05
Position 923: 3.835221322686406e-05
Position 934: 2.2463147042493065e-05
Position 850: 1.929535907031389e-05
Position 781: 1.6393345519943193e-05
Position 253: 7.506261734562695e-06
Position 430: 6.02161408465119e-06
Position 643: 2.6815649070154725e-06
Position 944: 2.632276155398739e-06
Position 688: 1.009631426213938e-06
Position 418: 9.457363248027602e-07
Position 714: 8.875906116256232e-07
Position 168: 5.26221129837633e-07
Position 666: 1.8285715547430808e-07
Position 275: 1.029751353994054e-07
Position 281: 8.585710852429555e-08
Position 304: 8.368604829867433e-08
