Gene = mtgo
index = 1803
Annotated 5SS: [   423  14929 107897 112937]
Annotated 3SS: [ 12862 107726 112482 113007]
SMsplice 5SS: [   423 107897 112937]
SMsplice 3SS: [107726 112482 113007]
top_k =  100
Partition function (log Z): -144.42382641577214

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.6953544435763468
Position 74: 0.30463025876324057
Position 143: 7.86633020744678e-06
Position 327: 7.423276241509857e-06
Position 4081: 6.078867825312539e-06
Position 3807: 5.940368262891139e-06
Position 305: 5.737833762448535e-06
Position 1329: 2.4529489818780246e-06
Position 1998: 2.3512806633487193e-06
Position 120: 2.089291528569809e-06
Position 178: 9.239259136152322e-07
Position 1631: 6.834799534890999e-07
Position 2282: 4.2813547001194406e-07
Position 961: 3.327638092815343e-07
Position 1008: 2.5730755393875707e-07
Position 897: 2.4973738230024384e-07
Position 309: 2.215756757226878e-07
Position 323: 1.8040737199913953e-07
Position 1036: 1.5215118818274867e-07
Position 82: 5.20858022049019e-08
Position 152: 2.4436769860815958e-08
Position 159: 1.1291464923671998e-08
Position 644: 9.100744500233796e-09
Position 1085: 8.86815705914858e-09
Position 1029: 7.983414774440193e-09
Position 648: 6.100866509598806e-09
Position 53: 5.050258111702608e-09
Position 185: 2.366174213549436e-09
Position 188: 2.0280553477383256e-09
Position 101: 1.7456664852000036e-09
Position 311: 8.741557743173829e-10
Position 20: 3.163924377374071e-11
Position 113: 1.9187488142214466e-11
Position 89: 1.2368875760643583e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 12862: 0.9919042626497934
Position 9341: 0.00439936603813766
Position 8321: 0.0035576865809744986
Position 3674: 5.006502267617529e-05
Position 1470: 4.5933813329844766e-05
Position 2871: 2.2007745726895387e-05
Position 4544: 2.1794302748634595e-05
Position 203: 1.3186515658330963e-05
Position 3365: 4.688885076171587e-06
Position 3730: 2.744022478444684e-06
Position 477: 2.4142411439697227e-06
Position 2200: 1.6586433252562768e-06
Position 119: 9.118253361813459e-07
Position 2346: 4.2813547001194406e-07
Position 1658: 1.8485898821978235e-07
Position 838: 1.7070673694507324e-07
Position 255: 1.636352345877991e-07
Position 553: 1.5591327732237375e-07
Position 301: 1.0534982432058515e-07
Position 602: 9.601314317055602e-08
Position 407: 8.945117876431176e-08
Position 1216: 7.034387789865867e-08
Position 327: 1.7512517739253e-08
Position 374: 5.099181913957733e-10
Position 252: 4.6020031904444633e-10
Position 356: 4.398513628521914e-10
Position 131: 1.574560182605329e-10
Position 384: 1.2992118296193125e-10
Position 336: 1.009281354584366e-10
