Gene = Sh3beta
index = 1498
Annotated 5SS: [ 371 1702 2819 3099 4191]
Annotated 3SS: [1275 2743 3049 3151 4298]
SMsplice 5SS: [371]
SMsplice 3SS: [1275]
top_k =  100
Partition function (log Z): -7.287352455690612

Sorted 5' Splice Sites (High to Low Probability):
Position 371: 0.6324244839820073
Position 1198: 0.4091033513820368
Position 1702: 0.3033028702433669
Position 1164: 0.2095395940742638
Position 2819: 0.20247354763314676
Position 3099: 0.14168405730211647
Position 34: 0.09658319995663034
Position 543: 0.06121696999464713
Position 539: 0.009427171255783814
Position 1414: 0.006676506632168328
Position 768: 0.00559909697529425
Position 628: 0.0030903078118823864
Position 535: 0.00280113102050245
Position 616: 0.0022422016607688126
Position 576: 0.002227866655228159
Position 580: 0.002067904928683269
Position 1478: 0.00047547692089982543
Position 1112: 0.0004138296978442076
Position 972: 0.000386973613455443
Position 1142: 0.00038653015769496874
Position 437: 0.0003687238370569014
Position 896: 0.00023257908436986915
Position 191: 0.00021891867328857772
Position 650: 0.0001136047185835916
Position 780: 9.284827950296757e-05
Position 155: 7.984559586948073e-05
Position 764: 6.814859480657046e-05
Position 719: 6.058819011897182e-05
Position 8: 5.8861247951500916e-05
Position 86: 1.4683140595137337e-05
Position 1406: 7.878906251719913e-06
Position 375: 2.1033430770282423e-06
Position 531: 9.279034988853145e-08
Position 258: 2.5233378766503358e-08
Position 379: 5.259986671607353e-11
Position 300: 2.755125785336594e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1275: 0.9965918095497756
Position 1011: 0.21229127383132618
Position 2743: 0.18903801537051546
Position 3151: 0.1842612542953665
Position 2869: 0.10620396852573358
Position 129: 0.08758834919567507
Position 601: 0.06270813902141571
Position 1869: 0.05541226229777974
Position 3049: 0.0455555019369694
Position 976: 0.030211739251013496
Position 1943: 0.018729543854658744
Position 1761: 0.016630429077741156
Position 453: 0.01584658856188302
Position 443: 0.010862477635744003
Position 759: 0.008843645397094268
Position 2911: 0.008136880177194014
Position 1804: 0.007719883354195305
Position 2730: 0.006319237605538772
Position 2571: 0.005681542540652696
Position 2050: 0.00437547606132344
Position 2061: 0.004196885816018794
Position 2697: 0.004011336498074768
Position 93: 0.003916780752178767
Position 874: 0.0019697257153066536
Position 700: 0.0019641329988992094
Position 84: 0.0017258515006346132
Position 155: 0.0008609671423867601
Position 2075: 0.0008355577400403081
Position 1590: 0.0004626482855139204
Position 1839: 0.00039359641035590753
Position 1536: 5.6629334251190293e-05
Position 261: 2.1051840027296426e-05
Position 467: 9.01977568496667e-06
Position 1452: 7.878906251719913e-06
Position 176: 8.12750733567512e-07
Position 194: 5.297797043177087e-07
Position 202: 4.084096487880971e-07
Position 313: 1.410775626786315e-07
Position 338: 3.833384562231925e-10
Position 268: 2.7261110915694185e-10
Position 258: 2.6207368027308485e-10
Position 348: 1.6599829193777285e-10
Position 275: 1.6247859181756842e-10
Position 306: 6.760726727502754e-11
