Gene = comm2
index = 1653
Annotated 5SS: [649]
Annotated 3SS: [1389]
SMsplice 5SS: [649]
SMsplice 3SS: [1389]
top_k =  100
Partition function (log Z): -5.801644011364432

Sorted 5' Splice Sites (High to Low Probability):
Position 649: 0.9948294511955594
Position 1964: 0.0038072383103117174
Position 182: 0.0029945778937364173
Position 346: 0.0026158829803656107
Position 1288: 0.00248105415640202
Position 1310: 0.001807045291814293
Position 107: 0.0015849020234500358
Position 549: 0.001033617373011039
Position 2056: 0.0008824100275582047
Position 527: 0.0006318544071850123
Position 1958: 0.0005633280905002933
Position 480: 0.0004793315503589581
Position 1232: 0.0004597975979658892
Position 851: 0.00039685985661658014
Position 653: 0.00036931978568142916
Position 34: 0.00033259980724039345
Position 617: 0.0002659386634935329
Position 1181: 0.0002564925083753833
Position 1127: 0.00022249435239895437
Position 38: 0.00013278486192923065
Position 420: 4.4256746561400514e-05
Position 292: 3.0285355000725223e-05
Position 101: 8.135100523474902e-06
Position 591: 5.06025534758011e-07
Position 626: 4.38092877733146e-07
Position 694: 2.956707385023358e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1389: 0.9776940893460057
Position 1025: 0.008508724749478126
Position 1054: 0.0061503039849083755
Position 2126: 0.002613010947993786
Position 404: 0.0024875219736035722
Position 2169: 0.002446916988430954
Position 719: 0.002408958579912412
Position 850: 0.0019102713787922108
Position 1431: 0.0014461000577425157
Position 746: 0.001383967648643552
Position 793: 0.0011332900571617282
Position 264: 0.0010448323311274372
Position 1330: 0.0007026595634215393
Position 1598: 0.0005645597837973079
Position 1418: 0.0005420376985502741
Position 410: 0.0005336399941247727
Position 818: 0.0005165741980608498
Position 1547: 0.00042615542814512206
Position 2205: 0.0004226110426235288
Position 875: 0.0003522716873241417
Position 362: 0.00034297777994079343
Position 1100: 0.00026444451204282905
Position 1145: 0.00024439070695870776
Position 445: 0.00022157789921132713
Position 374: 0.00021558575993050098
Position 493: 0.00019078158143335267
Position 1806: 0.00018433745627938853
Position 346: 0.00016193348052191768
Position 1437: 0.0001441030703288808
Position 2134: 0.00014227805029522634
Position 166: 0.00014080848352866106
Position 343: 0.00012172607808847234
Position 989: 0.00011422983809289342
Position 929: 9.01137686610689e-05
Position 101: 8.275097118250585e-05
Position 893: 5.6051223327416004e-05
Position 806: 5.254444683138223e-05
Position 626: 4.914949862803365e-05
Position 269: 4.7753440701193225e-05
Position 98: 3.844125962074527e-05
Position 496: 2.2660812460500373e-05
Position 194: 1.3760167273334685e-05
