Gene = cold
index = 1651
Annotated 5SS: [ 65 408 800]
Annotated 3SS: [342 488 852]
SMsplice 5SS: [ 65 408 800]
SMsplice 3SS: [149 488 852]
top_k =  100
Partition function (log Z): -0.2677792277620391

Sorted 5' Splice Sites (High to Low Probability):
Position 408: 0.9956780414920853
Position 65: 0.9390278062368833
Position 800: 0.5677304769438647
Position 739: 0.08284816138630935
Position 804: 0.04859343788942904
Position 1076: 0.016902768835135654
Position 781: 0.008609195819161667
Position 1144: 0.006059736466174925
Position 670: 0.0032950404795992314
Position 1114: 0.0029190459256568596
Position 278: 0.0022718119543546538
Position 282: 0.0006104913160965429
Position 986: 0.0005676557738452363
Position 216: 0.00037356123701636764
Position 18: 0.00032422032472006123
Position 69: 0.0003211687129509565
Position 811: 0.00022540136587085533
Position 639: 0.00021312125974017857
Position 1018: 0.00021064216857447763
Position 270: 0.00019498298527480907
Position 258: 9.892514993611874e-05
Position 273: 9.4522498938545e-05
Position 98: 9.047599800173785e-05
Position 220: 3.8520355949217404e-05
Position 412: 3.0041948519699154e-05
Position 236: 2.8761265947706523e-05
Position 249: 1.536570745230386e-05
Position 399: 8.23392749763799e-06
Position 374: 6.5704075154806176e-06
Position 794: 3.686533201910712e-06
Position 721: 3.6421653699524874e-06
Position 173: 2.5574039237613393e-06
Position 763: 1.5718292934082567e-06
Position 358: 1.7288991754658954e-07
Position 371: 5.471467576662026e-09
Position 122: 1.0946268887915365e-10
Position 120: 1.0537155205963213e-10
Position 149: 3.397724502481214e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 488: 0.9650383853115115
Position 149: 0.8825950185247377
Position 852: 0.6762809083572754
Position 1201: 0.04010013402889857
Position 342: 0.028059720105863353
Position 807: 0.02060994988392696
Position 160: 0.017708853154799656
Position 532: 0.016373762423695874
Position 459: 0.013122372395335606
Position 172: 0.01022763508740448
Position 1171: 0.0026211707170502455
Position 1179: 0.001462444533568892
Position 196: 0.0011362762381677332
Position 228: 0.0006731318041414664
Position 164: 0.0006533121690538311
Position 913: 0.00031517943648846057
Position 869: 0.00019458586254993945
Position 1412: 0.00010729058677944816
Position 368: 5.996208953321847e-05
Position 270: 5.068581359142698e-05
Position 216: 4.687850726701263e-06
Position 206: 3.5137140879649716e-06
Position 568: 8.422852985026796e-07
