Gene = sstn
index = 1894
Annotated 5SS: [251 472]
Annotated 3SS: [ 370 1394]
SMsplice 5SS: [472]
SMsplice 3SS: [1394]
top_k =  100
Partition function (log Z): -10.397792255227921

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9659547769391955
Position 251: 0.34346252335781996
Position 3374: 0.03947350129427924
Position 306: 0.028825121445842466
Position 983: 0.010584064405583363
Position 144: 0.0012907315651429674
Position 843: 0.0011973494685539002
Position 18: 0.0010612159903567433
Position 150: 0.0005092987978467438
Position 253: 0.0004876638425758721
Position 166: 0.00022515241540766823
Position 118: 0.00014735160930401652
Position 40: 7.63165112489192e-05
Position 198: 3.508288516366985e-05
Position 309: 2.575911640567485e-05
Position 171: 2.2843274675119937e-05
Position 90: 1.8349474722802996e-05
Position 69: 1.4526863462082413e-05
Position 580: 1.1445432957754778e-05
Position 7: 7.404152920610221e-06
Position 626: 4.21193556416279e-06
Position 74: 4.060891938344039e-06
Position 35: 1.7251466962405122e-06
Position 461: 5.130797623165059e-07
Position 476: 2.786858372170686e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 370: 0.3712271739253966
Position 1394: 0.28883764512585053
Position 3434: 0.18760863071003847
Position 671: 0.09678790603774519
Position 3168: 0.09526919752302264
Position 3617: 0.07939985623375209
Position 3631: 0.05454383234745746
Position 2411: 0.029657910589747802
Position 604: 0.02690655846496964
Position 1359: 0.02111441953627525
Position 809: 0.017769878726649115
Position 1588: 0.014875791067779476
Position 1175: 0.013620915460472092
Position 1782: 0.012492813055073538
Position 676: 0.01056830881491894
Position 1591: 0.010447333967299622
Position 932: 0.007956993296569011
Position 1362: 0.0066861409949008944
Position 1628: 0.005893270311137025
Position 1275: 0.005752688642035528
Position 1221: 0.004901821396757298
Position 3838: 0.004216593056625331
Position 1070: 0.004150936209312131
Position 719: 0.003462986843083074
Position 753: 0.003196286237966926
Position 1916: 0.0031387202704596987
Position 966: 0.0030517682971187353
Position 1939: 0.002955529849531629
Position 689: 0.0026348435121736854
Position 616: 0.0017012441825528957
Position 1310: 0.0011159084302463456
Position 1116: 0.0008764728112271088
Position 74: 0.0006125345051158871
Position 210: 6.278673334916401e-06
Position 160: 9.328624533502992e-07
Position 166: 4.897528883094628e-07
Position 121: 2.51703566293553e-07
Position 437: 2.1922899788804612e-07
Position 90: 1.7177307863866811e-07
Position 141: 1.4155680197910821e-08
