Gene = ND-SGDH
index = 1305
Annotated 5SS: [268 569 747]
Annotated 3SS: [338 639 805]
SMsplice 5SS: [268 569 747]
SMsplice 3SS: [338 639 805]
top_k =  100
Partition function (log Z): 4.831168643601793

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.9919994219749029
Position 747: 0.986819401387632
Position 268: 0.9867513924057792
Position 559: 0.0017698689761070122
Position 952: 0.0012216283540461283
Position 415: 0.0010260154737057505
Position 449: 0.0010056943267512752
Position 1002: 0.0008591447577673199
Position 294: 0.0006579594134431743
Position 101: 0.0005767643278933472
Position 610: 0.0003149815066512781
Position 109: 0.00018537823113745855
Position 974: 0.0001702157921123889
Position 424: 0.0001331180779877072
Position 90: 0.00010272299563772679
Position 1004: 8.071694053562976e-05
Position 186: 7.589388852127544e-05
Position 990: 6.94090852528507e-05
Position 156: 5.9838753936172254e-05
Position 257: 4.093900080663559e-05
Position 887: 2.1441852320809837e-05
Position 190: 1.1469811798975298e-05
Position 20: 1.0159728837980842e-05
Position 103: 1.0159210697231848e-05
Position 221: 9.70826752396725e-06
Position 782: 8.240757691168905e-06
Position 116: 4.91236999111342e-06
Position 461: 1.3700099287692861e-06
Position 822: 1.0250705957579821e-06
Position 503: 6.085656804514558e-07
Position 62: 2.7176881312945813e-08
Position 143: 1.2428181008781333e-08
Position 199: 1.170375499072147e-09
Position 240: 4.82300597763329e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 805: 0.998021340249349
Position 639: 0.9767222680556725
Position 338: 0.8765729431379713
Position 352: 0.09748928469142325
Position 415: 0.01061178962118082
Position 687: 0.006350235471269997
Position 470: 0.002618328529129644
Position 517: 0.0013996126964433452
Position 1061: 0.0012399848285307095
Position 179: 0.0007593747623484891
Position 1081: 0.0006732096341979574
Position 360: 0.0006645505259367929
Position 1064: 0.00039652088900924277
Position 400: 0.00017313970704435885
Position 1002: 0.00010716544978983107
Position 143: 8.352127955397143e-05
Position 857: 4.699403339306677e-05
Position 620: 3.5971380485322406e-05
Position 82: 1.009245722827695e-05
Position 815: 9.512113280660388e-06
Position 978: 6.701051103143295e-06
Position 723: 4.754924947157937e-06
Position 221: 1.1027323030858464e-06
Position 196: 4.1958025606148096e-07
Position 249: 3.7826066330592694e-07
Position 160: 2.618164488191657e-07
Position 229: 1.7109036757738966e-07
Position 101: 1.3000138005244292e-08
Position 251: 1.6987487559559864e-10
