Gene = Osi21
index = 1349
Annotated 5SS: [816]
Annotated 3SS: [984]
SMsplice 5SS: [816]
SMsplice 3SS: [984]
top_k =  100
Partition function (log Z): -2.0599891503643306

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.991630684126738
Position 273: 0.03361591792139682
Position 262: 0.01618202540596513
Position 793: 0.005370264332113977
Position 271: 0.005102638309078279
Position 218: 0.003694029457061476
Position 60: 0.003337682158735414
Position 852: 0.0010422000803063025
Position 615: 0.0008512206520275901
Position 139: 0.0007576426444106252
Position 548: 0.00036116840096377356
Position 559: 0.0003247591065418001
Position 715: 0.0003234144996086725
Position 1079: 0.00031276328942917
Position 803: 0.00029896417767084443
Position 839: 0.0002128193813546927
Position 1243: 0.0001724592551681982
Position 830: 0.0001502846015164503
Position 1269: 0.00012864558305836904
Position 1283: 8.441331963192814e-05
Position 135: 8.253270733867552e-05
Position 245: 6.837126687227761e-05
Position 160: 5.6039499208086344e-05
Position 847: 5.035974077454632e-05
Position 190: 4.7926204077581055e-05
Position 538: 3.068515793649592e-05
Position 1117: 1.4839708976408429e-05
Position 1228: 1.112616387370542e-05
Position 1087: 9.308750923535414e-06
Position 1307: 5.6617375077741595e-06
Position 1280: 4.953353181183391e-06
Position 27: 4.4127357676121833e-07
Position 85: 2.3517085919850127e-07
Position 21: 1.4435237276253055e-07
Position 148: 6.870017082195742e-08
Position 110: 6.636610699176117e-08
Position 886: 2.3039550855256104e-08
Position 833: 1.2391034509449522e-08
Position 13: 4.934504363937752e-09
Position 117: 3.668963166403412e-09
Position 380: 3.122727344620937e-09
Position 212: 1.971865870452043e-09
Position 665: 1.6570359678801842e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 984: 0.9517799504689525
Position 341: 0.05794746752291367
Position 941: 0.047807502790172714
Position 321: 0.0030529994621032075
Position 672: 0.0009192648463709326
Position 492: 0.0005609957404510519
Position 773: 0.0004507911561034286
Position 1307: 0.00035682173395255016
Position 1365: 0.00032125237902742973
Position 142: 0.00030796847991031157
Position 1135: 0.00023507159612223775
Position 212: 0.00014852452122259566
Position 886: 0.00010960925475163683
Position 1018: 8.580837316019892e-05
Position 160: 8.52006970741818e-05
Position 325: 7.413668128131073e-05
Position 1034: 3.334044799722975e-05
Position 232: 3.2428456063459955e-05
Position 108: 2.7094271000515663e-05
Position 89: 4.189537086674321e-07
Position 93: 1.598098762510866e-07
