Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  100
Partition function (log Z): -4.154480217824805

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.9766522322412015
Position 266: 0.8032614345349782
Position 2361: 0.11132764955009498
Position 3528: 0.07560350650613548
Position 217: 0.047177376774146754
Position 1118: 0.033704605594568615
Position 2079: 0.0202152734974556
Position 48: 0.014109330962168784
Position 3256: 0.008066965017850859
Position 716: 0.007907509951751265
Position 3050: 0.006368685153664076
Position 3343: 0.005586637163295573
Position 1009: 0.0023362896376404947
Position 3137: 0.001261063115376246
Position 2833: 0.0011212965658557272
Position 988: 0.0009500103558629103
Position 2294: 0.0008510483374172061
Position 813: 0.000619901448844165
Position 230: 0.000433846468344103
Position 560: 0.0001448365152143445
Position 296: 0.00014343989954453042
Position 558: 0.00013291093245642146
Position 645: 6.984316197351681e-05
Position 637: 6.708133284969848e-05
Position 562: 5.6363747983368185e-05
Position 1914: 3.522802748012721e-05
Position 326: 8.24316720372324e-06
Position 2873: 7.819455523110852e-06
Position 564: 3.1134627179468504e-06
Position 595: 2.438002583619675e-06
Position 566: 8.33716494009549e-07
Position 641: 6.853534007370666e-07
Position 165: 3.192602760116539e-09
Position 397: 2.3324605939772337e-09
Position 309: 1.531875112023079e-09
Position 270: 1.2006742892902483e-09
Position 191: 7.742553410209063e-10
Position 208: 4.548821305567938e-10
Position 395: 4.1138701310783516e-10
Position 24: 2.6887427245908876e-10
Position 30: 2.656536883190354e-10
Position 354: 2.621463891834105e-10
Position 300: 1.7687097406798743e-10
Position 38: 1.1803567054053074e-10
Position 639: 6.746105394886256e-11
Position 158: 3.7912604781632454e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.9999513938196927
Position 1722: 0.6183151047441292
Position 1618: 0.14334833276958514
Position 2429: 0.11002786245145087
Position 3578: 0.0760846996203546
Position 453: 0.04040572885566548
Position 922: 0.029352564870274208
Position 1083: 0.023190937068562893
Position 1198: 0.020830656056382738
Position 1439: 0.007992424515019069
Position 3431: 0.007281090576865172
Position 3394: 0.006476204820399569
Position 3136: 0.004684055765098079
Position 1044: 0.004309578439601135
Position 1635: 0.003743735921725371
Position 987: 0.0030518672769634207
Position 785: 0.003004523234970346
Position 329: 0.0023378474258323257
Position 1275: 0.0014853063637533558
Position 2408: 0.0014489834133156931
Position 958: 0.0014359853353285413
Position 1100: 0.0012820258213189553
Position 3196: 0.001265942893123862
Position 3184: 0.0011163317120014924
Position 315: 0.001025871484897974
Position 2960: 0.0010167524033174947
Position 981: 0.0008896781786299018
Position 433: 0.0007700484340325606
Position 369: 0.0006977793537988514
Position 2662: 0.0006904003477603662
Position 906: 0.0006065227238104062
Position 2943: 0.000107274049508072
