Gene = Pi3K21B
index = 1379
Annotated 5SS: [ 524 2039]
Annotated 3SS: [1152 4145]
SMsplice 5SS: [ 524 2039 4823]
SMsplice 3SS: [1152 4145 4883]
top_k =  100
Partition function (log Z): -8.416272900828602

Sorted 5' Splice Sites (High to Low Probability):
Position 2039: 0.987193027322524
Position 524: 0.5709508346443029
Position 190: 0.29514294544891684
Position 3252: 0.25113457363129554
Position 194: 0.24474251735462185
Position 365: 0.051847083691364315
Position 995: 0.05109390526774746
Position 304: 0.04484369108910284
Position 75: 0.02520993919738715
Position 3134: 0.021243415847960884
Position 688: 0.012289652862061302
Position 278: 0.008243376324826591
Position 90: 0.00702122945841241
Position 2670: 0.006398557939413954
Position 1412: 0.0038962229870971596
Position 1247: 0.0016986452497174157
Position 286: 0.0010842199668393887
Position 243: 0.0008812149641466162
Position 565: 0.000735965704633363
Position 669: 0.0007142529632194519
Position 77: 0.00021068883506359095
Position 404: 3.164818594810221e-05
Position 2030: 3.067384320986012e-05
Position 407: 1.2139068110527562e-05
Position 136: 1.731821552482012e-06
Position 18: 3.551993668216888e-07
Position 40: 1.705145824250154e-07
Position 113: 1.787268234614312e-08
Position 110: 1.3287713923899108e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1152: 0.9938819976067398
Position 4883: 0.4334344273850508
Position 243: 0.2823828867893288
Position 3009: 0.220046760424229
Position 7149: 0.15484194180069544
Position 4145: 0.13597097924959292
Position 7350: 0.08151083899458081
Position 3410: 0.04995077336333394
Position 2100: 0.04464126195935447
Position 4103: 0.0251152693108711
Position 2867: 0.018467444066312774
Position 4197: 0.018025489689403332
Position 3553: 0.01688410752458624
Position 850: 0.016497030814610448
Position 3962: 0.015585137526079339
Position 3072: 0.013188603346232668
Position 2669: 0.011253877424468164
Position 3357: 0.010067943769455318
Position 253: 0.009056335599260336
Position 2130: 0.008234264143240052
Position 796: 0.005060229119602708
Position 3192: 0.004502339484054478
Position 2162: 0.0037444959377126432
Position 1766: 0.0034527525172122504
Position 1193: 0.0022712743133155243
Position 470: 0.0021043539782920387
Position 147: 0.002060955630609704
Position 1745: 0.001759968425155348
Position 426: 0.0009312711045829524
Position 121: 0.0004991586493394263
Position 2919: 0.0004709794543101828
Position 302: 0.00028576595676691315
Position 1472: 0.00020063052181111077
Position 1475: 0.00018151677263587068
Position 2798: 6.331373084187611e-05
Position 958: 2.4473289231974336e-05
Position 340: 9.071762856845405e-07
Position 438: 8.728825572742167e-07
Position 180: 6.885286107592482e-08
Position 190: 2.746433063898804e-13
