Gene = dpr19
index = 1674
Annotated 5SS: [ 386 1221 1775 2054 2232 2697]
Annotated 3SS: [1079 1628 1842 2119 2322 2754]
SMsplice 5SS: [ 717 1775 2054 2232 2697]
SMsplice 3SS: [1628 1842 2119 2322 2754]
top_k =  100
Partition function (log Z): 5.259605768966339

Sorted 5' Splice Sites (High to Low Probability):
Position 1775: 0.9971199120802268
Position 2697: 0.9804262522071803
Position 2054: 0.9089245031494908
Position 2232: 0.8732369524483539
Position 717: 0.7466611494336632
Position 1349: 0.14614293019893423
Position 1221: 0.11886766533721307
Position 386: 0.08826763693712027
Position 2259: 0.06451508968056746
Position 273: 0.06415779680162152
Position 2964: 0.025124461186929598
Position 2250: 0.019099673814560247
Position 153: 0.017444635241613948
Position 3018: 0.015460909008953331
Position 2591: 0.0137040956748078
Position 52: 0.007148723074297662
Position 3138: 0.004402215400807499
Position 789: 0.002614720009159672
Position 743: 0.0021125430988372827
Position 509: 0.0017936597617992662
Position 1416: 0.0010969788389696038
Position 3525: 0.0010684824610681606
Position 3317: 0.001021456604571924
Position 532: 0.0008799049947990508
Position 3541: 0.0008055724094793591
Position 1099: 0.000757390296404234
Position 1988: 0.000668064155559254
Position 2000: 0.0005181287703601397
Position 1757: 0.0004688215534863842
Position 2096: 0.0002062720671253484
Position 572: 0.00015220528911721255
Position 578: 0.00012889109342931697
Position 2224: 0.00011318694797633213
Position 2050: 9.654437906100099e-05
Position 2032: 9.497251227650397e-05
Position 566: 7.701682341401103e-05
Position 355: 6.842900674987498e-05
Position 1665: 3.221036569552559e-05
Position 2681: 1.60066123219056e-05
Position 107: 1.3451056507262782e-05
Position 2615: 3.3984143773445136e-06
Position 2125: 1.655325430787658e-06
Position 2595: 1.4322965672190325e-06
Position 2606: 5.80049914866449e-07
Position 2597: 4.82253018382157e-07
Position 2007: 2.0574843261934784e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2754: 0.9938970271825616
Position 1842: 0.9839058234059009
Position 1628: 0.9827334035083102
Position 2322: 0.9679123320934181
Position 2119: 0.8217617982313158
Position 1079: 0.06619957143762614
Position 2122: 0.06393141456914872
Position 1206: 0.03841149672688413
Position 1013: 0.03315271938194164
Position 3084: 0.024059366367709098
Position 869: 0.014298581803155089
Position 643: 0.012524614926435612
Position 1823: 0.012321772334534962
Position 597: 0.010712977926701379
Position 2287: 0.010334212422652173
Position 3087: 0.009543227597258704
Position 475: 0.008165971827942146
Position 509: 0.006439045702064624
Position 838: 0.006354307117710195
Position 3607: 0.005726016214298496
Position 3342: 0.005115277655232498
Position 1280: 0.003747674191602874
Position 1069: 0.002267378306761916
Position 3098: 0.002040784038122399
Position 608: 0.0017876839727152686
Position 1230: 0.0016988166282867639
Position 2334: 0.0013766876444742452
Position 1592: 0.0013747311250110871
Position 340: 0.0013384541960726824
Position 669: 0.0012751373694262725
Position 3177: 0.0011825844949009928
Position 313: 0.0011745789084887748
Position 1872: 0.0011397946936266455
Position 2360: 0.0009764688031992171
Position 2401: 0.0008724377838036692
Position 1348: 0.0008060479472535487
Position 1416: 0.0007577529993149632
Position 1859: 0.0006446772274847207
Position 2128: 0.000624766442096525
Position 1901: 0.0005695057871006177
Position 1514: 0.0005597592147037115
Position 1680: 0.00048196564529714937
Position 250: 0.00033525906039952064
Position 2673: 0.0002645479085830247
Position 683: 0.0002252177935424939
Position 3725: 0.0002158407042876747
Position 1904: 0.00016496382056410298
Position 2038: 4.0447649985551595e-05
Position 153: 1.5973664818424112e-05
Position 150: 1.5507184953823604e-05
Position 401: 1.3295031896322904e-05
Position 874: 1.1533407429895212e-05
Position 889: 1.0854854765646987e-05
Position 2777: 4.906916690089519e-06
Position 2421: 6.52939308524006e-08
