Gene = RhoGDI
index = 1424
Annotated 5SS: [ 166 2272 2455 2635]
Annotated 3SS: [2071 2344 2519 3238]
SMsplice 5SS: [ 383 2272 2455 2635]
SMsplice 3SS: [2071 2344 2519 3238]
top_k =  100
Partition function (log Z): -2.48003875777885

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.9902801237647056
Position 2272: 0.9704707350174673
Position 2635: 0.9039632980885747
Position 383: 0.4558185734700987
Position 3170: 0.3459570180720012
Position 782: 0.2885880020264465
Position 68: 0.2771837608276021
Position 206: 0.2244766188487958
Position 166: 0.07331173993751132
Position 32: 0.05261783382043807
Position 3555: 0.025517620859798792
Position 3806: 0.0116410229753946
Position 2600: 0.010479373088865955
Position 3352: 0.010471092490005407
Position 2268: 0.008168245319656462
Position 3031: 0.00783335972223649
Position 2999: 0.005111540551654333
Position 2815: 0.00459491847124698
Position 2931: 0.0013099517146826633
Position 2553: 0.00048470399013609693
Position 196: 0.0002648186237744209
Position 22: 0.00024036445729512794
Position 82: 0.00019572936103571192
Position 202: 0.00018632227522681307
Position 200: 0.00010771219908362032
Position 215: 8.389092199278875e-05
Position 104: 7.379620124842231e-05
Position 60: 6.685865811568254e-05
Position 198: 4.1399881045261895e-05
Position 72: 4.68415620099629e-06
Position 85: 7.491072330128979e-07
Position 115: 7.405257818146594e-07
Position 6: 4.393333466419842e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2519: 0.9729585650127255
Position 2344: 0.9620000565983927
Position 2071: 0.7261791910342377
Position 3238: 0.7173192586020515
Position 2863: 0.40795857036912425
Position 2077: 0.23995431519503863
Position 129: 0.2334756501387022
Position 2729: 0.08747501020349019
Position 3698: 0.06445715219112948
Position 115: 0.057507284313620996
Position 165: 0.029107319349536344
Position 2992: 0.026615465021857965
Position 279: 0.01717032530900329
Position 1783: 0.016269895851811888
Position 2365: 0.014268586786434466
Position 636: 0.013370825891038936
Position 3861: 0.011641022975394589
Position 319: 0.01070203684146026
Position 305: 0.009880319906790062
Position 3638: 0.009079111496570908
Position 104: 0.008899732439297963
Position 3163: 0.006101204734674988
Position 1719: 0.005345898742669469
Position 2900: 0.00499163666676212
Position 292: 0.004199120027156943
Position 2576: 0.0030188415240080535
Position 2538: 0.002580208483910209
Position 2535: 0.0019094126665451213
Position 2376: 0.001711251932151612
Position 2802: 0.0012790778234017261
Position 578: 0.001201724191896244
Position 2674: 0.000918571037801052
