Gene = RtcB
index = 1459
Annotated 5SS: [1421]
Annotated 3SS: [1480]
SMsplice 5SS: [1421]
SMsplice 3SS: [1480]
top_k =  100
Partition function (log Z): -5.482538161098236

Sorted 5' Splice Sites (High to Low Probability):
Position 1421: 0.9918726941029868
Position 749: 0.07160194517025834
Position 173: 0.05767783180616545
Position 461: 0.04064054115169139
Position 1724: 0.011455947315786485
Position 1669: 0.008705002645618708
Position 1085: 0.006966680451933014
Position 1709: 0.005188643600126084
Position 1401: 0.0010334249870832088
Position 1732: 0.0008510124571877526
Position 160: 0.0005996481421881364
Position 1425: 0.000559026288444918
Position 305: 0.0005258711570726616
Position 134: 0.0004355571454393528
Position 1694: 0.0001054281497906497
Position 1747: 6.41564836252087e-05
Position 1634: 3.7422094475262156e-05
Position 1631: 3.663478082409982e-05
Position 1589: 2.1402740353451457e-05
Position 1622: 1.1420519393796107e-05
Position 476: 9.317039623707087e-07
Position 309: 5.773683155207105e-07
Position 500: 5.041358626934887e-07
Position 587: 2.330677973269734e-07
Position 57: 2.2368391728151047e-07
Position 242: 2.0068129127714001e-07
Position 232: 1.7193345871477558e-07
Position 138: 1.2733542221783672e-07
Position 131: 7.750697601634158e-08
Position 224: 4.931901722916234e-08
Position 5: 4.530320614683678e-08
Position 326: 1.4258568128015891e-08
Position 122: 1.2459496943749684e-08
Position 25: 7.734036392013571e-09
Position 935: 5.382756653398743e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1480: 0.9985597565781121
Position 1201: 0.07477909679673057
Position 249: 0.0359090026174314
Position 1793: 0.026872415045387784
Position 1356: 0.022520760743606694
Position 1298: 0.011608409814165223
Position 934: 0.010421472955879191
Position 826: 0.00522611596894239
Position 532: 0.0022651476313549
Position 1095: 0.0021136671252177646
Position 958: 0.0013584643655282762
Position 305: 0.0012745969868614908
Position 1006: 0.001224485417695749
Position 1121: 0.0010091295638135107
Position 372: 0.0008416272993122636
Position 1042: 0.0006436122188122174
Position 915: 0.0004311497464588714
Position 748: 0.0003724649660606868
Position 1767: 0.0003010941104731832
Position 1456: 0.00023028614713524188
Position 637: 0.00021916273551610997
Position 1732: 0.00020554740442263664
Position 331: 2.9659322416727303e-06
Position 334: 2.9415202905922283e-06
Position 211: 3.3300292671674695e-08
Position 82: 2.233060244085706e-08
Position 202: 1.6672894973954355e-08
Position 199: 1.4016432966558799e-08
Position 65: 8.20837444895096e-09
