Gene = CAH2
index = 58
Annotated 5SS: [2555 4548 4837]
Annotated 3SS: [4074 4608 4897]
SMsplice 5SS: [  69 4548 4837]
SMsplice 3SS: [4074 4608 4897]
top_k =  100
Partition function (log Z): 5.6135910430329865

Sorted 5' Splice Sites (High to Low Probability):
Position 4837: 0.9999216920366029
Position 4548: 0.9995256624850563
Position 69: 0.9071286542808492
Position 278: 0.0704263181591354
Position 2555: 0.04598628239024047
Position 1932: 0.04330562940791928
Position 1580: 0.021010736159148443
Position 4191: 0.020256218599821914
Position 140: 0.015055363255080391
Position 319: 0.009732527756053684
Position 5163: 0.0077100158781662365
Position 5283: 0.005054746375971204
Position 1671: 0.003757099020981533
Position 4728: 0.0036673760891914797
Position 4716: 0.0006575062876526182
Position 5174: 0.000651220703948401
Position 5398: 0.000547393161384394
Position 381: 0.0003482831684185311
Position 999: 0.000261490483160225
Position 5646: 0.00018242034332872196
Position 388: 0.0001524370864302133
Position 4684: 7.729630593699082e-05
Position 5160: 6.725487953693916e-05
Position 5062: 4.87586491948027e-05
Position 144: 7.279269104202381e-06
Position 809: 6.4267026676370216e-06
Position 152: 6.195101859744648e-06
Position 67: 3.0688266396645676e-06
Position 188: 2.5174298627641507e-06
Position 121: 1.5561834850360283e-06
Position 39: 1.4473754276532039e-06
Position 12: 6.955607291439282e-07
Position 75: 6.074947466709398e-07
Position 5: 4.1268860307541805e-07
Position 5139: 2.15246863718609e-07
Position 4781: 1.868614037243287e-07
Position 88: 1.6599362962609796e-07
Position 73: 1.472574384853671e-07
Position 4853: 8.31196273520151e-08
Position 4789: 6.645241151956654e-08
Position 4984: 4.926424731972013e-08
Position 191: 3.739319629968445e-08
Position 4739: 2.2820561427822897e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4897: 0.9989057340272267
Position 4074: 0.9624030549941551
Position 4608: 0.9134694630907451
Position 4662: 0.08281333957905546
Position 1723: 0.03966006733894483
Position 1303: 0.02795173347835289
Position 4095: 0.020270806279204585
Position 4242: 0.02025621859982192
Position 3236: 0.01379711367106462
Position 124: 0.010706969774845844
Position 238: 0.009338810270051016
Position 2097: 0.008298932797808928
Position 1266: 0.007742769293714385
Position 5470: 0.007707872250324275
Position 4781: 0.0061112399737461185
Position 5390: 0.005790349487612388
Position 1350: 0.004322119372240791
Position 1472: 0.0035660675166431827
Position 692: 0.0035303468127247718
Position 2633: 0.0012592097311277851
Position 3148: 0.0011940970919957084
Position 4592: 0.0011036652380885662
Position 4922: 0.001052188225602849
Position 1744: 0.0010297911968342038
Position 1670: 0.0010082578835001147
Position 3180: 0.0008561302858201037
Position 5695: 0.00033947083619519737
Position 4638: 0.0002546924479406216
Position 5482: 0.00022597543815997196
Position 4675: 0.00019452971122820888
Position 5218: 0.000164666173366374
Position 1700: 7.156166256989674e-05
Position 871: 4.629220420881111e-05
Position 724: 4.420920664016236e-05
Position 4963: 4.207774717015681e-05
Position 5593: 3.358538583208343e-05
Position 5194: 1.5493115143558822e-07
