Gene = Mip
index = 1279
Annotated 5SS: [287]
Annotated 3SS: [3610]
SMsplice 5SS: [100]
SMsplice 3SS: [3610]
top_k =  100
Partition function (log Z): -6.88834104545733

Sorted 5' Splice Sites (High to Low Probability):
Position 100: 0.5617080121491465
Position 287: 0.43312816117028063
Position 3049: 0.06336063684435658
Position 4139: 0.04808618878608691
Position 3683: 0.028386270082346225
Position 134: 0.007575792768732628
Position 363: 0.006849920853748002
Position 294: 0.0038850567237432077
Position 4266: 0.003867460072669616
Position 1177: 0.0033836505477846655
Position 4527: 0.002339752057039818
Position 376: 0.0012433177029906985
Position 26: 0.0009175704390876223
Position 939: 0.0007338972646562905
Position 373: 0.00012050962919066916
Position 388: 5.261510167517257e-05
Position 3904: 2.8762671701334955e-05
Position 876: 2.207842094364083e-05
Position 318: 6.957482554556497e-06
Position 211: 5.408038399242873e-06
Position 254: 5.087214669125997e-06
Position 1222: 3.927619962669386e-06
Position 699: 3.865574174690529e-06
Position 884: 3.7553122341628654e-06
Position 185: 1.6118368777962063e-06
Position 95: 1.4248975602046977e-06
Position 162: 8.484785981653881e-07
Position 84: 6.224266054595631e-07
Position 128: 5.904875923157476e-07
Position 14: 3.040557318932237e-08
Position 62: 1.4393138536837597e-08
Position 291: 2.425674826124377e-10
Position 282: 6.01314551181659e-12
Position 228: 4.905720350080062e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 3610: 0.9947181064134529
Position 4359: 0.021796715971139496
Position 4322: 0.020421794853839458
Position 4376: 0.019969688799830576
Position 3733: 0.01654952206475176
Position 2686: 0.014638235664697108
Position 1968: 0.013548451759965736
Position 228: 0.012301719593265285
Position 439: 0.01140906503195178
Position 2390: 0.009907019133620933
Position 2192: 0.005753451363147905
Position 183: 0.00534974026373435
Position 2285: 0.0030708653832150308
Position 2305: 0.003009790840641129
Position 3009: 0.002805580593500675
Position 4613: 0.0023397520570398187
Position 3756: 0.0021916802153190934
Position 2645: 0.0019801247812317817
Position 3165: 0.001397274024885961
Position 192: 0.000618605073764231
Position 3736: 0.0006028883202404844
Position 974: 0.0005735345400372072
Position 479: 0.00039392602957262913
Position 904: 0.00022326163626122263
Position 1508: 4.302053363602848e-05
Position 1425: 3.027896212766555e-05
Position 3975: 2.8762671701334955e-05
Position 1142: 2.0616959566004506e-05
Position 476: 2.0127013093170895e-05
Position 2575: 9.942947391277732e-06
Position 271: 8.192867086572277e-08
Position 341: 8.055340670859994e-08
Position 347: 6.122060864024027e-08
Position 286: 1.5571928634531908e-08
Position 100: 8.250773381003151e-09
Position 185: 3.4796045580955485e-09
Position 282: 3.2015760734563284e-09
