Gene = Tg
index = 1557
Annotated 5SS: [  479 15079]
Annotated 3SS: [13111 15142]
SMsplice 5SS: [  479 15079]
SMsplice 3SS: [13111 15142]
top_k =  100
Partition function (log Z): -4.2951510693346675

Sorted 5' Splice Sites (High to Low Probability):
Position 15079: 0.9988807728626568
Position 479: 0.9960309992165087
Position 1699: 0.23034594797652427
Position 7932: 0.08161439760068245
Position 15356: 0.0808324888672713
Position 9815: 0.030778719328956625
Position 8184: 0.030676247194957183
Position 239: 0.02478909149328023
Position 319: 0.004250218718561051
Position 268: 0.0027241867980904925
Position 15380: 0.002317448079752094
Position 15408: 0.001881812971280649
Position 15387: 0.0011496758750178502
Position 286: 0.0009696900034866994
Position 15390: 0.00045930874383535894
Position 15398: 0.0004524824673662858
Position 775: 0.0002349825016023765
Position 143: 4.469970334236433e-05
Position 323: 3.607378370667645e-05
Position 165: 2.8779377023870352e-05
Position 170: 2.671385780670945e-05
Position 65: 1.1832380616777084e-05
Position 197: 9.616418955387747e-06
Position 119: 8.365134668868663e-06
Position 178: 5.483719445611627e-06
Position 321: 3.446561468149881e-06
Position 326: 2.4511867390197462e-06
Position 4493: 5.719021489130976e-10
Position 3024: 3.054530784300992e-10
Position 1456: 1.4910547088860468e-11
Position 1047: 1.4562940222335212e-12
Position 750: 4.115455579750298e-13
Position 16: 7.52070974346051e-15
Position 540: 2.9747021696378016e-15
Position 483: 2.726305385215351e-15
Position 548: 1.9903028168042613e-15
Position 656: 6.216323730801833e-16
Position 619: 6.119720299944652e-16
Position 422: 7.647912908792498e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 13111: 0.9993303586242167
Position 15142: 0.9942175605030275
Position 7656: 0.0957345188416647
Position 15460: 0.08709321700452351
Position 1548: 0.05684879038846278
Position 773: 0.04941713411853244
Position 846: 0.034402504540658435
Position 9637: 0.030778719328956625
Position 708: 0.023856842427463755
Position 1615: 0.017366727594187854
Position 814: 0.01684975575567404
Position 369: 0.016844409998660617
Position 326: 0.012332220925229178
Position 555: 0.010025250755356327
Position 7814: 0.009614046390431164
Position 7687: 0.006942336202186143
Position 1476: 0.0065648906639964675
Position 1443: 0.006516529827184191
Position 15158: 0.005332370302706068
Position 1569: 0.002044597453646875
Position 1355: 0.0019642881380364835
Position 1150: 0.0016401697966726885
Position 1427: 0.0015507589061362422
Position 1532: 0.001297707338886847
Position 8749: 1.9307751902332594e-07
Position 6818: 1.7105869205290438e-08
Position 6215: 9.876963425032578e-09
Position 2681: 2.9619312065662543e-09
Position 4418: 2.7084827396419627e-09
Position 4563: 5.719021489130976e-10
Position 605: 3.2625547535271723e-10
Position 988: 3.2302144460053573e-10
Position 1984: 3.182499050588364e-10
Position 3086: 3.054530784300998e-10
Position 2540: 1.2272697720359904e-10
Position 2145: 1.2252819354165932e-10
Position 1761: 2.756713382020316e-11
Position 1625: 8.024150217369767e-12
Position 616: 7.208443261344403e-12
Position 656: 6.557805201032789e-12
Position 566: 4.543741254126114e-12
Position 1226: 4.43332416577957e-12
Position 959: 3.616508900012389e-12
Position 859: 3.2183715663291663e-12
Position 300: 1.7938584869107515e-12
Position 280: 1.1249334132654735e-12
Position 1054: 5.85012151178661e-13
Position 290: 3.182733937894308e-13
Position 635: 2.7906262694622116e-13
Position 992: 2.770348454103002e-13
Position 665: 2.406052045061213e-13
Position 286: 1.688194727225821e-13
Position 176: 1.6844095349587285e-13
Position 399: 1.3468490333421143e-13
Position 384: 3.875877382835232e-14
Position 337: 3.5288360929554486e-14
Position 119: 1.5944288753100036e-14
Position 197: 5.8673655462550625e-15
Position 466: 8.23433093966248e-16
Position 181: 8.1421048166398265e-16
Position 259: 1.541304184029841e-16
Position 143: 8.770640406379444e-17
