Gene = dlt
index = 1672
Annotated 5SS: [130]
Annotated 3SS: [1827]
SMsplice 5SS: [ 130 2048]
SMsplice 3SS: [1827 2108]
top_k =  100
Partition function (log Z): -10.358009305664542

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.6338664035141195
Position 2048: 0.6013072917174836
Position 2771: 0.434625133225812
Position 277: 0.22404330550323756
Position 2134: 0.2046284305928896
Position 2026: 0.15344941451753116
Position 1165: 0.05265812537879407
Position 2804: 0.04742566690035095
Position 98: 0.045413121041093664
Position 2277: 0.03605388785407954
Position 3344: 0.0265948673055628
Position 2000: 0.01346391878390046
Position 3585: 0.013014914024131167
Position 1122: 0.008065227053515131
Position 1546: 0.0064693782817183566
Position 84: 0.006068761419944194
Position 165: 0.0060467716406913
Position 463: 0.005133701062014154
Position 2058: 0.004504571175545976
Position 855: 0.0044745886120220206
Position 1629: 0.0043113103250075795
Position 763: 0.003407718315484424
Position 939: 0.003097140703795942
Position 566: 0.00266887305620706
Position 1513: 0.0023707956892946845
Position 943: 0.0022695606092665386
Position 543: 0.0020282581310896125
Position 2385: 0.0017142555060855767
Position 338: 0.0015426595275295331
Position 288: 0.0014672431735773862
Position 1178: 0.0013358145781523117
Position 199: 0.0013231475121729553
Position 1129: 0.001125698736584032
Position 487: 0.0010035751722942997
Position 2109: 0.0006831144117715631
Position 2070: 0.0006490075033615246
Position 695: 0.0005496941287161596
Position 618: 0.0005484544010872036
Position 699: 0.0004276405155658996
Position 104: 0.0001627709193158622
Position 128: 8.473409017403154e-05
Position 197: 8.118999909416714e-05
Position 51: 7.845053956932254e-06
Position 33: 1.8223400734197835e-06
Position 28: 1.4843280486662215e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 1827: 0.9859741702369476
Position 2108: 0.5846967530912163
Position 2860: 0.5406358454750652
Position 2191: 0.27253960296290214
Position 2880: 0.05899589194299461
Position 2665: 0.04820087257915113
Position 158: 0.019524319058032893
Position 3721: 0.01813744011850192
Position 4327: 0.013192999498427945
Position 4197: 0.0082793417127641
Position 1336: 0.0035790286754927387
Position 1623: 0.0022808503463773253
Position 1713: 0.0012209925220751944
Position 798: 0.001207670294379603
Position 684: 0.0009275681871978752
Position 2262: 0.000777941630617851
