Gene = mtsh
index = 1805
Annotated 5SS: [ 530  833 2072 2275]
Annotated 3SS: [ 597  948 2127 2553]
SMsplice 5SS: [530 833]
SMsplice 3SS: [ 597 2553]
top_k =  100
Partition function (log Z): -1.8832501253806015

Sorted 5' Splice Sites (High to Low Probability):
Position 833: 0.9985513278631385
Position 530: 0.961367579758257
Position 1037: 0.2863926456027673
Position 2275: 0.22651208082929375
Position 2385: 0.030375417236434228
Position 466: 0.029523644968067374
Position 2257: 0.026784094412563235
Position 2709: 0.015426168276614409
Position 1620: 0.014091890413443527
Position 2170: 0.010543452518433145
Position 119: 0.01052600882929132
Position 117: 0.0070917689686760795
Position 86: 0.0069820434284251515
Position 98: 0.005454501961595216
Position 2072: 0.005336308947419651
Position 80: 0.003113904259970766
Position 1092: 0.002067430457719852
Position 337: 0.0014958023344918503
Position 294: 0.0009482279429002717
Position 33: 0.0008366125062947402
Position 422: 0.0003576905216516715
Position 889: 0.00033067836745497096
Position 1303: 0.0002839974315305663
Position 1271: 0.0002755791566732691
Position 383: 0.0001733239393087204
Position 777: 0.00011904959479103872
Position 89: 0.00010545985942156047
Position 84: 0.00010528357580077856
Position 510: 8.379660051749236e-05
Position 60: 6.981603532251233e-05
Position 171: 2.6619975108897047e-05
Position 904: 2.462106007626703e-05
Position 372: 2.157363832927927e-05
Position 893: 1.2889414753590177e-05
Position 765: 2.2623286913074225e-06
Position 57: 2.940624662974543e-07
Position 343: 2.676890845214884e-07
Position 355: 1.7468701374738895e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 597: 0.9265882234600791
Position 2553: 0.5982265222172383
Position 948: 0.5560357434046711
Position 1381: 0.09310044127570424
Position 2514: 0.08027753062692536
Position 2223: 0.057433469269187444
Position 889: 0.039591383975689474
Position 674: 0.03424191991671876
Position 2477: 0.03277260930848487
Position 209: 0.02943512624285876
Position 626: 0.02720753396972279
Position 1921: 0.025364688574267838
Position 2357: 0.01969195253664721
Position 2127: 0.019083909643121483
Position 919: 0.01810716790428373
Position 2764: 0.015426168276614409
Position 1965: 0.014998080698771423
Position 2145: 0.011080151010831159
Position 902: 0.010278517579948812
Position 962: 0.009459310253501411
Position 1092: 0.004663164115050148
Position 2167: 0.004369613137147471
Position 1745: 0.003982588699670486
Position 188: 0.0036426182620310056
Position 2384: 0.003290158498579978
Position 510: 0.0023303275426087428
Position 406: 0.0013144925930075593
Position 348: 0.0010586282255726674
Position 203: 0.0006867680960880152
Position 734: 0.00047049782643836485
Position 457: 0.0003161869036950457
Position 273: 0.00026190686902618793
Position 223: 0.00016645025764000252
Position 743: 0.00016576985060238894
Position 481: 0.00011589504307997232
Position 529: 5.601958075133024e-05
Position 691: 3.6519709799879734e-05
Position 710: 2.499330464149352e-05
Position 524: 2.1118035901349307e-05
Position 995: 1.6922240855625434e-05
Position 776: 1.2056354761152425e-05
Position 98: 8.54600787598309e-06
Position 904: 9.441768144551048e-07
Position 1021: 6.367446173757682e-07
Position 975: 5.739648525475802e-07
Position 253: 4.3580637500531456e-07
Position 363: 4.678446412209927e-09
Position 425: 2.7825957176200002e-09
