Gene = eya
index = 1698
Annotated 5SS: [11148 14071 18402 18709]
Annotated 3SS: [14023 16646 18463 18784]
SMsplice 5SS: [  528 18402 18709]
SMsplice 3SS: [16646 18463 18784]
top_k =  100
Partition function (log Z): -2.0480395731393766

Sorted 5' Splice Sites (High to Low Probability):
Position 18402: 0.9993112152199428
Position 528: 0.9983985108846329
Position 18709: 0.9911185208185185
Position 14071: 0.27096538812740567
Position 3782: 0.2141349093084508
Position 18978: 0.1391846557787642
Position 3620: 0.10597775025999209
Position 1603: 0.01778435591069447
Position 1105: 0.016523513491021415
Position 875: 0.00944825072388252
Position 18729: 0.004386307990873609
Position 289: 0.003983607935762624
Position 287: 0.001813230224733554
Position 80: 0.0015497275874677206
Position 18609: 0.001239806080161591
Position 19215: 0.001018400148331051
Position 201: 0.0006950184435121528
Position 19213: 0.0006664961698335321
Position 18694: 0.0006483332017203772
Position 307: 0.00041229455395225316
Position 296: 0.00038752413114995086
Position 19041: 0.00033294643900657126
Position 219: 0.00013450338537545364
Position 291: 0.00012540315177316728
Position 293: 9.956785368171167e-05
Position 311: 5.452645727471155e-05
Position 577: 1.9448479445589594e-05
Position 23: 7.235892127705485e-06
Position 667: 6.54100983001227e-06
Position 479: 5.151002802203812e-06
Position 332: 5.100998954620306e-06
Position 571: 1.4728104405103427e-06
Position 5: 8.185805246741714e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 16646: 0.9999999999999012
Position 18463: 0.9992804825736364
Position 18784: 0.9974237007375805
Position 14023: 0.27096538812740567
Position 3458: 0.138078529275453
Position 3494: 0.11883199466969942
Position 19268: 0.09291439690748272
Position 3678: 0.04978218041934914
Position 19160: 0.0198696031261321
Position 622: 0.011910868511236475
Position 577: 0.010895020928177226
Position 812: 0.009563741441700743
Position 3530: 0.007569413854883686
Position 19479: 0.00649750796029424
Position 348: 0.006081558361060326
Position 2742: 0.005850541349057642
Position 19502: 0.005179748971258981
Position 19142: 0.004089182886678293
Position 19204: 0.00402829419519112
Position 930: 0.0034985166543069182
Position 1232: 0.0030350985598527726
Position 19520: 0.0028771518617826263
Position 19441: 0.002852103479579615
Position 1154: 0.0025867894095237738
Position 136: 0.0015513508483859409
Position 19294: 0.0015212517647164008
Position 19488: 0.001217692376675939
Position 379: 0.0008343383936457436
Position 408: 0.0008013115931982873
Position 776: 0.0002264903788726798
Position 1195: 0.00020115331949189367
Position 1471: 0.0001694753269177008
Position 19526: 0.0001555650061431788
Position 725: 5.126449064816805e-05
Position 967: 4.882529211993683e-05
