Gene = TfAP-2
index = 1552
Annotated 5SS: [12511 22822 23059 24523 25357 25682 25953]
Annotated 3SS: [22590 22872 24314 25166 25416 25784 26015]
SMsplice 5SS: [   69 22822 23059 24523 25357 25682 25953]
SMsplice 3SS: [22590 22890 24314 25166 25416 25784 26015]
top_k =  100
Partition function (log Z): -25.796539737618872

Sorted 5' Splice Sites (High to Low Probability):
Position 69: 0.9999995467711319
Position 4350: 9.848669571824233e-06
Position 2428: 8.924615526662114e-07
Position 565: 4.73993222165421e-07
Position 3698: 4.701023471314735e-07
Position 1773: 2.2436913833744015e-07
Position 2376: 6.890562611400165e-08
Position 2318: 6.438005960834314e-08
Position 1391: 5.885492194200938e-08
Position 1285: 5.004464259144885e-08
Position 314: 2.774290216182118e-08
Position 903: 6.076288673132019e-09
Position 1870: 5.7114009356739335e-09
Position 272: 4.548977241188151e-09
Position 409: 4.455393269758146e-09
Position 126: 3.386775081344019e-09
Position 290: 8.699116894940978e-10
Position 1124: 7.95994015760043e-10
Position 195: 2.58316417953717e-10
Position 406: 7.124013447149538e-11
Position 215: 5.887587391359102e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 16203: 0.6206968660426723
Position 15766: 0.3623963694575136
Position 11890: 0.008963462683105725
Position 12425: 0.0078089345278181165
Position 7844: 6.521992958069875e-05
Position 6210: 1.938565967914033e-05
Position 6365: 1.6098555230219647e-05
Position 7392: 1.0032306290045918e-05
Position 4101: 8.917487678438329e-06
Position 7263: 8.144598063307398e-06
Position 4403: 4.3376199080307824e-06
Position 6607: 4.071695712009925e-06
Position 2493: 3.4235148088963703e-06
Position 1623: 2.4469449026847963e-06
Position 4425: 1.1173403621525692e-06
Position 3697: 9.312273575916237e-07
Position 3752: 6.814811748786597e-07
Position 4046: 5.017736772216745e-07
Position 2317: 1.754752554475768e-07
Position 341: 1.1651509592705895e-07
Position 3185: 1.0313621471430303e-07
Position 3342: 7.566183674887634e-08
Position 2455: 5.821736367954067e-08
Position 1582: 5.09062031408732e-08
Position 129: 4.4624581097759454e-08
Position 364: 2.9050916131517462e-08
Position 2217: 2.1585142680905963e-08
Position 158: 2.120315293410969e-08
Position 1850: 2.0803496884598664e-08
Position 126: 2.0576998868272536e-08
Position 384: 1.9921788637590303e-08
Position 900: 1.670096900478893e-08
Position 171: 1.279710199782985e-08
Position 462: 6.406921807015526e-09
Position 255: 4.8118998194588935e-09
Position 379: 4.299838927271324e-09
Position 200: 3.937569671027421e-09
Position 539: 2.1974971828235043e-09
Position 290: 5.036050230534239e-10
Position 195: 3.493070919679937e-10
