Gene = w-cup
index = 1933
Annotated 5SS: [1037]
Annotated 3SS: [1096]
SMsplice 5SS: [1037]
SMsplice 3SS: [1096]
top_k =  100
Partition function (log Z): -5.989321469888705

Sorted 5' Splice Sites (High to Low Probability):
Position 1037: 0.983689883856956
Position 1187: 0.07822382036994836
Position 1447: 0.02376676761232289
Position 949: 0.014617732835226209
Position 533: 0.003814605105076463
Position 1050: 0.001503271914579075
Position 367: 0.0014364833441603353
Position 49: 0.0012787724249798365
Position 1117: 0.001127390730745732
Position 295: 0.0010706180496227683
Position 523: 0.0010442697150644515
Position 148: 0.0007707668983543258
Position 1283: 0.0007290206415632986
Position 546: 0.0005729585052730561
Position 1548: 0.0004378508840389242
Position 467: 0.0003724332519254597
Position 9: 0.00027296003499189685
Position 139: 0.0002264750030625114
Position 819: 0.0002157243953460519
Position 1008: 0.00019018202683589346
Position 14: 0.00011571327120818133
Position 236: 9.797205301760627e-05
Position 25: 3.4373299513266596e-05
Position 772: 1.0089011926036315e-05
Position 678: 8.665977527636234e-06
Position 954: 7.577805393326568e-06
Position 738: 6.209486737185253e-06
Position 909: 1.1513512895336571e-06
Position 611: 9.329175597080213e-09
Position 108: 3.5251804621339254e-09
Position 690: 3.304938504556341e-09
Position 220: 7.34888719113816e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1096: 0.5858840307932042
Position 1099: 0.40816440922063607
Position 1652: 0.02482211106215784
Position 1608: 0.017865712096561744
Position 1494: 0.01520570056207429
Position 1674: 0.009395973781572382
Position 603: 0.008473676676816018
Position 1632: 0.008295750862881512
Position 1105: 0.005951016051641559
Position 1307: 0.004815898076148843
Position 1338: 0.004500697548575178
Position 1548: 0.003460107180125926
Position 1267: 0.002454646598505779
Position 1635: 0.00243044149343378
Position 1313: 0.00239707435454338
Position 1235: 0.001846858706947948
Position 1765: 0.0017853590412463434
Position 1806: 0.0015442337268338157
Position 120: 0.0009111524536372979
Position 1434: 0.0006421197079061402
Position 1405: 0.0006273799847494662
Position 1429: 0.0006141639067147891
Position 1324: 0.0005361897123287669
Position 606: 0.00043490877909346966
Position 419: 0.0004112050687671676
Position 1768: 0.0003820808851410008
Position 1382: 0.0003628648715840985
Position 266: 0.00032263862946291634
Position 431: 0.0003176010938695119
Position 1412: 0.00029948607858627357
Position 1008: 0.0001361049750533101
Position 889: 0.00010486343669897337
Position 899: 0.0001022316422184716
Position 189: 8.170396023315245e-05
Position 515: 6.331651326307205e-05
Position 1121: 4.721765516524768e-08
