Gene = GramD1B
index = 1200
Annotated 5SS: [ 2467  5469  6128  7946  9546  9863 10066 10374 10957 12377]
Annotated 3SS: [ 5177  5652  7695  8431  9609  9934 10176 10653 11928 12443]
SMsplice 5SS: [  594  5469  6128  7946  9546  9863 10066 10374 12377 12565 13352]
SMsplice 3SS: [ 5177  5652  7698  8431  9609  9934 10176 11928 12443 13201 13526]
top_k =  100
Partition function (log Z): 21.18948510940994

Sorted 5' Splice Sites (High to Low Probability):
Position 12377: 0.9998673696127399
Position 6128: 0.9976643915596598
Position 9546: 0.9966522470614853
Position 10066: 0.9921186192069492
Position 9863: 0.9911040512389389
Position 594: 0.9845873296291713
Position 10374: 0.981533981548738
Position 7946: 0.9326117194029305
Position 5469: 0.9264500436589032
Position 12565: 0.8578265820198411
Position 13352: 0.6560931037117762
Position 10930: 0.30442155313562935
Position 10957: 0.2980677616276429
Position 1187: 0.27996755182070343
Position 1379: 0.06934236940314774
Position 13795: 0.04006550454893006
Position 8039: 0.0388659996101435
Position 8086: 0.03707455943934499
Position 7942: 0.035037071988866804
Position 8536: 0.03278138618982385
Position 5473: 0.032473642916542506
Position 5522: 0.03174743009720342
Position 11661: 0.019575211094449867
Position 11012: 0.017266053373870015
Position 6519: 0.016293135925901106
Position 13091: 0.009320885322949241
Position 12725: 0.007999294183173088
Position 13356: 0.0064841732311752545
Position 8631: 0.006281412631832233
Position 964: 0.004439066924820165
Position 10705: 0.00404218277570103
Position 12670: 0.0034334109236652424
Position 10828: 0.0032935923860031753
Position 708: 0.0028263593209590693
Position 948: 0.0028176902621774966
Position 10117: 0.0018759556691802575
Position 755: 0.001788673901530916
Position 5814: 0.001645366162714042
Position 9331: 0.0010798063764310242
Position 9869: 0.0010693051781482863
Position 724: 0.0008904662822453006
Position 9659: 0.0005969589422575352
Position 102: 0.0005471523762028664
Position 211: 0.0005119377312035986
Position 860: 0.0004942669635223624
Position 9995: 0.0004653255779205415
Position 9803: 0.0004132952055360991
Position 737: 0.00040555401202258337
Position 650: 0.0002145012597706575
Position 459: 0.0002118642133399208
Position 935: 0.0001920835965434134
Position 9842: 0.0001332472070501682
Position 746: 0.00011267533474029585
Position 6269: 9.250973278241895e-05
Position 701: 8.665130333004195e-05
Position 477: 7.190368031291907e-05
Position 491: 6.765490087509102e-05
Position 9812: 5.876336960656292e-05
Position 12181: 2.7122171240741702e-05
Position 7966: 2.4432945544427616e-05
Position 12532: 1.7499439850413778e-05
Position 10493: 8.046200412085282e-06
Position 10398: 7.417702496747287e-06
Position 9935: 6.471512618775745e-06
Position 259: 3.6741293094332057e-06
Position 946: 3.480806885496635e-06
Position 191: 1.572167255822151e-06
Position 12608: 1.5199070220714929e-06
Position 120: 6.744056301945776e-07
Position 3155: 5.889999069621977e-07
Position 126: 4.582839129047537e-07
Position 231: 1.8956471382892453e-07
Position 183: 1.4966799215673282e-07
Position 504: 9.115355269131778e-08
Position 267: 6.944777743816383e-08
