Gene = CycJ
index = 1114
Annotated 5SS: [195 445 945]
Annotated 3SS: [257 521 997]
SMsplice 5SS: [195 945]
SMsplice 3SS: [ 257 1004]
top_k =  100
Partition function (log Z): -5.5926380391695805

Sorted 5' Splice Sites (High to Low Probability):
Position 945: 0.9071828533009686
Position 195: 0.8878882458220455
Position 445: 0.29545653760446233
Position 503: 0.016930256157034924
Position 1297: 0.008517069249856127
Position 1063: 0.005410554220133229
Position 207: 0.004477454361289632
Position 454: 0.0019741132595209442
Position 1134: 0.0017060925434267075
Position 1096: 0.0007778671150535088
Position 969: 0.0007576171291653795
Position 1083: 0.000726594682098006
Position 940: 0.0005280552641644279
Position 189: 0.00021461804739845064
Position 6: 0.0001284417990323256
Position 694: 0.00012478234489422986
Position 545: 0.00010875339154605851
Position 489: 9.620283283406889e-05
Position 430: 4.972182559841256e-05
Position 37: 1.5837120596497155e-05
Position 21: 1.2493747645147649e-05
Position 78: 6.5530518763954e-06
Position 60: 3.2173261573727724e-06
Position 239: 2.742301843850387e-06
Position 123: 9.909389177813978e-07
Position 150: 9.798479761612627e-07
Position 254: 9.324840150092468e-07
Position 147: 5.673723627865475e-07
Position 55: 3.8711130131065715e-07
Position 835: 3.1507246973457454e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.8745868018953904
Position 1004: 0.5320542381958637
Position 997: 0.3630822599010516
Position 608: 0.16310108396034775
Position 521: 0.07289980622844823
Position 811: 0.04125933675398857
Position 1179: 0.026117740292366777
Position 651: 0.022416790949558348
Position 1369: 0.009235196164986534
Position 786: 0.008251348977327872
Position 762: 0.0067174900414242785
Position 362: 0.005970466270418415
Position 1326: 0.00218002389863376
Position 616: 0.002129258358867063
Position 1054: 0.0019316376554968174
Position 1206: 0.0005655964278157812
Position 316: 0.0002633812557505624
Position 269: 0.00011693396562244243
Position 87: 9.542905693409025e-05
Position 910: 5.299024058786898e-05
Position 60: 5.1142013643819885e-05
Position 119: 1.0620466974153829e-05
Position 324: 9.432752300492447e-06
Position 116: 1.1646909218143549e-06
Position 137: 5.480739233054884e-07
Position 409: 5.943555722043409e-08
Position 186: 5.5953514951012306e-08
Position 167: 8.596148955066615e-09
Position 183: 3.2583548322098935e-09
Position 134: 9.350351164893875e-10
Position 123: 6.584288876535972e-10
