Gene = tweek
index = 1922
Annotated 5SS: [  636  3248  6454  6715  7341  7682  7868  8415  9579 14375 15642 15912
 16223 16900 17105 17826 18024 18949 19634 23151 26866 27132 27331]
Annotated 3SS: [ 2967  3302  6510  6796  7400  7746  8318  8997 14037 14441 15746 15969
 16808 17000 17169 17890 18086 19017 22181 23213 26930 27181 27390]
SMsplice 5SS: [  636  3248  6454  6715  7341  7682  8415  9579 14375 15642 15912 16172
 16900 17105 17826 18024 18949 19634 23151 23976 26866 27132 27331]
SMsplice 3SS: [ 2967  3302  6510  6796  7400  7746  8997 14037 14441 15746 15969 16808
 17000 17169 17890 18086 19017 22181 23213 25027 26930 27199 27390]
top_k =  100
Partition function (log Z): 83.27736228735353

Sorted 5' Splice Sites (High to Low Probability):
Position 3248: 0.9999998746179082
Position 18024: 0.9999529743294406
Position 18949: 0.9999206256887351
Position 15912: 0.9992603612882345
Position 23151: 0.9987805074648924
Position 27132: 0.9979588098548364
Position 14375: 0.9977680521437996
Position 7341: 0.9972985269404984
Position 17826: 0.9963542538998887
Position 9579: 0.996288425848231
Position 17105: 0.9955730060499818
Position 6715: 0.992175328054327
Position 27331: 0.9900576781017688
Position 16900: 0.9843768631633666
Position 19634: 0.9738320717905234
Position 6454: 0.936589989381724
Position 7682: 0.8960959493602548
Position 26866: 0.8904491706632285
Position 8415: 0.8416678010055276
Position 636: 0.7505418050939977
Position 16172: 0.6634657363469595
Position 23976: 0.5473744886141695
Position 15642: 0.4897363054078172
Position 15654: 0.4478568380886811
Position 7868: 0.31906048451904245
Position 23445: 0.25849322522162155
Position 8200: 0.22010074765475196
Position 4021: 0.17862345326424686
Position 23476: 0.1699601005488386
Position 4340: 0.14442673683972357
Position 14569: 0.13117102698918168
Position 16599: 0.13012393894267832
Position 242: 0.08997968663156873
Position 16622: 0.08682349438643239
Position 15368: 0.07736664881236213
Position 10045: 0.06051471710289815
Position 15662: 0.05853826631308037
Position 273: 0.05824427889456951
Position 16223: 0.05384546046384276
Position 15104: 0.05096768754108899
Position 16121: 0.04899727907359683
Position 22660: 0.04771650804479902
Position 23335: 0.03263765471325347
Position 9169: 0.03014915463597304
Position 9106: 0.02893331874129003
Position 222: 0.025619470091541634
Position 252: 0.01809341570054539
Position 20811: 0.01756409728163734
Position 28260: 0.016639875776737034
Position 19547: 0.016406781550005054
Position 250: 0.016349783973348637
Position 16268: 0.016129605838573972
Position 1131: 0.014728477637203315
Position 1140: 0.013598349865842787
Position 19211: 0.012630457272892113
Position 246: 0.012224659179029677
Position 7919: 0.011449606219734901
Position 16265: 0.010830130203442576
Position 28492: 0.009505070025210664
Position 27328: 0.009309890447198939
Position 691: 0.009156202674276442
Position 28340: 0.009077305118447409
Position 16444: 0.008191039478938346
Position 4114: 0.007994282738823993
Position 6719: 0.007550798652643763
Position 26772: 0.006997890540515695
Position 7696: 0.006150124292233312
Position 19041: 0.006117399952917681
Position 14581: 0.005984401710153731
Position 16626: 0.005488296128091753
Position 23315: 0.005480283978600628
Position 19762: 0.005455606429162815
Position 19218: 0.004750762783939185
Position 7132: 0.00454656192163633
Position 21031: 0.00426013913810604
Position 5630: 0.0040513280845772565
Position 3379: 0.0036738972058295836
Position 14553: 0.0035916075705882847
Position 8029: 0.003527403479205826
Position 20379: 0.002392712960548763
Position 19582: 0.002268172802695501
Position 17805: 0.0021777744334862004
Position 14379: 0.0021666792707448167
Position 20879: 0.00199327474611895
Position 19227: 0.0019890588522591046
Position 19863: 0.001944213697511253
Position 7356: 0.0018660196510637999
Position 18713: 0.0016347685264562904
Position 4751: 0.0016196595674444407
Position 25647: 0.0015728498100754573
Position 3521: 0.0013058399608167784
Position 27136: 0.0012983565241672713
Position 17109: 0.0011699434855123457
Position 18573: 0.0009908272996946136
Position 1339: 0.0007963233489948021
Position 15916: 0.000724886457452582
Position 27129: 0.0006466867420399646
Position 7535: 0.0005909795030011075
Position 7626: 0.0005583824528322974
Position 7030: 0.0005354206613586185
Position 27988: 0.000532829379144309
Position 7027: 0.00047552561188617603
Position 248: 0.00043203251386060934
Position 17214: 0.0003924222011211921
Position 7512: 0.0003745482559166644
Position 1172: 0.00033777143126029137
Position 7489: 0.00031027178754903227
Position 16035: 0.00027077476492264963
Position 27763: 0.0002638597892998742
Position 7041: 0.00025717174050486695
Position 16023: 0.0002555981254704643
Position 17891: 0.00024496567347368604
Position 27952: 0.0002446098068845992
Position 7345: 0.0001623913656593369
Position 275: 0.00014537186218877005
Position 16008: 0.00010278481478976166
Position 6591: 9.853228516991474e-05
Position 22306: 7.699359738837196e-05
Position 277: 7.163923124015488e-05
Position 289: 6.497699953094638e-05
Position 17092: 5.986221452781676e-05
Position 6850: 5.216944287266161e-05
Position 18028: 4.7025668360103174e-05
Position 151: 3.6892643945750826e-05
Position 7644: 3.455619518079579e-05
Position 14123: 3.362889504391339e-05
Position 22395: 3.240312396764361e-05
Position 23327: 2.4966057563498094e-05
Position 120: 1.591345832999123e-05
Position 256: 1.2656087360777218e-05
Position 6967: 1.196844812392211e-05
Position 7272: 1.1044820805282803e-05
Position 1355: 1.0930466149897659e-05
Position 14535: 1.0517363100592963e-05
Position 6899: 9.457792601131508e-06
Position 7021: 8.584427695892177e-06
Position 7641: 8.506593559473542e-06
Position 18899: 7.726522378878942e-06
Position 1539: 6.946086268503169e-06
Position 240: 6.901838124880132e-06
Position 7234: 6.859762440954559e-06
Position 262: 2.9828600582613554e-06
Position 254: 2.2796397313392096e-06
Position 414: 2.1731215739525726e-06
Position 18461: 4.0305178325828047e-07
Position 18520: 3.127684354794846e-07
Position 18325: 2.9287744917537814e-07
Position 22340: 5.626327174471493e-08
Position 27310: 3.847164083212977e-08
Position 27335: 3.14755088477678e-08
Position 7073: 1.3553899289268244e-08
Position 7010: 5.013135005714824e-09
Position 7249: 3.626492812878865e-09
Position 27337: 3.1218925043840066e-09
Position 7155: 2.729107014186146e-09
Position 15830: 1.3381926165321803e-09
Position 18013: 2.219843221503135e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 23213: 0.999999862756608
Position 14441: 0.9999456244527591
Position 26930: 0.9997773243895347
Position 6510: 0.9996765219186149
Position 7400: 0.9994656403342225
Position 27199: 0.998945856557811
Position 17890: 0.9985642637613982
Position 17169: 0.9983563754489266
Position 6796: 0.9980720131478291
Position 19017: 0.9958662962176846
Position 18086: 0.9958609641413088
Position 22181: 0.9939212640841955
Position 14037: 0.9928754728953697
Position 27390: 0.9915459492410408
Position 15969: 0.9900015876691473
Position 15746: 0.9897218337809925
Position 2967: 0.9803465633992335
Position 16808: 0.9744159834992839
Position 25027: 0.8992425866242979
Position 8997: 0.8963495749482884
Position 3302: 0.8153804442725365
Position 17000: 0.765569054061276
Position 7746: 0.7106289289875762
Position 5572: 0.4594342712532124
Position 8318: 0.4339526279036915
Position 17060: 0.1806692668003554
Position 14630: 0.14081192918031196
Position 8959: 0.09171765923826211
Position 7797: 0.079072476628252
Position 15437: 0.07484334415699825
Position 22709: 0.04701362951378018
Position 7923: 0.041497976672978845
Position 9626: 0.0404230099485409
Position 8163: 0.031628370053934526
Position 15165: 0.03096966649374949
Position 19748: 0.0305184331167223
Position 16534: 0.030052273857383908
Position 9168: 0.02893331874129003
Position 17018: 0.028388887500970395
Position 9214: 0.027622852958708248
Position 19486: 0.018543060699513593
Position 28396: 0.01592843164616554
Position 15228: 0.015118937346252142
Position 16681: 0.014393703862001905
Position 28318: 0.012597757644286181
Position 28559: 0.009652744552714294
Position 16086: 0.00904827510917521
Position 15782: 0.007524314871608053
Position 9672: 0.007467759209711046
Position 23558: 0.006365042359054774
Position 1692: 0.006048587898781474
Position 27438: 0.005906312766674996
Position 8533: 0.005673178749442287
Position 22254: 0.0056715748963488705
Position 23376: 0.005505387279566875
Position 19292: 0.005312536021768176
Position 9750: 0.00529067103379304
Position 8474: 0.00528707697418437
Position 12440: 0.004492961506972912
Position 311: 0.004479344945369732
Position 2306: 0.004041510656479569
Position 17011: 0.003918685782688671
Position 9745: 0.0036217027590393154
Position 7180: 0.0035510447647441267
Position 16380: 0.0035139587779628315
Position 502: 0.003424790580692028
Position 18101: 0.003315656665944983
Position 15169: 0.00329112480307375
Position 1234: 0.0029189424015479393
Position 12646: 0.0025999259072431863
Position 9243: 0.002526301677264835
Position 17091: 0.002505345631727418
Position 16718: 0.00229701958838914
Position 1658: 0.0022969790547132233
Position 7937: 0.002177164005290025
Position 3434: 0.0021136367769655287
Position 23884: 0.002100099965361717
Position 1423: 0.0020123189706246136
Position 15690: 0.0016917147189067332
Position 18766: 0.001626284012233473
Position 979: 0.001574972940007963
Position 15183: 0.0012900590752859277
Position 20650: 0.001227887495390225
Position 27224: 0.000831906569964203
Position 17023: 0.0008258532640041169
Position 18158: 0.0008231295831674379
Position 7193: 0.0007638204616153925
Position 1465: 0.0007599023680865332
Position 2199: 0.000755839817016185
Position 6880: 0.0007476636354830226
Position 7199: 0.0007296122957967108
Position 16734: 0.0007193927074320603
Position 1780: 0.0007002072358296715
Position 7598: 0.0006548418966158217
Position 4157: 0.0006338310169437555
Position 8001: 0.0006158346413891894
Position 726: 0.0006049545669566036
Position 18634: 0.0005333514508140073
Position 17950: 0.0005303931927536512
Position 5324: 0.00047662337131941957
Position 6815: 0.0004654371665228877
Position 18630: 0.0004561667332544679
Position 17067: 0.00044250216570845634
Position 7264: 0.00042596382548589683
Position 983: 0.0003378814313974462
Position 6909: 0.0003187967179024124
Position 4208: 0.0003079043398359951
Position 7575: 0.0002749680083181111
Position 4163: 0.0002451505942789484
Position 17279: 0.0002183903447418997
Position 6835: 0.00016752832287161813
Position 7572: 0.0001657491389832298
Position 7481: 0.00016025431772019718
Position 17481: 0.00015029733220331507
Position 7458: 0.00012893906723491157
Position 401: 0.00012294993134524015
Position 17355: 0.00011714581447504321
Position 7551: 0.00011635771285909731
Position 16287: 8.194349699196288e-05
Position 17282: 7.939805696212996e-05
Position 27181: 7.763548466710698e-05
Position 8502: 7.31179604949346e-05
Position 7111: 7.205907786815171e-05
Position 284: 5.55563225833139e-05
Position 8625: 4.130315730617665e-05
Position 19201: 3.547746587633704e-05
Position 27211: 3.3619178837790264e-05
Position 19025: 2.6132859224385173e-05
Position 27207: 1.4830992611904372e-05
Position 19127: 1.432953035261858e-05
Position 7805: 1.2780707451270842e-05
Position 17923: 7.925452623154153e-06
Position 17959: 5.306510548742814e-06
Position 3337: 3.790799633560295e-06
Position 23395: 3.2677345023491043e-07
Position 1026: 3.01258388065851e-07
Position 507: 9.037302208250332e-08
Position 423: 6.998222816087978e-08
Position 453: 1.986139176420267e-08
Position 450: 1.1952710417673136e-08
