Gene = l(2)37Cd
index = 1745
Annotated 5SS: [133 397 584]
Annotated 3SS: [194 453 710]
SMsplice 5SS: [133 397 584]
SMsplice 3SS: [194 453 710]
top_k =  100
Partition function (log Z): 2.938593187450081

Sorted 5' Splice Sites (High to Low Probability):
Position 397: 0.9988970939044506
Position 133: 0.9766138916414865
Position 584: 0.9644535001822425
Position 933: 0.08740666554309817
Position 1022: 0.028275830007675175
Position 636: 0.014955443603950298
Position 1948: 0.011878240611582786
Position 1465: 0.011813454044588535
Position 1098: 0.004619070789722954
Position 928: 0.002910931867700869
Position 588: 0.002342359352221495
Position 79: 0.0020675885947987536
Position 656: 0.0017636583977086043
Position 877: 0.0012866831671228952
Position 530: 0.0009223155593597181
Position 150: 0.0006262619142024687
Position 126: 0.0005818921925142873
Position 1738: 0.00035798870787108114
Position 401: 0.00020461270965150833
Position 124: 8.439852660766084e-05
Position 408: 5.694998084204934e-05
Position 817: 1.1932327734761368e-05
Position 76: 5.278164933543766e-06
Position 354: 3.997904561051503e-06
Position 360: 3.7782600260222663e-06
Position 63: 3.420777691515357e-06
Position 309: 2.78878418004088e-06
Position 362: 2.1185859115012023e-06
Position 54: 6.088223834242486e-07
Position 29: 4.123997411264605e-07
Position 3: 1.7472799375069825e-07
Position 195: 1.0270456567786583e-07
Position 210: 8.213017819695544e-08
Position 224: 3.562251090385431e-08
Position 15: 1.7807889560622213e-08
Position 545: 6.8395448258386474e-09
Position 499: 3.713339358896189e-11
Position 612: 2.799197479341515e-11
Position 605: 2.532320094980245e-11
Position 460: 2.7757359138998707e-14
Position 289: 3.3350002912305673e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 453: 0.9894238778493107
Position 194: 0.9798829053561038
Position 710: 0.9130640804556153
Position 1076: 0.10770335096233805
Position 681: 0.04084271881593501
Position 2017: 0.02189825251254833
Position 1534: 0.009301132699501814
Position 1777: 0.009231903065887094
Position 799: 0.008688616989932705
Position 1178: 0.005830646503681138
Position 722: 0.005492680915780519
Position 499: 0.005396880021118582
Position 1152: 0.003941466935827444
Position 1284: 0.0039034920359008415
Position 802: 0.00225470948173194
Position 1521: 0.0010180761871976412
Position 927: 0.0009706642331362683
Position 652: 0.0009139837365432846
Position 1493: 0.0009057137513830438
Position 1212: 0.0004862741769221218
Position 521: 0.0003914556058921673
Position 644: 0.00025971197935966285
Position 2053: 0.0002277771804244513
Position 154: 4.157450313951344e-05
Position 132: 2.711340024307377e-05
Position 545: 1.931633576877795e-05
Position 210: 9.348831603585596e-06
Position 726: 9.036844593065595e-06
Position 691: 7.287024992182639e-06
Position 855: 5.956690390742223e-06
Position 284: 2.301607100118652e-06
Position 326: 4.815200761325226e-07
Position 242: 4.4209134130094504e-07
Position 313: 1.4824851862757083e-07
Position 379: 9.011192019382938e-08
Position 332: 3.862119352560149e-08
Position 376: 3.6380112511722e-08
Position 100: 2.3966537570304832e-08
Position 524: 1.962011882919353e-08
