Gene = chif
index = 1647
Annotated 5SS: [ 702 8203]
Annotated 3SS: [3155 9323]
SMsplice 5SS: [ 702 9807]
SMsplice 3SS: [9323 9876]
top_k =  100
Partition function (log Z): -2.282984783964209

Sorted 5' Splice Sites (High to Low Probability):
Position 702: 0.999999999457242
Position 9807: 0.9979894232962812
Position 10019: 0.02313301224229654
Position 519: 0.016165333310491088
Position 493: 0.007636386726523745
Position 9811: 0.0018868851129249047
Position 485: 0.0017874223717895049
Position 481: 0.001459459688725235
Position 597: 0.0012331219627822253
Position 281: 0.0011659925985573205
Position 10089: 0.0010969592768649583
Position 515: 0.0009761402109867769
Position 323: 0.0009044634761991905
Position 483: 0.0006328418316538906
Position 286: 0.0005509510750442062
Position 525: 0.0005369948562565189
Position 9990: 0.0005312097155484633
Position 147: 0.000510531869758816
Position 489: 0.000274722505484981
Position 34: 0.00025725201140579154
Position 76: 0.00016521719691667058
Position 523: 0.00014532516863121345
Position 367: 0.0001356616089626213
Position 531: 0.00011274917380234322
Position 295: 0.00010160412846458848
Position 505: 9.159698343238537e-05
Position 333: 8.277120512564848e-05
Position 9801: 6.427684347769464e-05
Position 218: 4.147495959035248e-05
Position 10115: 1.1805978762925205e-05
Position 9540: 1.5505928757670743e-07
Position 1318: 8.325234172200258e-10
Position 953: 3.2899270495089853e-12
Position 725: 1.1659794409101732e-12
Position 38: 5.548397546053242e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 9876: 0.9842166444031051
Position 9323: 0.978493321108757
Position 9216: 0.02046143712414364
Position 620: 0.020268023509479934
Position 10089: 0.015416543409180933
Position 9926: 0.012873334902417584
Position 572: 0.008950030153129833
Position 10142: 0.008436229070990514
Position 663: 0.002573662273984174
Position 359: 0.0017380862000110323
Position 640: 0.001438212776894431
Position 10173: 0.0010484509623040691
Position 6748: 0.0010190302011998473
Position 9852: 0.0009980250037598623
Position 9958: 0.0007250166100670367
Position 9935: 0.0006899517113933173
Position 9938: 0.00025062916732116527
Position 9962: 8.507118055192843e-05
Position 4161: 1.8463439801238378e-08
Position 1607: 1.1131138469180493e-08
Position 3846: 1.0086708490485692e-08
Position 2260: 2.2297251564369355e-09
Position 1025: 5.445688346803257e-10
Position 985: 2.322152814628877e-10
Position 870: 1.4587331659549087e-10
Position 1176: 6.790955297412917e-11
Position 1182: 2.981952199318268e-11
Position 995: 1.4484801107374821e-11
Position 1041: 1.1054553909370357e-11
Position 1108: 8.865120139729552e-12
Position 97: 3.4874670737452274e-12
Position 281: 2.8253089390971436e-12
