Gene = Adhr
index = 13
Annotated 5SS: [  92  886 1356 2092 2923]
Annotated 3SS: [ 750  950 1425 2517 2973]
SMsplice 5SS: [  92  886 1356 2923]
SMsplice 3SS: [ 226  950 2517 2973]
top_k =  100
Partition function (log Z): 1.386304074729501

Sorted 5' Splice Sites (High to Low Probability):
Position 1356: 0.9999840384924671
Position 2923: 0.9908812812806461
Position 886: 0.8187754929953598
Position 92: 0.7629945765591398
Position 2092: 0.3037161958162754
Position 1696: 0.14847147998755567
Position 428: 0.08581393031227492
Position 2096: 0.06858954763597902
Position 633: 0.04032200375447473
Position 325: 0.02216025129081081
Position 2187: 0.016372959270504497
Position 182: 0.012266916818761442
Position 672: 0.011239441191258765
Position 172: 0.009968837052023175
Position 1020: 0.006365241643100391
Position 153: 0.005019261348043735
Position 926: 0.0019847064840763477
Position 514: 0.0006178870851022442
Position 1512: 0.00012219664400622013
Position 25: 0.00010094172832529995
Position 96: 2.025352861521857e-05
Position 56: 1.225197286459598e-05
Position 130: 1.0740686498566158e-05
Position 193: 6.139026405919085e-06
Position 35: 1.45538769635513e-06
Position 248: 1.3696863628255512e-06
Position 295: 5.36198371748687e-07
Position 17: 3.742986928720783e-08
Position 29: 1.5443146885520882e-08
Position 22: 1.1246461509899153e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2973: 0.9853081159973358
Position 950: 0.7201374912865541
Position 1425: 0.677778835260774
Position 2517: 0.579828102230655
Position 226: 0.3829567211092112
Position 750: 0.33479232863049263
Position 576: 0.11835063009837607
Position 2440: 0.11686815803400505
Position 1905: 0.06008404583144437
Position 1100: 0.0582625950515391
Position 1019: 0.05595140479707442
Position 2497: 0.03561627687842325
Position 2400: 0.03045393202752871
Position 499: 0.025305893338473485
Position 346: 0.02255808595125603
Position 2535: 0.020462870649486223
Position 238: 0.013804583125865933
Position 1298: 0.013012349887977516
Position 1154: 0.012006120372101844
Position 2226: 0.011374525701882014
Position 810: 0.007759329177180258
Position 3004: 0.006476087711484048
Position 1563: 0.0039027103119472343
Position 906: 0.0034094688016349404
Position 251: 0.0023685158096834447
Position 153: 0.002014971435816702
Position 636: 0.001380013485809784
Position 505: 0.0013444408925449528
Position 486: 0.0010200592969575014
Position 580: 0.000793102938304278
Position 663: 0.00036421005704675974
Position 172: 2.211860504956273e-05
Position 329: 1.8187382462621263e-05
Position 182: 9.914658626003781e-06
Position 248: 9.558710879515571e-06
Position 290: 7.480563280119735e-06
Position 395: 6.761897313846911e-06
