Gene = BBS1
index = 41
Annotated 5SS: [ 301 1432]
Annotated 3SS: [ 363 1513]
SMsplice 5SS: [ 301  468 1432]
SMsplice 3SS: [ 363  537 1513]
top_k =  100
Partition function (log Z): 3.8325944700948456

Sorted 5' Splice Sites (High to Low Probability):
Position 1432: 0.995807910984556
Position 301: 0.9736443666171772
Position 468: 0.6790767215840937
Position 1651: 0.09552676994234273
Position 1993: 0.09002385701732014
Position 630: 0.038076606717066336
Position 1633: 0.016408187767453133
Position 1729: 0.004329815541388051
Position 1436: 0.0037818173071342454
Position 312: 0.002741413821212443
Position 1038: 0.0020571668809633804
Position 201: 0.001906924055676604
Position 486: 0.0007768544280183818
Position 386: 0.0006594482494228777
Position 1840: 0.0002530149148507076
Position 489: 0.00022335891904625118
Position 1661: 4.225619184724364e-05
Position 265: 3.8913977558991544e-05
Position 122: 3.15303293625436e-05
Position 363: 3.015371328018958e-05
Position 211: 2.5979279219355075e-05
Position 208: 1.691912825032847e-05
Position 1690: 1.2356007365493325e-05
Position 28: 1.2343164358358988e-05
Position 1593: 1.1826661854428771e-05
Position 117: 9.426625951548096e-06
Position 48: 1.1251138898729953e-06
Position 1279: 6.345212877053946e-07
Position 1306: 4.5999497427654696e-07
Position 425: 4.020558704794192e-07
Position 639: 4.0111604604098923e-07
Position 135: 3.7762229383965727e-07
Position 97: 2.8021332540104404e-07
Position 499: 2.637106954177928e-07
Position 1199: 1.297814881889732e-07
Position 390: 8.763584624499024e-08
Position 372: 1.92917827520637e-08
Position 1252: 1.8424452066484756e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1513: 0.9963984110866865
Position 363: 0.9627227999736151
Position 537: 0.5898055487277964
Position 1148: 0.10000125369499531
Position 1773: 0.07059290848014554
Position 2039: 0.06716771690725848
Position 1713: 0.045600486998787965
Position 2112: 0.019784188063907866
Position 773: 0.018127649956648458
Position 443: 0.012967062643833648
Position 682: 0.004490749361122047
Position 824: 0.002696623461101702
Position 413: 0.0020349852723337263
Position 2043: 0.0016262250739346074
Position 1488: 0.0015741875995414075
Position 2157: 0.0012614768715128982
Position 968: 0.0011769885246113534
Position 752: 0.0009798487826289716
Position 2050: 0.0008451818437054295
Position 2073: 0.0008363752369675378
Position 1016: 0.0007740297569431304
Position 1120: 0.0005961213057317421
Position 548: 0.0005775197719505005
Position 590: 0.0005101955862633628
Position 1534: 0.0004922895725622201
Position 566: 0.0003762091356996011
Position 1037: 0.00033804078337116867
Position 620: 0.00029877736011070185
Position 779: 0.00027988380020937714
Position 1561: 0.0001946926772356516
Position 2062: 0.00016866772883609993
Position 425: 0.0001377565329168421
Position 1804: 6.326957153172233e-05
Position 97: 1.2630627609106393e-05
Position 337: 1.0362317016994658e-05
Position 252: 3.0492676031782815e-06
Position 390: 2.4906570982148234e-06
Position 1526: 2.006331806085033e-06
Position 224: 4.0740948544110644e-07
Position 265: 3.998143095938993e-07
Position 200: 3.147603226318901e-07
Position 233: 2.1253816777630577e-07
Position 122: 1.105867862951333e-07
Position 230: 2.0017836873739365e-08
Position 179: 1.0563939330486297e-08
Position 293: 1.310294244174404e-09
Position 182: 6.141414463293674e-10
Position 287: 3.4780838582304797e-10
