Gene = hale
index = 1722
Annotated 5SS: [314]
Annotated 3SS: [372]
SMsplice 5SS: [314]
SMsplice 3SS: [372]
top_k =  100
Partition function (log Z): -4.990829628588635

Sorted 5' Splice Sites (High to Low Probability):
Position 314: 0.9889387436991012
Position 489: 0.47341834176624886
Position 989: 0.017081463385013467
Position 307: 0.007721520963975567
Position 504: 0.003497921093434122
Position 723: 0.0015805797606805434
Position 785: 0.0009572114823388771
Position 994: 0.0007073888342142145
Position 510: 0.00035603673569793015
Position 462: 0.00027715978422075487
Position 58: 0.00010507332693327596
Position 258: 6.568395924671915e-05
Position 112: 3.951438624626044e-05
Position 251: 1.2893400258321535e-05
Position 137: 5.473446711708475e-06
Position 281: 5.246593272888251e-06
Position 166: 3.2093735379356874e-06
Position 498: 3.1025694663084353e-06
Position 37: 2.371690934784191e-06
Position 516: 2.220801834748366e-06
Position 298: 1.7656264990116498e-06
Position 342: 1.7038978983012819e-06
Position 296: 1.358307437273477e-06
Position 79: 1.331349094603564e-06
Position 3: 6.63489975523231e-07
Position 25: 5.889500837912249e-07
Position 288: 4.1774045446730266e-07
Position 203: 1.9338848332145752e-07
Position 76: 1.437017567834168e-07
Position 86: 1.1478191826567566e-07
Position 240: 7.538848379744821e-08
Position 386: 4.6141562065673865e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 372: 0.9720025421853683
Position 556: 0.25492046317335454
Position 570: 0.18028511169584185
Position 844: 0.03329400126816828
Position 1052: 0.019446522629396303
Position 1070: 0.007113680687549695
Position 753: 0.00531153290922027
Position 1112: 0.00435150368396194
Position 625: 0.004014163442671956
Position 865: 0.002145960739480181
Position 593: 0.0020878109649567237
Position 583: 0.001889452968135935
Position 973: 0.0014295426451167575
Position 444: 0.0012001866593422585
Position 474: 0.0010194775248379688
Position 805: 0.0007208219101746174
Position 454: 0.0007052719420621798
Position 764: 0.0006095839725502157
Position 652: 0.0005166714316192844
Position 823: 0.0005156834195264254
Position 736: 0.0004894161075923565
Position 714: 0.0004148107533221488
Position 639: 0.00016859664026931375
Position 107: 4.316188668988123e-05
Position 179: 3.6179190932564376e-05
Position 197: 2.445176602772356e-05
Position 185: 1.2433751452813224e-05
Position 146: 1.181071171662607e-05
Position 203: 2.8056448643351023e-06
Position 251: 1.7727891380277617e-06
Position 84: 1.638982282905653e-06
Position 342: 7.838467194381604e-07
Position 62: 5.828537507372367e-07
Position 257: 4.1799653460372944e-07
Position 484: 3.493217840939523e-07
Position 86: 1.860575854172458e-07
Position 303: 6.492292912510997e-08
Position 92: 6.459857231960123e-08
