Gene = RpIIIC53
index = 1432
Annotated 5SS: [415 854 995]
Annotated 3SS: [ 473  925 1046]
SMsplice 5SS: [415 854 995]
SMsplice 3SS: [ 473  925 1046]
top_k =  100
Partition function (log Z): -0.2252704407611813

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9575820934369751
Position 854: 0.9208663111911053
Position 995: 0.8727366076401998
Position 1372: 0.02429494906174154
Position 261: 0.01867588339032025
Position 1152: 0.017395958943925253
Position 374: 0.013247323242802584
Position 563: 0.009871642969251124
Position 240: 0.007975599414396222
Position 1629: 0.0034545828708493096
Position 1645: 0.0031829033120931464
Position 342: 0.002227291767035831
Position 419: 0.0018740476579719445
Position 32: 0.0011444549984742042
Position 398: 0.0006983913068031018
Position 1388: 0.0006428075729037959
Position 29: 0.0005033678925358716
Position 1637: 0.00039168673681275353
Position 858: 0.0002796461425123713
Position 554: 0.0002655197341334078
Position 686: 0.0001964382108638162
Position 17: 0.00018590211677017865
Position 156: 9.815954516928781e-05
Position 3: 6.620276666356227e-05
Position 34: 5.502416074864762e-05
Position 643: 4.832289531149385e-05
Position 276: 3.414315263969897e-05
Position 557: 3.0429433735920213e-05
Position 1126: 2.1077542649044567e-05
Position 524: 1.9421280818703973e-05
Position 651: 1.8406083578098167e-05
Position 270: 1.008205274220546e-05
Position 422: 9.954902948717078e-06
Position 19: 8.03341978147934e-06
Position 696: 7.1976648055878636e-06
Position 244: 7.178899944314288e-06
Position 231: 6.3625538241181315e-06
Position 265: 4.716084781952261e-06
Position 1131: 3.4762069149036924e-06
Position 142: 1.0303785789738069e-08
Position 203: 8.109538568187977e-09
Position 974: 1.3580131217484804e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 473: 0.9979944773451954
Position 925: 0.9130230659748694
Position 1046: 0.8112401086427277
Position 1058: 0.053590782708279466
Position 1453: 0.02655297664313004
Position 1202: 0.01973190326479866
Position 1078: 0.006414798243474061
Position 631: 0.005036147480065939
Position 312: 0.004161627970446301
Position 1711: 0.0037837782315245897
Position 1701: 0.0032453946882306127
Position 1066: 0.0031417516022059153
Position 628: 0.0016665812840329004
Position 945: 0.0015695584882757685
Position 95: 0.0013721565464605565
Position 1126: 0.0012382933350210312
Position 609: 0.0012001998623471031
Position 625: 0.0007595331339057254
Position 1564: 0.0006247912826610673
Position 658: 0.0005799423695139397
Position 108: 0.00034453536253028957
Position 65: 0.00016762057845976942
Position 292: 0.0001359163921680133
Position 483: 0.00010163173859921043
Position 650: 0.00010035265198710533
Position 942: 8.665789181358764e-05
Position 504: 6.344973403901324e-05
Position 690: 6.047531709818257e-05
Position 707: 3.014621667756968e-05
Position 993: 1.8897222597318652e-05
Position 1170: 1.7626335666129305e-05
Position 492: 1.6333417236359314e-05
Position 1235: 1.526438970197298e-05
Position 693: 1.3684881489640146e-05
Position 215: 1.1028378956123958e-05
Position 155: 8.657931378271726e-06
Position 126: 8.128847013753444e-06
Position 1523: 7.288487954013466e-06
Position 964: 3.614735345426677e-06
Position 133: 2.4371987825504572e-06
