Gene = dos
index = 1673
Annotated 5SS: [ 139 3073 3906 4086 4388 5052]
Annotated 3SS: [2747 3138 3973 4146 4450 5107]
SMsplice 5SS: [ 139 3073 3906 4086 4388 5052]
SMsplice 3SS: [2747 3138 3973 4146 4450 5107]
top_k =  100
Partition function (log Z): 11.527532747511199

Sorted 5' Splice Sites (High to Low Probability):
Position 5052: 0.9992631183465036
Position 4388: 0.9930185166381043
Position 3906: 0.98110001187278
Position 3073: 0.9760015701708602
Position 4086: 0.9716592242046684
Position 139: 0.8701093140238362
Position 4562: 0.04670755850135054
Position 4587: 0.04460113418468535
Position 332: 0.04287128432533854
Position 189: 0.0346872809025966
Position 3350: 0.029669077261376738
Position 4082: 0.02640726138523117
Position 1471: 0.015768245078486582
Position 3012: 0.012750600542373274
Position 4726: 0.011914927364123862
Position 163: 0.009950982973490969
Position 2200: 0.007559605253122706
Position 478: 0.005356332657631964
Position 185: 0.004989108325818522
Position 502: 0.004088497439386913
Position 193: 0.004066413294444399
Position 3561: 0.003975119457345148
Position 2154: 0.0036461672635437056
Position 1157: 0.0033095592534656596
Position 1093: 0.0032057610777186663
Position 5291: 0.003189021357515122
Position 474: 0.003186010537383053
Position 4338: 0.0028391483315646174
Position 5192: 0.002376459632081469
Position 2187: 0.0019969094688561946
Position 46: 0.0017917702268282134
Position 3063: 0.000787774859193396
Position 5629: 0.000707303143731191
Position 3294: 0.0005885611276893798
Position 5453: 0.0005511450785447319
Position 5395: 0.0004751864104975271
Position 3365: 0.0004193519437436505
Position 5287: 0.0002929092553312624
Position 5746: 0.00027409694288498123
Position 5854: 0.000268803138134817
Position 4153: 0.0002609120062805126
Position 5451: 0.00022792652040824678
Position 5780: 0.00020807339768625103
Position 3850: 0.00018452934792704043
Position 5668: 0.00010637267932435617
Position 5793: 9.285022945355382e-05
Position 5411: 6.060714265253129e-05
Position 4090: 5.0860764497121645e-05
Position 4392: 5.076676375245693e-05
Position 4123: 5.0420832587118046e-05
Position 4126: 2.7697155889113795e-05
Position 4306: 3.148904522830324e-06
Position 3832: 2.469471204002563e-06
Position 203: 7.981901311467229e-07
Position 187: 2.3105335857075272e-07
Position 143: 1.857554503966255e-07
Position 4506: 1.6684738341208976e-07
Position 5030: 1.325712277851766e-07
Position 4950: 7.960825463415246e-08
Position 195: 7.527467967303441e-08
Position 11: 7.204673096747996e-08
Position 4475: 5.873970828424645e-08
Position 108: 5.307910857504968e-08
Position 15: 5.250759236063807e-08
Position 5056: 4.906289735646532e-08
Position 5171: 2.6961375462022346e-08
Position 4887: 2.3252901213623726e-08
Position 26: 1.9106249337922215e-08
Position 197: 1.4214393698024774e-08
Position 31: 1.0207224859880487e-08
Position 4759: 9.763113627610846e-09
Position 4863: 2.0461320879403193e-09
Position 4956: 1.999248907153803e-09
Position 4894: 1.4098643370487497e-09
Position 4051: 7.152780509405223e-10
Position 4681: 1.1788733855968583e-14
Position 4981: 1.1403086598548e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 5107: 0.9972749020453368
Position 3973: 0.9837472834125423
Position 2747: 0.9821194281584
Position 4450: 0.9508294305818573
Position 3138: 0.9409684041605295
Position 4146: 0.9397854277584927
Position 4647: 0.13202754614715215
Position 3481: 0.05268617547808141
Position 4211: 0.047937586635345135
Position 3413: 0.014873639334751967
Position 2500: 0.011760903031660046
Position 4797: 0.011378608431130616
Position 4171: 0.005824696088286622
Position 4472: 0.00559727175954835
Position 5507: 0.005551147453981336
Position 1872: 0.005545452474790117
Position 1302: 0.0037214161771944414
Position 3762: 0.0031516074287813952
Position 5254: 0.002876400765092508
Position 1287: 0.0025499436136973996
Position 4135: 0.002340198685486793
Position 3410: 0.0022649491703583924
Position 3617: 0.0020642174282004162
Position 3437: 0.002061577614327746
Position 1262: 0.0020464267046635173
Position 231: 0.0019230123137287743
Position 5850: 0.0014367680761094776
Position 3614: 0.001436055978204828
Position 2337: 0.0012777208046503854
Position 3999: 0.0011997023693592224
Position 3237: 0.0010350320846530688
Position 3057: 0.0010194369189421837
Position 787: 0.0008963059196167111
Position 1202: 0.000768862668407093
Position 4153: 0.0006764554692392162
Position 1339: 0.000657678714960118
Position 1081: 0.0004886234374911198
Position 1138: 0.00048144220415893385
Position 4847: 0.0004341460134626415
Position 2286: 0.0003625149018291703
Position 5733: 0.0003575388277878737
Position 5694: 0.0002718322465743255
Position 5973: 0.000268803138134817
Position 4029: 0.00023604294294280947
Position 275: 0.0002286115700584577
Position 2080: 0.00022525133653563613
Position 1583: 0.00017062013524548418
Position 4236: 0.00014851480401344155
Position 4986: 0.00013934979491250565
Position 4257: 0.00010798911839504889
Position 4239: 9.905255036386117e-05
Position 4595: 7.693495106378501e-05
Position 4232: 6.826620233489698e-05
Position 5274: 6.76882280276598e-05
Position 4281: 5.760616073609153e-05
Position 4561: 5.6317807948215414e-05
Position 5210: 5.0897801654291185e-05
Position 4126: 4.010684955560121e-05
