Gene = Wnk
index = 1602
Annotated 5SS: [  375   904  2725  3129  6020  6208  8374  9051 10185 10370 10603]
Annotated 3SS: [  747  1334  2955  3189  6075  7539  8630  9124 10304 10430 10659]
SMsplice 5SS: [  904  2725  3129  3525  8374  9051 10185 10370 10603]
SMsplice 3SS: [ 1334  2955  3189  7539  8630  9124 10304 10430 10659]
top_k =  100
Partition function (log Z): 12.690294732694175

Sorted 5' Splice Sites (High to Low Probability):
Position 904: 0.9999996130189391
Position 10185: 0.9882490286121505
Position 10370: 0.9617290257280474
Position 3525: 0.9616131630367426
Position 10603: 0.9467163725680023
Position 3129: 0.9408559456124127
Position 8374: 0.8976143743545303
Position 2725: 0.8203634303098601
Position 6208: 0.31962332175982583
Position 8814: 0.27746910346256026
Position 6846: 0.2722992384725582
Position 590: 0.23332752061816234
Position 1291: 0.18426515429925147
Position 548: 0.15916024125085299
Position 363: 0.10187600929534758
Position 375: 0.09366611976691032
Position 100: 0.05481401183848571
Position 8850: 0.053913700812652295
Position 3135: 0.050312347980874014
Position 9884: 0.02845634423639584
Position 2712: 0.015188188641365005
Position 3560: 0.013544159987142156
Position 140: 0.012153268169344549
Position 2573: 0.010632212052454402
Position 9308: 0.00659060316676618
Position 8766: 0.005325007961384657
Position 1613: 0.005143744282691296
Position 1060: 0.004234398654951219
Position 594: 0.003856491783064308
Position 3439: 0.002583186587328875
Position 18: 0.0023567733025135853
Position 1196: 0.002034305797393838
Position 674: 0.0016591192151825728
Position 254: 0.0014731858171065388
Position 465: 0.0014676975048097732
Position 3470: 0.001434438915610633
Position 1762: 0.0006267273672147085
Position 3411: 0.0005734486630751396
Position 3162: 0.0004908946569413506
Position 3088: 0.0004503373780662972
Position 3224: 0.00037847226979765083
Position 10427: 0.00031203870718620017
Position 3460: 0.0001343314010178787
Position 379: 8.546211732984272e-05
Position 3464: 7.686302489273257e-05
Position 1001: 2.4622183424688936e-05
Position 311: 1.9328324810867105e-05
Position 349: 1.8589677884324758e-05
Position 94: 9.81316487695986e-06
Position 227: 5.011450165400639e-06
Position 483: 4.9682371407774905e-06
Position 434: 1.1492770519507591e-06
Position 873: 3.8640461707793776e-07
Position 12: 3.623504857224815e-07
Position 1890: 3.5086502130157047e-07
Position 135: 2.745484978583558e-07
Position 71: 9.445905208415361e-08
Position 908: 5.604479484516033e-10
Position 914: 7.717597470528142e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2955: 0.9977985520140777
Position 8630: 0.9930428433593032
Position 10304: 0.9885080861134402
Position 3189: 0.9687556598400472
Position 10430: 0.9374750707937965
Position 7539: 0.89761437435453
Position 10659: 0.8641845942982092
Position 1334: 0.6527199699709051
Position 747: 0.47740459401247454
Position 6075: 0.40289792466160407
Position 9124: 0.3193660578895129
Position 976: 0.18792839816437495
Position 422: 0.14086364509369945
Position 6782: 0.10803472096485578
Position 1352: 0.06781321279388758
Position 1067: 0.05487595211937769
Position 10666: 0.051837569790031734
Position 6258: 0.05088729641000639
Position 1112: 0.0337640625022967
Position 6279: 0.03010261819591812
Position 9934: 0.02845634423639584
Position 10680: 0.022557319511209917
Position 159: 0.021932962091523237
Position 9207: 0.019401201405112548
Position 1924: 0.015307727120712648
Position 2109: 0.012750564268200077
Position 10240: 0.011229255248144875
Position 648: 0.009098204970383723
Position 1171: 0.0087728501709496
Position 10449: 0.008233705973743123
Position 427: 0.007324917015114803
Position 10439: 0.006940636691224552
Position 10496: 0.005407454625049514
Position 1427: 0.004078387931356849
Position 221: 0.004036496485778025
Position 1184: 0.003772861111699861
Position 10734: 0.003701315466415096
Position 10458: 0.003254334653247412
Position 674: 0.0024807326189193978
Position 10715: 0.0023122954817668927
Position 3223: 0.0022259060521877456
Position 10689: 0.00213125105083734
Position 2793: 0.002008369376574663
Position 3525: 0.001659102231016041
Position 151: 0.001038438449326241
Position 10807: 0.0007218886677037296
Position 227: 0.0006364789879451581
Position 384: 0.0005217707059869276
Position 1041: 0.0005172241537570298
Position 483: 0.000334497421413485
Position 545: 0.000267419466383043
Position 1097: 0.0002119241461099071
Position 271: 5.548456357778433e-06
Position 239: 5.421176205871908e-06
Position 119: 2.480407803489267e-06
Position 450: 1.443784176722968e-06
Position 291: 4.4101730600562523e-07
