Gene = Nrt
index = 1332
Annotated 5SS: [ 469 8295]
Annotated 3SS: [7641 8357]
SMsplice 5SS: [ 469 8295]
SMsplice 3SS: [7641 8357]
top_k =  100
Partition function (log Z): -4.8781680405730405

Sorted 5' Splice Sites (High to Low Probability):
Position 8295: 0.9994452135171072
Position 469: 0.68727928750614
Position 172: 0.2507180739568076
Position 9836: 0.09525536131972649
Position 10270: 0.03497261541828981
Position 546: 0.034189902082411676
Position 1525: 0.024774399591340437
Position 1570: 0.018974024500533274
Position 1723: 0.017251564046285126
Position 8583: 0.016686492391517028
Position 590: 0.012735714110613002
Position 1112: 0.011504190677247964
Position 9679: 0.008848546276137749
Position 305: 0.007784751394644428
Position 6002: 0.006945983004610349
Position 1765: 0.006780084864952612
Position 1023: 0.006427428329806486
Position 9206: 0.005483701489460604
Position 1268: 0.005185321750566671
Position 8902: 0.0046485068471092735
Position 417: 0.003607834937300801
Position 626: 0.0032249714071030393
Position 1820: 0.002926136017622664
Position 2327: 0.0027517329693986336
Position 9510: 0.00247167652731348
Position 8704: 0.0019977355193314932
Position 9091: 0.0019864656096195473
Position 9890: 0.0019527121767959569
Position 8505: 0.0018911297258655164
Position 9156: 0.0018790326798516352
Position 9901: 0.0016881363803247303
Position 9489: 0.0006033201221139373
Position 8274: 0.00028688652380796557
Position 179: 0.00024780081826616577
Position 8290: 0.0002156031803078407
Position 165: 0.00011253317544533745
Position 3: 6.954739388640219e-05
Position 9344: 6.664380328513296e-05
Position 757: 5.4407669732044734e-05
Position 186: 3.0413342213415285e-05
Position 351: 2.4213970777136443e-05
Position 176: 8.491328336529916e-06
Position 309: 5.61548634402898e-06
Position 51: 4.294229890789517e-06
Position 1037: 1.5025025357633308e-06
Position 682: 1.4876637193092282e-06
Position 555: 1.23099775433606e-06
Position 237: 1.1121380678472553e-06
Position 328: 1.0974209314423831e-07
Position 1277: 8.593904172775767e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 7641: 0.9938558271384246
Position 8357: 0.9421600179039836
Position 10844: 0.15076315220692174
Position 1199: 0.07503035433882149
Position 8360: 0.054873151259551625
Position 9954: 0.02410229572573306
Position 264: 0.010584189407376038
Position 5723: 0.007285423728337757
Position 7652: 0.005804699098664367
Position 338: 0.004975925553836441
Position 1403: 0.003611490148909553
Position 11260: 0.0021119369528204775
Position 267: 0.0018591861792894872
Position 11193: 0.0017000149455189523
Position 10019: 0.0008902162532239854
Position 9268: 0.0007977840162963851
Position 9559: 0.0007936133805618271
Position 447: 0.000617151951829426
Position 9000: 0.0005295347074990983
Position 9265: 0.0004718374162308369
Position 8366: 0.00036707014777049934
Position 9739: 0.00031201409410816413
Position 9572: 0.00025445208174547227
Position 9419: 0.0002526884159991332
