Gene = Atox1
index = 38
Annotated 5SS: [201 368]
Annotated 3SS: [291 978]
SMsplice 5SS: [201 368]
SMsplice 3SS: [291 978]
top_k =  100
Partition function (log Z): -2.0997230643876255

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9596718208601652
Position 368: 0.912791061800679
Position 1161: 0.14049800712538682
Position 395: 0.025267711845264676
Position 1337: 0.020436467278010254
Position 666: 0.01971553388881825
Position 399: 0.019411029271927647
Position 438: 0.016406337139370092
Position 1139: 0.012580399059196985
Position 645: 0.010780720088210134
Position 205: 0.0066577814136506135
Position 649: 0.004163804313402995
Position 388: 0.0039108040845492464
Position 636: 0.002981516372644797
Position 640: 0.002807470967575186
Position 675: 0.002787186074141494
Position 442: 0.002072022227903585
Position 224: 0.0020371042632990745
Position 414: 0.002033784819045895
Position 1365: 0.0018826590601450884
Position 1101: 0.0018731212281068827
Position 889: 0.0018557846376683527
Position 1168: 0.001817774792197814
Position 522: 0.0016693638073392127
Position 219: 0.0002630824989958848
Position 432: 0.0001977295114852439
Position 454: 0.00018033945116837318
Position 518: 0.00017741824162511172
Position 372: 9.833223921424426e-05
Position 672: 7.862654014115719e-05
Position 169: 4.014854622484595e-05
Position 655: 3.7643246801544884e-05
Position 756: 3.37884407615871e-05
Position 468: 2.2332546275380056e-05
Position 12: 1.125148861354239e-05
Position 141: 4.419824452362113e-06
Position 101: 3.1697031832790378e-06
Position 72: 1.4715596514147843e-06
Position 405: 1.1178575611257702e-06
Position 80: 3.288293283042139e-07
Position 125: 1.4759996779188638e-07
Position 426: 1.3781590271686006e-07
Position 87: 1.377579765622239e-07
Position 117: 3.778549076999294e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 291: 0.9661423608936611
Position 978: 0.945153566601137
Position 1439: 0.11110036405656175
Position 552: 0.06479322698629889
Position 1396: 0.044446366134610234
Position 1316: 0.017612972141934885
Position 1291: 0.011474621986248653
Position 1344: 0.0031854418631217483
Position 1216: 0.0025051689006066074
Position 719: 0.002247658994298639
Position 886: 0.0019702516077252444
Position 789: 0.0015234226032712717
Position 569: 0.001269760494487831
Position 809: 0.0012593989552554257
Position 983: 0.0011192835686830286
Position 816: 0.0010177886339951343
Position 526: 0.0003131120255423954
Position 306: 0.00012612292589168214
Position 68: 2.218556670861928e-08
Position 335: 9.633931352248657e-09
Position 104: 6.673851681668141e-09
Position 141: 1.550306872936909e-11
Position 152: 1.1927818614442034e-11
Position 312: 9.407974361524405e-12
