Gene = Mrtf
index = 1286
Annotated 5SS: [ 4914 37892 38117 41860]
Annotated 3SS: [37066 37975 41793 42477]
SMsplice 5SS: [  279 37892 38117 41860]
SMsplice 3SS: [37066 37975 41793 42477]
top_k =  100
Partition function (log Z): -52.063939899121955

Sorted 5' Splice Sites (High to Low Probability):
Position 279: 0.7926165257250212
Position 911: 0.3972980667320726
Position 402: 0.20096983704175975
Position 356: 0.003878028621497451
Position 345: 0.0008584610040636971
Position 360: 0.0005938087745588671
Position 330: 0.00046780349482038614
Position 269: 0.00033006714669295013
Position 340: 7.840903862611384e-05
Position 334: 5.284414155187676e-05
Position 27: 3.361334698272985e-05
Position 110: 3.249331901074686e-05
Position 32: 2.1761210298027867e-05
Position 10: 1.6787238110023987e-05
Position 351: 1.2677405812061742e-05
Position 134: 1.1307563253440693e-05
Position 38: 1.1025588618140866e-05
Position 332: 7.530397307848744e-06
Position 50: 7.010236555811056e-06
Position 2938: 1.3870929160175098e-08
Position 954: 1.2726089372222833e-08
Position 1136: 1.1065803163335464e-08
Position 2048: 1.0657088969693119e-08
Position 772: 4.055325274752521e-09
Position 958: 1.1716290078813274e-09
Position 932: 6.866152022523466e-10
Position 1086: 5.511054740247837e-10
Position 1531: 8.312797522139675e-11
Position 904: 9.78524293683025e-12
Position 868: 6.796882272189516e-12
Position 906: 6.388417512592971e-12
Position 646: 5.6518792139218765e-12
Position 876: 5.057919952625944e-12
Position 699: 3.1296778586534482e-12
Position 141: 2.360296508950927e-13
Position 119: 1.7699676170204672e-13
Position 147: 1.7123498243970816e-13
Position 79: 5.575817292825864e-14
Position 349: 4.894974284096977e-14
Position 149: 4.733298840901484e-14
Position 310: 3.623307526966285e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 17913: 0.9999831537211136
Position 464: 0.3952332903220768
Position 738: 0.002065051823465985
Position 8286: 1.4814326750218309e-05
Position 7706: 1.29360621010344e-06
Position 6413: 2.3111131660490913e-07
Position 1041: 4.8440286473711534e-08
Position 3795: 4.2392692974911036e-08
Position 2591: 3.7291679527324114e-08
Position 1759: 3.589456867145966e-08
Position 3028: 3.016826720509678e-08
Position 771: 2.4681268056841536e-08
Position 1206: 2.4459068379270833e-08
Position 1292: 1.4936339612018694e-08
Position 1638: 6.320417637622691e-09
Position 2312: 3.999608784350643e-09
Position 2123: 3.3362375166221593e-09
Position 2636: 2.484334086309404e-09
Position 468: 1.35075859460315e-09
Position 992: 8.943404988047806e-10
Position 405: 5.953635994454546e-10
Position 1493: 5.740240466090886e-10
Position 79: 7.253074294650988e-11
Position 345: 6.663441015819486e-11
Position 340: 3.7405662257722175e-11
Position 759: 1.7640042072889386e-11
Position 173: 3.643307960053462e-12
Position 206: 1.787264546438511e-12
Position 176: 1.7621955410292668e-12
Position 470: 2.9115323602201023e-13
