Gene = A16
index = 1
Annotated 5SS: [1082 1515]
Annotated 3SS: [1385 1582]
SMsplice 5SS: [1082 1515]
SMsplice 3SS: [1385 1582]
top_k =  100
Partition function (log Z): 4.688500430730464

Sorted 5' Splice Sites (High to Low Probability):
Position 1515: 0.9957320104941997
Position 1082: 0.9939742686815196
Position 5: 0.11443163838132533
Position 662: 0.022438668758976633
Position 1227: 0.009812371479483214
Position 1328: 0.009362231255583811
Position 789: 0.00806191319245768
Position 1289: 0.002475211506476881
Position 1651: 0.0014783455420464364
Position 199: 0.0009938997472392038
Position 461: 0.0006821353883545418
Position 1115: 0.00042074157552833845
Position 1120: 0.00040545489088394964
Position 381: 0.0003764458848597775
Position 1086: 0.0003025467909239159
Position 564: 0.0002693979897894628
Position 1501: 0.00019046402158007578
Position 553: 0.00018615049343384597
Position 1176: 0.0001789165999319664
Position 306: 0.00017421458759879512
Position 1642: 9.408856881384246e-05
Position 1127: 7.133258256951436e-05
Position 27: 5.8555364718088166e-05
Position 521: 5.482333974802079e-05
Position 145: 3.629911107671763e-05
Position 1658: 1.7310746019553575e-05
Position 1519: 1.2429758638051751e-05
Position 168: 1.2344482980062554e-05
Position 1636: 8.31587921562642e-06
Position 1351: 4.324211640889474e-06
Position 393: 9.140269582095738e-07
Position 364: 5.482758111934285e-07
Position 22: 9.914743891306685e-10
Position 1457: 4.5036854141531955e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1385: 0.9960953163316588
Position 1582: 0.9958192753923256
Position 81: 0.06400191215074837
Position 61: 0.03212788896012466
Position 756: 0.016323184476919463
Position 78: 0.015554859481687888
Position 1157: 0.011916086888856096
Position 1200: 0.009820006973813697
Position 907: 0.00950529390238879
Position 1354: 0.003505581127415345
Position 629: 0.002525085519393262
Position 1704: 0.0016028251779753536
Position 478: 0.0008641385405400954
Position 564: 0.0005545781268944927
Position 199: 0.0004683452274979542
Position 820: 0.0004603642218479751
Position 919: 0.00042730210520915883
Position 781: 0.00027775323337790266
Position 823: 0.00018854408234046506
Position 168: 0.0001025124438680071
Position 1606: 5.961436094211989e-05
Position 1602: 4.8062469293901606e-05
Position 1331: 3.702676531479158e-05
Position 1409: 6.767580054334911e-06
Position 1217: 5.384134537331736e-06
Position 1294: 4.658228640774278e-06
Position 1669: 4.452004780789056e-06
Position 1416: 4.256239588470606e-06
Position 527: 2.3463324466872928e-06
Position 1553: 1.4571191695568665e-06
Position 1439: 1.4081024725958212e-06
Position 1270: 1.002181216583495e-06
Position 1639: 8.129770250298271e-07
Position 97: 2.1219185989609258e-07
