Gene = hay
index = 1723
Annotated 5SS: [ 117  381 2240]
Annotated 3SS: [ 286  440 2296]
SMsplice 5SS: [ 117  381 2240]
SMsplice 3SS: [ 182 2123 2296]
top_k =  100
Partition function (log Z): -1.854160300797616

Sorted 5' Splice Sites (High to Low Probability):
Position 2240: 0.9981788478986661
Position 117: 0.949953719965755
Position 381: 0.7770014489908885
Position 803: 0.019586589924875608
Position 1900: 0.018059299483903203
Position 1915: 0.016644715600779472
Position 2558: 0.007143601964557268
Position 1318: 0.004187388432076704
Position 106: 0.002138481678771059
Position 1271: 0.0018547506240091187
Position 968: 0.001458206050085226
Position 2439: 0.0013642883969727825
Position 56: 0.0005359859822964194
Position 583: 0.00039669017654135586
Position 650: 0.00034874341769398123
Position 109: 0.00032076775535125324
Position 2415: 0.0003061607216393575
Position 2418: 0.0002674515527523729
Position 2427: 0.00025931113951101605
Position 376: 0.00021642103400920992
Position 121: 0.00016808265913602604
Position 369: 0.00012775830821718187
Position 159: 4.371608314754879e-05
Position 419: 9.668077427384746e-06
Position 46: 7.0497050616327074e-06
Position 42: 6.580678724672035e-06
Position 387: 3.253019462281968e-06
Position 136: 1.6195305935193371e-06
Position 169: 1.3178795514923863e-06
Position 385: 1.1591346581214145e-06
Position 142: 1.0342960574294393e-06
Position 366: 8.561134549017929e-07
Position 48: 8.135303473286054e-07
Position 6: 6.818429093729555e-08
Position 417: 2.72967556223258e-09
Position 8: 8.358854952445301e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2296: 0.9912177029185301
Position 182: 0.852995157719154
Position 2123: 0.4228516000990209
Position 440: 0.31320584444151095
Position 1954: 0.08040811285370825
Position 1687: 0.0605478492868387
Position 1396: 0.02539474557546171
Position 783: 0.012460940371316736
Position 512: 0.009982113341415069
Position 2614: 0.007343087367867842
Position 2368: 0.00509190075798385
Position 1023: 0.004730729535508276
Position 1690: 0.0031228416886707002
Position 2488: 0.002872523078586183
Position 841: 0.0017692641903048142
Position 2321: 0.001116793815730404
Position 157: 0.0010952059168618069
Position 448: 0.0009250051096023162
Position 913: 0.0008339184339356283
Position 428: 0.0007823051427223482
Position 236: 0.0006793037888236105
Position 869: 0.00043446777202177194
Position 610: 0.00037574940364413156
Position 2327: 0.00019125376688199986
Position 2398: 8.81915131707348e-05
Position 2617: 6.22002750064461e-05
Position 193: 6.538045777726161e-06
Position 109: 5.747120221832464e-06
Position 136: 2.736695321056938e-06
Position 124: 1.3833743107818488e-06
Position 363: 6.359494841887646e-07
Position 351: 6.908850395482503e-10
Position 286: 6.890207875110689e-10
