Gene = Ccn
index = 1059
Annotated 5SS: [  461 21129 26048 26171 31874 33271 39859 40327 48912]
Annotated 3SS: [21042 25951 26148 31793 33125 39568 40173 48623 57667]
SMsplice 5SS: [  461 21129 26171 33271 39859 40327]
SMsplice 3SS: [21042 25951 33125 39568 40173 57667]
top_k =  100
Partition function (log Z): -50.46451916435246

Sorted 5' Splice Sites (High to Low Probability):
Position 461: 0.9999998575661208
Position 21129: 0.9990228955281585
Position 26171: 0.5495534363811551
Position 26048: 0.36876255489594745
Position 2340: 0.00015055411508360013
Position 473: 1.4243386654366752e-07
Position 4132: 9.545121218006233e-13
Position 1914: 8.103491913237436e-13
Position 3247: 6.312618325013692e-13
Position 730: 2.0796193085707326e-13
Position 971: 8.768609487159225e-15
Position 2918: 6.226014078284645e-15
Position 104: 3.104376770866504e-15
Position 284: 2.8637960624647454e-15
Position 1340: 5.641382669044309e-16
Position 98: 3.352566822228636e-16
Position 94: 2.0022730538994974e-16
Position 445: 1.5721636720148885e-16
Position 108: 8.219172082166545e-17
Position 432: 2.855209306874705e-17
Position 484: 2.842105557241163e-17
Position 182: 2.5304614141215817e-17
Position 298: 4.960449161843123e-18
Position 288: 4.87818468275095e-18
Position 209: 3.465850215660558e-18
Position 100: 1.866972245428181e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 21042: 0.9999999969020756
Position 25951: 0.9968090663458975
Position 26540: 0.9183159912771025
Position 23077: 0.0022138291822581735
Position 2194: 7.353269686261899e-05
Position 2233: 5.759652333439186e-05
Position 2072: 7.046088155936584e-06
Position 541: 5.541505221372236e-06
Position 1809: 3.5156285371413053e-06
Position 1758: 3.3216736062640575e-06
Position 12251: 2.9594592095295535e-09
Position 8875: 1.1443265590435208e-10
Position 7468: 1.5123013996258853e-11
Position 6168: 2.894928283745126e-12
Position 3794: 2.0900754441140503e-12
Position 6133: 1.5460637681077804e-12
Position 3087: 1.3103000950481336e-12
Position 4190: 9.545121218006233e-13
Position 5041: 6.706976153919516e-13
Position 2423: 6.657422257744249e-13
Position 520: 1.1340751188917605e-13
Position 1639: 1.0479369484156081e-13
Position 646: 1.0464642377819141e-13
Position 1572: 9.258385566006368e-14
Position 1041: 7.63897344281196e-14
Position 1812: 5.271503546180094e-14
Position 1968: 5.24735924716558e-14
Position 1400: 5.0101147656786264e-14
Position 2427: 3.6732869060841566e-14
Position 2107: 3.2120321767784106e-14
Position 908: 2.910199101402708e-14
Position 1974: 1.225722446752218e-14
Position 811: 4.529992194200358e-15
Position 232: 2.819065068410688e-16
Position 372: 2.2357069637448494e-16
Position 339: 1.878359709273578e-16
Position 182: 1.4663524984971573e-16
Position 264: 1.381396957603741e-16
Position 349: 1.298656063949963e-16
Position 346: 3.632610369823193e-17
Position 221: 1.0151392029731755e-17
Position 276: 9.73397247068004e-18
Position 352: 6.971227906470834e-18
Position 167: 4.678191832683287e-18
Position 149: 4.279143577491123e-18
Position 163: 3.99478543020575e-18
Position 432: 3.415385354600123e-18
Position 321: 3.31092414192603e-18
Position 401: 3.2437917796104905e-18
Position 699: 2.8676478422993597e-18
Position 188: 1.5213688682021593e-18
