Gene = r2d2
index = 1853
Annotated 5SS: [106 501]
Annotated 3SS: [198 573]
SMsplice 5SS: [501]
SMsplice 3SS: [573]
top_k =  100
Partition function (log Z): -4.312715113503

Sorted 5' Splice Sites (High to Low Probability):
Position 501: 0.7641566564324145
Position 106: 0.3280006066334737
Position 454: 0.23241312630519134
Position 774: 0.013160392375451488
Position 97: 0.008835223277920473
Position 1197: 0.006942163886316186
Position 1622: 0.005987774416873806
Position 89: 0.004591180635515551
Position 1368: 0.0039264661762909376
Position 20: 0.0030473942333124424
Position 1871: 0.0025807443350435817
Position 672: 0.0024245335589450734
Position 1405: 0.002001121039461102
Position 462: 0.001789938868562245
Position 122: 0.0010448263727068847
Position 239: 0.000898883111641652
Position 367: 0.0004176402249949113
Position 152: 0.000367782292945036
Position 271: 0.0003406299081735937
Position 320: 0.0001979454572638193
Position 4: 0.00016465311667001115
Position 207: 0.00012148113180635561
Position 374: 8.050922148859356e-05
Position 303: 7.47025848558573e-05
Position 36: 6.53131785648063e-05
Position 248: 5.620989433883449e-05
Position 717: 1.8338168211650063e-05
Position 228: 7.1254241684363905e-06
Position 9: 2.932971127949283e-06
Position 467: 2.6486989140566096e-06
Position 458: 2.416647512197371e-06
Position 11: 2.1723745927074228e-06
Position 116: 1.8007779331746435e-06
Position 429: 1.3784874301417957e-07
Position 201: 2.5487983312842636e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 573: 0.9991180908525453
Position 198: 0.30618788089954013
Position 271: 0.020613701048888478
Position 324: 0.00940702822401569
Position 1484: 0.008926432022894587
Position 174: 0.007213511172409598
Position 840: 0.006969814534101592
Position 1267: 0.006048266150980237
Position 1430: 0.005689842594563471
Position 1936: 0.0031674818262018064
Position 1691: 0.002406565618860879
Position 1773: 0.0015780295570245544
Position 429: 0.0013822516693502123
Position 1807: 0.0008955024863584388
Position 1513: 0.0007427520281688072
Position 388: 0.0007038622978509029
Position 89: 0.0005949890438774796
Position 279: 0.0005385277192212415
Position 1927: 0.0005205822430646245
Position 367: 0.00031907794749743074
Position 409: 0.00024721091662716896
Position 212: 0.00019109589917242498
Position 1904: 0.0001299041787997384
Position 371: 7.097011939955598e-05
Position 391: 6.0769219533356514e-05
Position 64: 1.323122587102975e-06
Position 102: 5.769475927481938e-09
Position 97: 4.9672137592902774e-09
