Gene = Fgop2
index = 1164
Annotated 5SS: [156]
Annotated 3SS: [219]
SMsplice 5SS: [156]
SMsplice 3SS: [219]
top_k =  1000
Partition function (log Z): -9.132753231550577

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.9857560309120703
Position 170: 0.009814670683006439
Position 491: 0.009169655136292375
Position 1454: 0.003724472121220565
Position 413: 0.0028316389191463563
Position 1259: 0.0020638107807200586
Position 1244: 0.0018585893417763667
Position 1377: 0.001632715134029052
Position 1822: 0.0016239496400301556
Position 430: 0.0011129880440668444
Position 994: 0.000927403282222349
Position 683: 0.000733819968320572
Position 912: 0.000674556921498927
Position 1480: 0.0004983073955663654
Position 1612: 0.0004859307696038773
Position 629: 0.0004727106565313927
Position 1638: 0.000427574358676706
Position 604: 0.0003246880410715191
Position 1584: 0.0003127705298961438
Position 1882: 0.00024435658014019304
Position 1223: 0.00021830466802279157
Position 350: 0.00019270524716762702
Position 867: 0.00018345590631193475
Position 1089: 0.00017058061742433923
Position 643: 0.0001583183747396804
Position 1511: 0.00010126931919038683
Position 1592: 9.17959382194086e-05
Position 1597: 8.154241470946565e-05
Position 983: 5.275560414393949e-05
Position 1492: 4.3931668190505276e-05
Position 30: 3.930550192798849e-05
Position 1682: 3.415301382970268e-05
Position 1485: 3.2534168756691635e-05
Position 744: 3.192306949348438e-05
Position 1262: 2.5077796218555942e-05
Position 1071: 2.2277454102972114e-05
Position 841: 2.1921815726182947e-05
Position 959: 2.1591880978671836e-05
Position 746: 1.91617671422489e-05
Position 184: 1.7638158771229348e-05
Position 620: 1.2665080701585398e-05
Position 46: 7.4119702258219915e-06
Position 1252: 7.323927068943985e-06
Position 1091: 5.703770712917966e-06
Position 1002: 5.3498350503999434e-06
Position 1290: 4.684672824844534e-06
Position 73: 4.3124414058666415e-06
Position 52: 3.352745034076644e-06
Position 116: 3.1084689399577737e-06
Position 49: 1.3372814932772385e-06
Position 1022: 1.5673738938665957e-07
Position 1192: 1.0801332379720868e-07
Position 1065: 5.564818616209394e-08
Position 756: 3.0330221951941646e-08
Position 308: 2.783649490172264e-08
Position 725: 2.6176817201992087e-08
Position 661: 2.1248353896942742e-08
Position 201: 2.113421829631516e-08
Position 345: 1.8091233610319238e-08
Position 1275: 1.5594303262702598e-08
Position 11: 1.3266305912188832e-08
Position 579: 1.1536311130474773e-08
Position 295: 6.3639643017966075e-09
Position 219: 6.237639159873365e-09
Position 761: 5.700529657778152e-09
Position 210: 4.136472492961308e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 219: 0.9743900192508917
Position 228: 0.008203267799751689
Position 1734: 0.006320275923589112
Position 1316: 0.004526520589417036
Position 682: 0.004114121141535813
Position 1672: 0.003340124698417883
Position 1626: 0.0029968080510698364
Position 1737: 0.002822740242205859
Position 225: 0.0026094671950709514
Position 1157: 0.002122690547639471
Position 334: 0.0018524549031024929
Position 1658: 0.001406301573843261
Position 1887: 0.001340793129224152
Position 508: 0.0011800040754473093
Position 1768: 0.0010212173195655765
Position 1058: 0.0008728052163696897
Position 505: 0.0008043837085635704
Position 475: 0.000672216427821816
Position 556: 0.0006046619432608355
Position 841: 0.000567895309391478
Position 1936: 0.0004609633436188679
Position 1592: 0.00043658217398993165
Position 231: 0.00037847674968806503
Position 991: 0.000370225014541974
Position 291: 0.00035017041390451577
Position 316: 0.00034348549699673634
Position 1595: 0.00033393980591379853
Position 1972: 0.000321348610385448
Position 1882: 0.00030287310917176543
Position 1642: 0.00027117026451444604
Position 766: 0.00018107897851089603
Position 1776: 9.511874807751292e-05
Position 2054: 9.505784583977257e-05
Position 2051: 8.446792660615337e-05
Position 522: 5.4448163189107014e-05
Position 1865: 5.18423137424272e-05
Position 198: 4.786830737487809e-05
Position 539: 3.9597645138887116e-05
Position 655: 3.2927294169361476e-05
Position 1352: 2.491333251026841e-05
Position 1553: 2.3163278061349338e-05
Position 1997: 2.0772933410353032e-05
Position 1170: 1.7758837674535045e-05
Position 725: 1.7195724649651693e-05
Position 790: 1.59706141594742e-05
Position 1453: 1.575058174817816e-05
Position 1359: 1.5220955391340618e-05
Position 1435: 1.4978346478577623e-05
Position 912: 1.311447775161308e-05
Position 541: 1.2091668095202596e-05
Position 1102: 1.0269788577964173e-05
Position 628: 9.545705074334872e-06
Position 648: 8.480359808198573e-06
Position 2005: 7.752478450957584e-06
Position 1065: 7.748345334071671e-06
Position 1939: 6.6497038369501135e-06
Position 1781: 6.634448909953886e-06
Position 722: 5.983047969879924e-06
Position 345: 5.841670098718281e-06
Position 639: 4.334056784964981e-06
Position 838: 3.766928518712674e-06
Position 1002: 3.33572912664765e-06
Position 589: 2.718379112256635e-06
Position 355: 2.6485870373974476e-06
Position 749: 2.5949675539593458e-06
Position 856: 2.3624761577568956e-06
Position 697: 1.938814311417233e-06
Position 436: 1.5750702475536463e-06
Position 125: 7.61096799627815e-07
Position 113: 3.508351171398919e-07
Position 133: 1.2201047944458169e-08
Position 430: 5.591360670433313e-09
Position 173: 2.1717541036974007e-09
Position 160: 1.5938692358208409e-09
Position 397: 7.790525052518846e-10
Position 604: 4.2599140346871746e-10
Position 391: 3.6107434760936967e-10
Position 550: 2.278324821870168e-10
Position 568: 1.441100841259451e-10
Position 388: 1.1749774553813126e-10
Position 180: 1.9349360166974044e-11
Position 184: 5.935409234237102e-14
Position 233: 3.5798742982927386e-14
Position 418: 3.8377132405909215e-15
Position 643: 1.8503220776108882e-16
Position 658: 1.5934319638754925e-16
Position 420: 6.860418685239842e-20
