Gene = Dhpr
index = 1134
Annotated 5SS: [331]
Annotated 3SS: [426]
SMsplice 5SS: [331]
SMsplice 3SS: [426]
top_k =  1000
Partition function (log Z): -9.062745131183574

Sorted 5' Splice Sites (High to Low Probability):
Position 331: 0.987176521123295
Position 755: 0.013386126050329763
Position 596: 0.010987688014951433
Position 599: 0.007944643497690262
Position 113: 0.005156209963432467
Position 130: 0.003148721810484623
Position 293: 0.001189425043820143
Position 827: 0.0008266929459230107
Position 865: 0.0006087082651491541
Position 890: 0.00038952946599255845
Position 122: 0.00031467227344892176
Position 148: 0.0002859806123115975
Position 39: 0.00024165627138248292
Position 186: 0.00017100938319265723
Position 532: 0.00015960250879949319
Position 469: 0.00014432007859112254
Position 29: 0.00013159860032451633
Position 940: 0.00012887990517846933
Position 839: 0.00011951070485160984
Position 265: 0.00011912157402532684
Position 520: 0.00010779538532377745
Position 275: 9.589947799965994e-05
Position 426: 7.355004731428389e-05
Position 257: 7.352415269145614e-05
Position 335: 4.841311055436344e-05
Position 478: 4.713542388897938e-05
Position 194: 3.999887605180298e-05
Position 481: 3.8787264384843235e-05
Position 497: 3.472315242268321e-05
Position 639: 3.1647653319658664e-05
Position 304: 2.2534243913162442e-05
Position 852: 1.970663141801044e-05
Position 17: 1.3051504900619426e-05
Position 262: 1.2780145884294594e-05
Position 212: 1.177396005871005e-05
Position 188: 1.1217163698452508e-05
Position 502: 1.1132118397337813e-05
Position 302: 9.713667581883003e-06
Position 196: 8.557502599246057e-06
Position 652: 7.348447420702803e-06
Position 523: 5.970486058057014e-06
Position 430: 5.778218522611913e-06
Position 525: 3.688736454664664e-06
Position 850: 3.086520128881494e-06
Position 1209: 8.96112895909607e-07
Position 960: 5.297635881323673e-07
Position 249: 3.836861634679844e-07
Position 1186: 3.635638263020372e-07
Position 1135: 1.8517145917660003e-07
Position 577: 4.608420365029867e-09
Position 381: 3.9088933552361504e-09
Position 568: 9.592395605166334e-10
Position 393: 6.631864173490928e-10
Position 679: 9.894461292201199e-11
Position 787: 6.731904962197464e-11
Position 654: 3.716813487752488e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 426: 0.7614809240092176
Position 910: 0.08470073228191345
Position 874: 0.07809964508532038
Position 437: 0.06964455243113604
Position 1005: 0.011026394338051498
Position 212: 0.0072293445466988905
Position 676: 0.006858862173102052
Position 960: 0.004430721210186154
Position 648: 0.0026345403137135277
Position 510: 0.0014630935439767258
Position 1032: 0.0012829093224106633
Position 238: 0.0007002722507093254
Position 256: 0.0005467185431533542
Position 1283: 0.00052787324061145
Position 459: 0.0004334856550625341
Position 699: 0.00031093261894829934
Position 116: 0.0002847174316803528
Position 1050: 0.00022930142106833485
Position 970: 0.00021002669809750142
Position 497: 0.0001869090024606517
Position 835: 0.0001824109393372946
Position 532: 0.0001422688548558692
Position 732: 0.00010684366955376786
Position 727: 9.400225461598258e-05
Position 462: 9.346494431638767e-05
Position 595: 8.203834181172601e-05
Position 645: 7.404110732505906e-05
Position 1274: 5.7745404019128344e-05
Position 795: 3.861447576603199e-05
Position 453: 3.8028069164788625e-05
Position 784: 3.5688506343995406e-05
Position 473: 2.611537500807275e-05
Position 975: 2.0971086500892843e-05
Position 1260: 1.5080568491615942e-05
Position 143: 1.3442260295600013e-05
Position 624: 1.1000734154825257e-05
Position 612: 1.0176453496334839e-05
Position 780: 9.665882278963797e-06
Position 319: 7.816546972817738e-06
Position 1251: 7.025702256742517e-06
Position 690: 6.763769261546112e-06
Position 513: 4.740225759381506e-06
Position 819: 3.3450767087131528e-06
Position 609: 1.733102882144722e-06
Position 155: 1.7006773044056404e-06
Position 1064: 1.1728452444303595e-06
Position 939: 1.0438283395567061e-06
Position 1056: 7.659964495660478e-07
Position 72: 5.299843479987433e-07
Position 744: 2.89929574847191e-07
Position 283: 1.860565518234048e-07
Position 262: 1.317528281574599e-07
Position 335: 7.715386323594961e-11
Position 286: 8.747718352482442e-12
Position 555: 2.988090141460545e-14
