Gene = dos
index = 1673
Annotated 5SS: [ 139 3073 3906 4086 4388 5052]
Annotated 3SS: [2747 3138 3973 4146 4450 5107]
SMsplice 5SS: [ 139 3073 3906 4086 4388 5052]
SMsplice 3SS: [2747 3138 3973 4146 4450 5107]
top_k =  1000
Partition function (log Z): 11.631741366426397

Sorted 5' Splice Sites (High to Low Probability):
Position 5052: 0.9991288624142268
Position 4388: 0.9928934485765387
Position 3906: 0.9793001984496122
Position 3073: 0.9717675897987442
Position 4086: 0.9711359401620238
Position 139: 0.8562543179194839
Position 4562: 0.047570225702353586
Position 332: 0.04640050522104443
Position 4587: 0.04471440675679513
Position 2434: 0.0350364017966386
Position 189: 0.03398883603444771
Position 3350: 0.033426182261099294
Position 4082: 0.026739985504474133
Position 1471: 0.021109534766384483
Position 2200: 0.017144444733194972
Position 3012: 0.015360384863803542
Position 4726: 0.01325502499453908
Position 2154: 0.010628843753173151
Position 2698: 0.010297954212473561
Position 163: 0.010042307669393265
Position 2187: 0.009020472210210725
Position 2660: 0.007383256826634776
Position 478: 0.0063723004378133654
Position 2656: 0.005818003691461484
Position 3561: 0.005549420902033099
Position 1157: 0.0049031920427078015
Position 185: 0.004842290032176105
Position 502: 0.004744742199417335
Position 193: 0.003958124702997854
Position 2160: 0.00391669912426417
Position 474: 0.0038209968884204346
Position 1093: 0.0038131312497202137
Position 1371: 0.0037773108321678033
Position 2378: 0.0037739934413124447
Position 5291: 0.0031408378607689982
Position 1938: 0.0030574113996977956
Position 2654: 0.002899488586284752
Position 4338: 0.002760985008591666
Position 5192: 0.0024849448649053698
Position 46: 0.0017448510777425719
Position 468: 0.0013512138759196287
Position 470: 0.0012793566347862975
Position 2197: 0.0012384642339466263
Position 1635: 0.0012288548767363007
Position 2478: 0.001130602296660151
Position 601: 0.0010551493951891598
Position 5629: 0.0010011447406037318
Position 3063: 0.0009695523981470169
Position 2874: 0.0007723104956930583
Position 3294: 0.0007424298679068557
Position 5395: 0.0006678667672287756
Position 3348: 0.0006545356740043414
Position 3365: 0.0006521520786184053
Position 1051: 0.0006467629609601927
Position 5453: 0.0005767524877187177
Position 2236: 0.0005413003431782238
Position 5287: 0.0004359706336458429
Position 3654: 0.00041386502972784434
Position 5746: 0.00040909329881867474
Position 3692: 0.00040518123074311446
Position 3832: 0.00037451873595034765
Position 5854: 0.0003563045931200827
Position 4153: 0.0002938784007242718
Position 5451: 0.0002790643271170075
Position 5780: 0.00026567316619745984
Position 203: 0.00026000875577102215
Position 1422: 0.00025907172577690005
Position 1584: 0.00023141662708789867
Position 2470: 0.00021623415549631585
Position 3850: 0.00020828894675150043
Position 1056: 0.0001780629773493754
Position 3815: 0.00015205950254223617
Position 5668: 0.00015120164967821398
Position 450: 0.00013161371361790426
Position 2994: 0.0001228540807449198
Position 1414: 0.0001209747140441033
Position 5793: 0.00011443448621795107
Position 2088: 0.00010919834044146985
Position 4887: 0.00010615504007375081
Position 5641: 0.00010541688847107907
Position 2461: 9.518352502278282e-05
Position 5411: 9.137434485565321e-05
Position 11: 9.021268156651274e-05
Position 5730: 8.807027041255567e-05
Position 187: 8.369254480267773e-05
Position 1013: 8.074496803007136e-05
Position 195: 6.512901953446726e-05
Position 143: 6.33736527156386e-05
Position 4123: 6.330799880820888e-05
Position 1284: 6.193071941445443e-05
Position 4392: 6.108995346047017e-05
Position 15: 6.0534831418978e-05
Position 4306: 6.02725182681738e-05
Position 4090: 5.904671249137845e-05
Position 4759: 5.800779456615774e-05
Position 3067: 5.059853395109888e-05
Position 495: 4.5038915541245374e-05
Position 742: 4.4161243929019886e-05
Position 5894: 4.3706961676123396e-05
Position 4681: 4.270350448339857e-05
Position 456: 4.213175552307306e-05
Position 299: 3.96228240069494e-05
Position 5171: 3.4249980163236765e-05
Position 108: 3.278994920202881e-05
Position 4894: 3.226096444836967e-05
Position 4126: 3.210369366976245e-05
Position 5908: 2.712288962951883e-05
Position 3252: 2.5669444911144318e-05
Position 3910: 2.4975919000782195e-05
Position 721: 2.39799173230614e-05
Position 5989: 2.2794327884894402e-05
Position 3079: 2.162127725043151e-05
