Gene = Sfp26Ad
index = 1490
Annotated 5SS: [102]
Annotated 3SS: [171]
SMsplice 5SS: [102]
SMsplice 3SS: [171]
top_k =  1000
Partition function (log Z): -4.915426778126959

Sorted 5' Splice Sites (High to Low Probability):
Position 102: 0.903984157179365
Position 106: 0.046376244991507234
Position 67: 0.03148957291501377
Position 64: 0.009281897130679482
Position 351: 0.008696014938574038
Position 99: 0.008299375581607649
Position 297: 0.002432319277334466
Position 441: 0.000817674165646164
Position 306: 0.0003943805723985796
Position 423: 0.00027524456565860303
Position 409: 0.00016326703168711908
Position 36: 0.0001499607224417629
Position 147: 0.00012905906464482546
Position 26: 9.833333823385685e-05
Position 487: 8.930228427901037e-05
Position 585: 7.099243781638541e-05
Position 301: 6.474312543790918e-05
Position 427: 5.0191944807573684e-05
Position 283: 3.230553663297995e-05
Position 406: 3.1969428062743236e-05
Position 490: 3.1176087421598234e-05
Position 335: 2.8846197314747523e-05
Position 6: 1.8770398080086024e-05
Position 361: 1.7063303102767144e-05
Position 617: 1.4309284762741192e-05
Position 126: 1.1681806032888956e-05
Position 494: 8.948086261717509e-06
Position 28: 7.03494833655939e-06
Position 492: 4.6173913527712487e-07
Position 210: 3.9495387342496987e-07
Position 621: 3.1746966642441655e-07
Position 614: 1.1203719096317024e-07
Position 626: 1.0887975262047769e-08
Position 189: 1.222380344460304e-09
Position 207: 4.144975192922301e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 171: 0.9965523899342887
Position 490: 0.005453488581964542
Position 151: 0.0019211301274440731
Position 423: 0.0016664329452327701
Position 626: 0.0012795022137986084
Position 438: 0.0012776609850304577
Position 215: 0.0010865044206354387
Position 621: 0.0008287600243075113
Position 380: 0.0007915943539464652
Position 414: 0.0005981630284680721
Position 351: 0.0004798726296332339
Position 669: 0.00043164379658322446
Position 503: 0.00017928147268037587
Position 453: 0.0001327525191931347
Position 651: 0.00010271550635147291
Position 189: 9.749208156824143e-05
Position 464: 4.084383750001881e-05
Position 554: 2.7716903638965623e-05
Position 221: 2.6543123184394752e-05
Position 218: 2.342440915752125e-05
Position 355: 2.141969211649612e-05
Position 537: 1.8756617852669778e-05
Position 512: 9.400489479061778e-06
Position 323: 5.610034321105816e-06
Position 281: 5.450312641108152e-06
Position 562: 4.929544293543846e-06
Position 116: 9.031401521988424e-07
Position 514: 6.75181500913795e-07
Position 335: 4.0254375377215726e-07
Position 274: 3.195802354175885e-07
Position 106: 1.4688532053869679e-07
Position 230: 8.74428621585859e-08
Position 519: 7.099783194293642e-08
Position 49: 2.500815203677776e-08
Position 57: 2.3827757529926885e-08
Position 64: 3.615445390451005e-10
Position 71: 1.0308570891976123e-10
Position 283: 6.254227732836107e-16
