Gene = Hmgcl
index = 1213
Annotated 5SS: [111]
Annotated 3SS: [169]
SMsplice 5SS: [111]
SMsplice 3SS: [169]
top_k =  1000
Partition function (log Z): -6.611198392523971

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.9982569992905356
Position 41: 0.0025181804592895097
Position 332: 0.001534251822900585
Position 1088: 0.0012186734290609562
Position 1055: 0.001104893965118717
Position 46: 0.000595281710923594
Position 518: 0.0004540386192283102
Position 1093: 0.0004327287317741586
Position 402: 0.00041579670166547384
Position 1015: 0.0003404463088017101
Position 200: 0.0002550924945222178
Position 473: 0.00022318783050087355
Position 215: 0.0001701861731293747
Position 764: 0.00016738785257134923
Position 395: 0.00011826067894960315
Position 819: 0.00010666730870671904
Position 1007: 7.463361127789672e-05
Position 73: 5.1955622723643186e-05
Position 231: 5.1550899459664166e-05
Position 665: 4.639247618262255e-05
Position 502: 3.449752220170433e-05
Position 628: 3.2933808564803414e-05
Position 347: 3.206601666901078e-05
Position 374: 2.261402278252275e-05
Position 947: 1.617205655889586e-05
Position 668: 1.5603461216608758e-05
Position 679: 1.5001146320964013e-05
Position 585: 1.3838411734208609e-05
Position 773: 1.1899512128355713e-05
Position 292: 9.435354236140069e-06
Position 636: 8.933838634844426e-06
Position 479: 8.04614705074071e-06
Position 614: 6.9551279950750705e-06
Position 723: 6.613413995431348e-06
Position 1149: 4.593525500944951e-06
Position 1194: 4.266286620567059e-06
Position 617: 3.952505696032462e-06
Position 1048: 3.6402083075751316e-06
Position 1199: 3.1460545054585894e-06
Position 866: 3.0604405383687226e-06
Position 944: 2.4910428022227074e-06
Position 919: 2.0111609617793987e-06
Position 983: 1.9431197925124934e-06
Position 1171: 1.8790640280542665e-06
Position 1066: 1.2140035404277388e-06
Position 869: 1.148487371641591e-06
Position 10: 8.682524441755728e-07
Position 881: 6.122307348979456e-07
Position 725: 4.0269321731314494e-07
Position 651: 3.8995758119979585e-07
Position 1184: 3.588857626559105e-07
Position 587: 3.272556372758306e-07
Position 659: 3.0017224625258715e-07
Position 447: 2.9478529298240737e-07
Position 605: 1.309919742119962e-07
Position 209: 1.2587694972243383e-07
Position 179: 5.377936937528886e-10
Position 416: 2.2746899175157423e-11
Position 641: 1.9152720651399465e-11
Position 593: 1.2490565022779808e-12
Position 656: 1.032769319881403e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 169: 0.9970847123624165
Position 1184: 0.0035892449736890943
Position 105: 0.0028772812362873475
Position 572: 0.001139545694877402
Position 1247: 0.0008222829014464083
Position 302: 0.0006945904177759706
Position 199: 0.0006005479689155643
Position 395: 0.0004254186570662764
Position 436: 0.0003537327343065568
Position 533: 0.00014102863236116532
Position 737: 9.939791875350924e-05
Position 823: 9.352412885272143e-05
Position 263: 7.021153152786408e-05
Position 569: 4.580479525168881e-05
Position 383: 4.408891120710133e-05
Position 186: 3.737566676363718e-05
Position 514: 3.08541934934928e-05
Position 355: 2.533619467948311e-05
Position 457: 2.3892579988953753e-05
Position 416: 2.3492708114123763e-05
Position 1149: 2.2328424568176935e-05
Position 700: 1.9688948878488717e-05
Position 317: 1.869426833472002e-05
Position 1143: 1.7448283142901784e-05
Position 1038: 1.4579888956920464e-05
Position 1132: 1.386192821043705e-05
Position 992: 1.1258361528527182e-05
Position 788: 8.46592146346627e-06
Position 327: 7.779620120740656e-06
Position 1189: 7.528503565834504e-06
Position 408: 5.701471276367422e-06
Position 1007: 5.4173044055771864e-06
Position 445: 4.318453396352055e-06
Position 913: 4.217507685203237e-06
Position 923: 3.961681973638844e-06
Position 110: 3.3231802202133346e-06
Position 1046: 2.869048477147741e-06
Position 320: 2.790448568191821e-06
Position 1081: 2.422377344658822e-06
Position 772: 2.2969434284144617e-06
Position 665: 2.109445402176926e-06
Position 214: 1.7771620437725192e-06
Position 580: 1.1128866237196371e-06
Position 1273: 8.587663144210129e-07
Position 374: 6.245627712048891e-07
Position 63: 5.735580056729844e-07
Position 271: 1.1679544455760672e-10
Position 73: 8.289914007953093e-11
Position 244: 5.573794448438808e-11
Position 277: 6.780160365211451e-13
Position 447: 2.99578272103224e-13
Position 336: 3.219198975984055e-17
