Gene = ush
index = 1923
Annotated 5SS: [47840 49217 60747 61212 61530 63030 63233]
Annotated 3SS: [49171 59802 60816 61328 61642 63089 63297]
SMsplice 5SS: [  112 25456 60747 61212 61530 63030 63233]
SMsplice 3SS: [25258 59802 60816 61328 61642 63089 63297]
top_k =  1000
Partition function (log Z): 4.39796663131645

Sorted 5' Splice Sites (High to Low Probability):
Position 25456: 0.9999999999999944
Position 60747: 0.9999999999999944
Position 63233: 0.9998038868165426
Position 112: 0.9983147518806212
Position 61530: 0.9739880978063953
Position 63030: 0.9731933505297308
Position 61212: 0.9420764594962472
Position 12516: 0.5608811218790739
Position 12798: 0.3832114239578871
Position 13401: 0.28110011082680314
Position 15139: 0.1051148707792133
Position 13450: 0.09501074008691088
Position 13784: 0.07401621801703256
Position 62703: 0.05675003124944986
Position 64039: 0.04830159892009017
Position 63781: 0.03793617084738969
Position 13095: 0.03315727276647593
Position 13489: 0.03162680191351836
Position 11984: 0.028131084956382564
Position 14349: 0.025407734426491746
Position 442: 0.019969298102038593
Position 61521: 0.011092825148695537
Position 63506: 0.010885961311529224
Position 12924: 0.010618043688486723
Position 2011: 0.010449484711683601
Position 9130: 0.010090440464840594
Position 11146: 0.009023684042365141
Position 3541: 0.006695634619004876
Position 3537: 0.006399602023942299
Position 2603: 0.00582865291156205
Position 6564: 0.005603627691317985
Position 63751: 0.005011976147755525
Position 12746: 0.004633092960655454
Position 548: 0.004025619015356166
Position 63972: 0.0037822377997869545
Position 12979: 0.003659700026744128
Position 12780: 0.0033511873555870887
Position 3711: 0.0031574633300413845
Position 3081: 0.0024008735237790123
Position 5486: 0.001994820496183952
Position 5108: 0.0019282050890324063
Position 63517: 0.001858645671558423
Position 801: 0.0018529908411152574
Position 5104: 0.0017840564021743479
Position 61804: 0.001656808319168368
Position 64207: 0.0015264074204615174
Position 62989: 0.0014691957678526876
Position 62246: 0.0011029237956048086
Position 61764: 0.0009905918423851765
Position 61915: 0.0006766480912738163
Position 13550: 0.0006355098574450977
Position 63778: 0.0006096141591231999
Position 3234: 0.0005429901519685743
Position 3300: 0.0004946978874664284
Position 62302: 0.0004300288788021582
Position 3060: 0.00042520383568158445
Position 61810: 0.0004237306976755037
Position 62754: 0.00039560390577040005
Position 63995: 0.0003619232220152894
Position 64006: 0.00033908135460962067
Position 3242: 0.00028368119020832813
Position 62700: 0.0002268995682119235
Position 64251: 0.000201564881219064
Position 63220: 0.00017990742506718334
Position 63551: 0.00017790124829837698
Position 1816: 0.0001698147700077802
Position 3306: 0.0001571943119529662
Position 61812: 0.00015528516927696735
Position 62152: 0.0001460422682342196
Position 63790: 0.00013162544799399375
Position 63987: 0.0001311112816110689
Position 64188: 0.00010638250811581226
Position 5684: 9.78089161839849e-05
Position 3310: 7.916636603932341e-05
Position 239: 7.878579312855179e-05
Position 1620: 7.593114421506219e-05
Position 2351: 7.321942387965804e-05
Position 1103: 6.942884112571986e-05
Position 6216: 6.406094424070035e-05
Position 64280: 6.375293595812892e-05
Position 2334: 6.0677296947410145e-05
Position 589: 5.94754300198867e-05
Position 3314: 5.303950624214243e-05
Position 1107: 5.1060519758569906e-05
Position 3091: 4.292340921035335e-05
Position 64264: 3.815814778680595e-05
Position 5015: 3.559741988349692e-05
Position 1043: 3.541239275399395e-05
Position 1111: 3.1340312650485465e-05
Position 555: 3.095513773428781e-05
Position 63531: 3.060966978971631e-05
Position 1348: 3.027927198131515e-05
Position 64178: 2.9430597938973516e-05
Position 5653: 2.6501281406906664e-05
Position 1205: 2.5291317384555214e-05
Position 6228: 2.519129260534545e-05
Position 63338: 2.2470678922855215e-05
Position 63852: 2.0101854040580216e-05
Position 692: 1.9662864372417506e-05
