Gene = Mrtf
index = 1286
Annotated 5SS: [ 4914 37892 38117 41860]
Annotated 3SS: [37066 37975 41793 42477]
SMsplice 5SS: [  279 37892 38117 41860]
SMsplice 3SS: [37066 37975 41793 42477]
top_k =  1000
Partition function (log Z): -6.786820946274105

Sorted 5' Splice Sites (High to Low Probability):
Position 37892: 0.9996487083714309
Position 38117: 0.9956408254420678
Position 41860: 0.9158061331894484
Position 279: 0.7866300819816173
Position 38477: 0.5329788451893366
Position 911: 0.36527581465635656
Position 43369: 0.30597810049470564
Position 14532: 0.20449003924901377
Position 402: 0.19214465461135102
Position 42359: 0.13782665586153078
Position 18238: 0.1155307962300243
Position 48376: 0.08622785602763586
Position 43192: 0.0729056274411229
Position 41712: 0.060151802470335546
Position 14842: 0.05646657823646291
Position 39252: 0.054739832557515467
Position 28907: 0.046054307762464435
Position 43140: 0.03297288501346133
Position 44928: 0.02921628245993404
Position 42417: 0.02362014498793985
Position 39065: 0.01604155427012964
Position 954: 0.011090027405951297
Position 772: 0.010228485515243349
Position 14560: 0.010138553855554296
Position 39049: 0.008783507988206485
Position 40826: 0.007649937907822013
Position 2048: 0.007484920644561896
Position 4914: 0.006471707224434569
Position 41681: 0.006176935839124374
Position 42145: 0.004981189562677037
Position 356: 0.004245713319708751
Position 39256: 0.003947963212873821
Position 43163: 0.003910946161149268
Position 41316: 0.0028944513686495693
Position 38570: 0.002669131896267743
Position 38138: 0.00253274994939001
Position 41864: 0.002367330982481842
Position 42433: 0.00131320274831816
Position 41266: 0.0012796689270235281
Position 41314: 0.0011453076987417213
Position 2938: 0.001141093694249226
Position 39211: 0.0010842433951669993
Position 39249: 0.000978352572865272
Position 38282: 0.000928100499483901
Position 345: 0.0008400254861054789
Position 38959: 0.0008202130549681986
Position 43183: 0.0007821259480358012
Position 39220: 0.0007534171616785802
Position 360: 0.0006484412284439722
Position 38693: 0.0005546925550636715
Position 42306: 0.000537063046117356
Position 330: 0.000507751222538919
Position 38481: 0.0004983661098481125
Position 38496: 0.00044983438003741514
Position 38744: 0.0004144132406807268
Position 43606: 0.00037570113689708117
Position 43185: 0.00035251026092619
Position 43204: 0.0003383318673587158
Position 39933: 0.00031553266633076345
Position 269: 0.00029955125791494695
Position 41903: 0.00025707239607251605
Position 38461: 0.00022645550577307904
Position 39475: 0.00016292200866532667
Position 41871: 0.00014338558168380363
Position 39045: 0.0001424558263558188
Position 38842: 0.00013680752210725453
Position 42251: 0.00012763343883043108
Position 42274: 0.00012751055653724517
Position 42304: 9.428431086420133e-05
Position 340: 8.283165772989477e-05
Position 38929: 6.478878045845202e-05
Position 334: 5.8557809457848286e-05
Position 38627: 5.595347183319778e-05
Position 1698: 5.3186175583678926e-05
Position 40427: 5.311271785060864e-05
Position 42948: 5.169507476420002e-05
Position 1136: 3.943485813046618e-05
Position 38964: 3.4440214432821945e-05
