Gene = chb
index = 1645
Annotated 5SS: [193]
Annotated 3SS: [5243]
SMsplice 5SS: [  193  5352 10157]
SMsplice 3SS: [ 5243  9953 10217]
top_k =  1000
Partition function (log Z): -10.653433117532577

Sorted 5' Splice Sites (High to Low Probability):
Position 193: 0.971138302764482
Position 5352: 0.6111801130390901
Position 10157: 0.5133708326756056
Position 4593: 0.0825424478360035
Position 10107: 0.054688324375173396
Position 9427: 0.031204660683784444
Position 4588: 0.03054944425682892
Position 5709: 0.022225815742870768
Position 4950: 0.018055953341886134
Position 9842: 0.014395663112919909
Position 933: 0.014172612897556154
Position 4931: 0.013501855478954898
Position 71: 0.009085378629341575
Position 5090: 0.008747680850668219
Position 3676: 0.00787875706826455
Position 585: 0.006754839193912652
Position 4874: 0.006418565532799462
Position 10001: 0.006375945625939943
Position 5437: 0.005473577244912554
Position 10044: 0.0033630457594028885
Position 10307: 0.002267672043275901
Position 4169: 0.00222129351289652
Position 938: 0.0013433320654419201
Position 7680: 0.001251222291899992
Position 4601: 0.0011475573632996386
Position 197: 0.0011227555286177097
Position 2038: 0.0011208675692807037
Position 689: 0.0010368825810942164
Position 3684: 0.0010342598959884074
Position 7059: 0.0010228031533391188
Position 149: 0.0008818489532344888
Position 1585: 0.0008752649089043444
Position 4534: 0.0008696301082701526
Position 5138: 0.0008259805859412133
Position 5373: 0.0007531394622332213
Position 3700: 0.0007325944789172943
Position 3688: 0.0006787530560288559
Position 4839: 0.0006677981611614468
Position 1178: 0.0005289014941470768
Position 823: 0.0004914365268973251
Position 1678: 0.00047058030614384217
Position 763: 0.0004235274941081597
Position 1432: 0.00039491378938363034
Position 4512: 0.0003799169474631039
Position 7009: 0.00032237528098491986
Position 1331: 0.00032148582500115164
Position 494: 0.0002976878183463512
Position 488: 0.0002922476121115985
Position 942: 0.0002442486201614143
Position 4173: 0.00022461009902518012
Position 827: 0.00020014255804119433
Position 3888: 0.0001921414011644463
Position 831: 0.0001850958286975794
Position 7624: 0.00017181562600190208
Position 3261: 0.00015530439351838212
Position 3893: 0.0001550237314822471
Position 4969: 0.00015029613998146385
Position 748: 0.00014581912391433934
Position 7321: 0.00014357058313824007
Position 2009: 0.0001367612391251653
Position 8740: 0.00013599297053419046
Position 703: 0.00011833064016817322
Position 3680: 0.00011323901669044901
Position 288: 0.00010789573220491394
Position 3694: 8.464263991332134e-05
Position 6575: 8.338086353557894e-05
Position 899: 7.206377129582719e-05
Position 989: 6.398938101252004e-05
Position 1655: 6.182454638392002e-05
Position 2147: 5.778709640408579e-05
Position 2938: 5.040349563857069e-05
Position 2050: 4.036152165223864e-05
Position 6543: 3.8260882756365804e-05
Position 4904: 3.582064405780259e-05
Position 6156: 3.50162446147381e-05
Position 4100: 3.439612803055734e-05
Position 168: 2.9428690746795327e-05
Position 349: 2.9229879937626748e-05
Position 5753: 2.8438609963368237e-05
Position 4748: 2.629903160714839e-05
Position 1060: 2.5099844648664912e-05
Position 1535: 2.4176436907845105e-05
Position 127: 2.0723451886629588e-05
Position 161: 2.0543966873371137e-05
Position 881: 1.9680923011443188e-05
Position 4538: 1.9389268357304084e-05
Position 6126: 1.8879400464422786e-05
Position 3312: 1.805423126174304e-05
Position 3453: 1.7555898176090564e-05
Position 3175: 1.7451292051332597e-05
Position 1338: 1.5903258422577994e-05
Position 8436: 1.5354592497820147e-05
Position 302: 1.2225167447428655e-05
Position 657: 1.1701957304436203e-05
Position 2934: 1.0740909272231972e-05
Position 3932: 1.0600807186585042e-05
Position 2471: 1.0238202791342135e-05
Position 6423: 4.444808747057379e-06
Position 3982: 3.827402277788031e-06
Position 3969: 1.2128980470265152e-06
Position 512: 2.4921469199209837e-07
Position 599: 8.994897068755486e-08
Position 318: 5.4701621850215684e-08
Position 423: 5.335377385996809e-08
Position 243: 1.9421233053549337e-08
Position 183: 1.385336508069292e-08
Position 450: 1.3397674159531721e-08
Position 548: 1.189441399986139e-08
Position 19: 1.1672866655217714e-08
Position 125: 1.1456095974151738e-08
Position 471: 8.737867860553048e-09
Position 874: 5.1582614528291856e-09
Position 1182: 4.809915328423602e-09
Position 1107: 2.9233908566872317e-09
Position 1043: 2.1826447223851176e-09
Position 1322: 1.8260068656473689e-09
Position 270: 2.3469547524581826e-10
Position 106: 6.302021361065374e-11
Position 572: 1.977538702459324e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10217: 0.8023765764178404
Position 9953: 0.6624833408481604
Position 5243: 0.6429274228574026
Position 4426: 0.05565061094818228
Position 4296: 0.05542434358760814
Position 4667: 0.03613377098278521
Position 9950: 0.03498909358078982
Position 9285: 0.021904671624073058
Position 8594: 0.016428190416043285
Position 4482: 0.011800918210859391
Position 3014: 0.008313717638947244
Position 9325: 0.006738478256985165
Position 10104: 0.0065253025217100686
Position 10410: 0.006327184948672115
Position 270: 0.005674808540769111
Position 5252: 0.005181996671193345
Position 9458: 0.00498030612308554
Position 7744: 0.004923118538810074
Position 10073: 0.00438936842965605
Position 4647: 0.004300655008681531
Position 7087: 0.004125545628752137
Position 10367: 0.0040441057198797835
Position 8144: 0.0038860035220440775
Position 4238: 0.003655552157606706
Position 9157: 0.0035481110698481
Position 7124: 0.003384199227564956
Position 3792: 0.0032031476593081185
Position 133: 0.002905927897496637
Position 4039: 0.001972054421100952
Position 10161: 0.0017101046929180195
Position 771: 0.0015784684176131571
Position 8789: 0.0014614199159213043
Position 8645: 0.0014089405093565734
Position 10123: 0.0013857406466990206
Position 8150: 0.0013238563518731983
Position 7455: 0.0012322315285063729
Position 10421: 0.0012163773953381817
Position 6181: 0.0012005277533178964
Position 6644: 0.000853744876171298
Position 2850: 0.0008453828042939818
Position 4008: 0.0007736261058775048
Position 5201: 0.0007721541950966044
Position 6385: 0.0006525973930068277
Position 5094: 0.0006481899206660897
Position 6567: 0.0006198314455466166
Position 6861: 0.0006119115092647078
Position 3247: 0.0005668752485431809
Position 7186: 0.0005353036260315892
