Gene = Patsas
index = 1360
Annotated 5SS: [1791]
Annotated 3SS: [1845]
SMsplice 5SS: [1791]
SMsplice 3SS: [1845]
top_k =  1000
Partition function (log Z): -7.926448425881696

Sorted 5' Splice Sites (High to Low Probability):
Position 1791: 0.9932197061123591
Position 2127: 0.32319062101630275
Position 477: 0.1382314228632048
Position 237: 0.024068466649140353
Position 682: 0.013807854481940872
Position 1406: 0.012967123587837193
Position 1158: 0.009924062732363842
Position 818: 0.007140776758373864
Position 562: 0.0029635753833420764
Position 1562: 0.0027902125552570546
Position 265: 0.002585032964275816
Position 1198: 0.0024482774348168184
Position 1021: 0.002363568692173778
Position 1031: 0.002202624749254342
Position 519: 0.002139902689653792
Position 1137: 0.0019841780876997312
Position 2205: 0.0017734767563102273
Position 2083: 0.0012210436790305358
Position 1148: 0.0011364186225849156
Position 441: 0.0011199960595542405
Position 115: 0.0009791745145812604
Position 1768: 0.0008664710823495165
Position 1286: 0.000681056719374685
Position 548: 0.0006705840031028345
Position 123: 0.0006604371640491968
Position 528: 0.0005739434010062978
Position 403: 0.0005177759246349898
Position 247: 0.00037518880109876197
Position 423: 0.00037005660004724893
Position 466: 0.0003180582697908082
Position 103: 0.0002102870659745071
Position 1457: 0.00020516457206185294
Position 184: 0.00019593317755759766
Position 744: 0.00016457650876235748
Position 1188: 0.00015787160582166366
Position 1362: 0.00014826431004329174
Position 2138: 0.00013903992597840908
Position 2143: 0.00013894458394606403
Position 1134: 0.00013068139222956727
Position 731: 0.0001304192208836596
Position 2356: 0.00012007481517110861
Position 269: 9.930822027537451e-05
Position 738: 8.81096308661802e-05
Position 267: 7.530518069535536e-05
Position 950: 7.223591579019005e-05
Position 1517: 6.90911904334054e-05
Position 914: 5.316667279069365e-05
Position 2184: 5.1675338116544856e-05
Position 676: 4.796882185553407e-05
Position 388: 4.769606510702772e-05
Position 2323: 4.5463127946254186e-05
Position 2276: 4.380470254283916e-05
Position 1420: 4.048337468547904e-05
Position 481: 3.951613825678518e-05
Position 735: 3.875012796146275e-05
Position 1297: 3.745392362258676e-05
Position 415: 3.735919628180898e-05
Position 2096: 3.729192100775949e-05
Position 566: 3.652893350537202e-05
Position 218: 3.481773351804773e-05
Position 1169: 3.440320605149823e-05
Position 826: 3.098904495055569e-05
Position 1174: 2.888299992289309e-05
Position 691: 2.373419902074868e-05
Position 1367: 2.3075296136352435e-05
Position 1046: 2.236342752779915e-05
Position 1035: 2.014456616730041e-05
Position 54: 1.9566135825300187e-05
Position 1749: 1.6846956174041187e-05
Position 2358: 1.4813687898623679e-05
Position 1055: 1.44684255066254e-05
Position 580: 1.3357258604291596e-05
Position 724: 1.2941556266884645e-05
Position 713: 1.2538960324911674e-05
Position 2197: 1.2198675124718075e-05
Position 1795: 1.1228341377683485e-05
Position 27: 1.0847184854671847e-05
Position 1244: 9.412093742759634e-06
Position 1263: 8.819002737830887e-06
Position 624: 8.498149159436498e-06
Position 309: 7.56443003325492e-06
Position 199: 7.3816978103892805e-06
Position 1106: 7.207837036496564e-06
Position 2087: 6.208252116563561e-06
Position 560: 5.367473895314838e-06
Position 960: 4.643986787759631e-06
Position 1754: 3.809427044299694e-06
Position 1628: 2.522965344359609e-06
Position 1898: 1.3982761375874374e-06
Position 1640: 1.1348160691273445e-06
Position 1949: 9.478282271112024e-07
Position 1485: 7.178936707276701e-07
Position 2378: 3.43177502044419e-07
Position 275: 2.567900046059787e-07
Position 1631: 2.2399095195763517e-07
Position 1698: 1.6663748087804722e-07
Position 1981: 1.4914851361489098e-07
Position 1728: 1.4120047395812877e-07
Position 1551: 1.2014535569980852e-07
Position 1884: 7.217423572355411e-08
Position 1571: 7.064872733124886e-08
Position 1566: 5.2037042470343795e-08
Position 1752: 5.1513951833357324e-08
Position 1608: 4.3934615272787744e-08
Position 207: 3.141588774524936e-08
Position 62: 1.999000901646126e-08
Position 540: 1.9325752063893685e-08
Position 312: 1.7987712141876632e-08
Position 59: 5.027115095802191e-09
Position 64: 3.3365992930499814e-09
Position 1313: 2.0529813713958542e-09
Position 1016: 5.384808053874132e-10
Position 768: 3.0041053848152834e-10
Position 762: 1.2135145156120083e-10
Position 1653: 2.696437752505471e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1845: 0.9924075746925713
Position 2184: 0.2070809411282583
Position 1510: 0.18126096170796
Position 2196: 0.0977557007107486
Position 2416: 0.020134650075074336
Position 689: 0.014678954534605802
Position 743: 0.006844507069820987
Position 1420: 0.005742423110893873
Position 718: 0.0048278801511630375
Position 1624: 0.0042430705161258025
Position 509: 0.0030244952713318674
Position 1188: 0.0015791813938715819
Position 1115: 0.0015678501342081565
Position 629: 0.0014839655521353195
Position 2286: 0.0014518959079286445
Position 2311: 0.0014330745066412943
Position 912: 0.001264666815094433
Position 2156: 0.0010142595408990287
Position 1451: 0.0009244128303195873
Position 755: 0.0009078431703642519
Position 1375: 0.000907215842688208
Position 1896: 0.0007879838074656183
Position 2252: 0.0006925990889180977
Position 548: 0.0006148999515446865
Position 1516: 0.0004951795112779312
Position 1055: 0.0004940902155918361
Position 1935: 0.0003880950780315781
Position 177: 0.00030456258402146175
Position 2276: 0.0002745893618294531
Position 1478: 0.00025802012593432365
Position 1475: 0.0002564438299608508
Position 2042: 0.00019836974933549865
Position 2446: 0.00014896071805288553
Position 597: 0.00012327184011249096
Position 574: 0.00010644072890430144
Position 1881: 9.706731048679498e-05
Position 974: 7.882612541680415e-05
Position 1618: 5.886081793015484e-05
Position 2365: 4.8124189559057526e-05
