Gene = Acp76A
index = 12
Annotated 5SS: [994]
Annotated 3SS: [1062]
SMsplice 5SS: [994]
SMsplice 3SS: [1062]
top_k =  1000
Partition function (log Z): -6.967910891904148

Sorted 5' Splice Sites (High to Low Probability):
Position 994: 0.9558232677972415
Position 718: 0.16359081351789015
Position 685: 0.04845876360861797
Position 389: 0.03457251660441278
Position 357: 0.012708015853088603
Position 15: 0.0089016703231601
Position 187: 0.002290464864478775
Position 396: 0.0013722365073235835
Position 1197: 0.0011834066730482228
Position 312: 0.0009797760389260019
Position 366: 0.0009404834525943318
Position 1009: 0.0007458570492301372
Position 510: 0.0006650603774530025
Position 72: 0.0006115647550363646
Position 408: 0.00042716949523280656
Position 745: 0.0004102813946394884
Position 1107: 0.0002498210343701542
Position 488: 0.00020206329088787365
Position 437: 0.00019244278384276925
Position 457: 0.00014293845223488916
Position 474: 0.00011316104475770111
Position 123: 0.00010935748957312857
Position 459: 0.00010619245393004663
Position 249: 7.71014875855902e-05
Position 792: 7.259640458977906e-05
Position 988: 6.635095069260304e-05
Position 816: 4.2416734972337726e-05
Position 293: 3.5962424769839107e-05
Position 1149: 2.6988969961409253e-05
Position 38: 2.008163185215025e-05
Position 27: 1.909327037729149e-05
Position 625: 1.659601978817125e-05
Position 1065: 1.0859008686133587e-05
Position 1158: 7.832911810284007e-06
Position 1100: 7.181545654768277e-06
Position 722: 5.907350906058867e-06
Position 914: 5.4517636685174626e-06
Position 899: 3.6329118524313153e-06
Position 134: 3.290753514300398e-06
Position 954: 3.1760293565346315e-06
Position 180: 2.608836769754489e-06
Position 653: 2.5617746747643723e-06
Position 32: 2.076309639589387e-06
Position 320: 1.8243780723719645e-06
Position 1162: 1.4774988974737925e-06
Position 318: 1.3322065715977193e-06
Position 1068: 9.380947797458717e-07
Position 531: 8.64838998842489e-07
Position 352: 6.435463516613517e-07
Position 132: 6.021467742447112e-07
Position 1021: 5.034854791995293e-07
Position 440: 3.4014871441961724e-07
Position 582: 2.1284913321761087e-07
Position 627: 1.162724412044539e-10
Position 647: 1.610804391824669e-11
Position 1122: 1.1506156301050376e-11
Position 665: 2.3892718126966913e-13
Position 747: 1.465762582873978e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1062: 0.9732491734350198
Position 785: 0.1567025012107066
Position 894: 0.03832940034293182
Position 1065: 0.01768184401480436
Position 906: 0.011421783727257552
Position 564: 0.010410299217330393
Position 842: 0.006804133028138739
Position 744: 0.003162873149153852
Position 993: 0.0016223488608988449
Position 237: 0.0015281523995849186
Position 480: 0.001316789864289051
Position 927: 0.0012806233401452065
Position 1258: 0.0012370632028366078
Position 485: 0.00100412536333558
Position 1136: 0.0009862580328431618
Position 812: 0.0009410090306136385
Position 615: 0.0007254472565535014
Position 103: 0.0007038320270662109
Position 132: 0.0006624746391500572
Position 144: 0.0005844465315944526
Position 347: 0.0004488163557950742
Position 513: 0.0004478778567081514
Position 241: 0.0004262930530731052
Position 1158: 0.0004177638230765566
Position 574: 0.0004032171825265516
Position 758: 0.00037065362687747336
Position 1068: 0.0003332723525733882
Position 566: 0.00031187751955763813
Position 176: 0.00028786367600525277
Position 1091: 0.0001825304889960559
Position 520: 0.00018249216188882797
Position 91: 0.00012687141482892053
Position 205: 0.0001263271972386372
Position 161: 0.00010743445414255779
Position 412: 0.00010175631448750157
Position 845: 9.503559329822473e-05
Position 482: 8.12215074994611e-05
Position 114: 5.392761791097108e-05
Position 1179: 5.164795076354481e-05
Position 275: 4.310169564563837e-05
Position 488: 4.152906440165268e-05
Position 1107: 4.04718009109953e-05
Position 180: 3.3118369033752846e-05
Position 404: 3.285837474903716e-05
Position 1142: 3.0606893842641374e-05
Position 1211: 2.672471046230426e-05
Position 245: 1.5190999873111226e-05
Position 299: 1.381317931524033e-05
Position 279: 1.0045190806901603e-05
Position 268: 6.880227272010832e-06
Position 531: 6.845133600006357e-06
Position 208: 5.844508812323573e-06
Position 293: 4.6455770441084916e-06
Position 739: 3.8633423029908925e-06
Position 684: 3.3367680353735565e-06
Position 311: 2.9111267748284345e-06
Position 1229: 1.2991900169851177e-06
Position 249: 1.1933724652100668e-06
Position 389: 9.142772592075314e-07
Position 1197: 9.027139292411774e-07
Position 326: 1.1654215028245346e-07
Position 286: 6.120155767041107e-08
Position 386: 4.258170658468491e-08
Position 116: 3.433424167473671e-08
Position 677: 1.3208875390349128e-08
Position 187: 5.6384355308295546e-09
Position 318: 2.426794101700202e-09
Position 365: 1.893175426831694e-11
Position 379: 3.884533951659798e-13
