Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  1000
Partition function (log Z): -3.7957152197395976

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.9741059290490173
Position 266: 0.8072163474607663
Position 2361: 0.11743352367393128
Position 3528: 0.07899893184632419
Position 217: 0.03433568611783686
Position 1118: 0.028363643018604272
Position 2079: 0.020560472479119418
Position 48: 0.01687627894795701
Position 716: 0.013547390979486373
Position 3050: 0.01177573574803443
Position 3256: 0.011651250931398061
Position 3343: 0.008793693038933513
Position 230: 0.00701970492789764
Position 560: 0.006521908497868066
Position 558: 0.005975380205907633
Position 2833: 0.005549768424805591
Position 1009: 0.0049574769200466775
Position 645: 0.004845131756471512
Position 562: 0.0048282570625955805
Position 988: 0.004802707498598314
Position 813: 0.004412140397518936
Position 637: 0.004246286636152445
Position 564: 0.003802019694095215
Position 595: 0.0030587538151579225
Position 566: 0.002738926990901134
Position 296: 0.002553147529672727
Position 3137: 0.002450228214029748
Position 641: 0.0020444367260434447
Position 2294: 0.0017250755291194112
Position 639: 0.0016959855514280273
Position 1126: 0.0016161678319398139
Position 1272: 0.0016006194082091268
Position 1114: 0.0014501210187162763
Position 1417: 0.0013715195989046829
Position 2873: 0.0011384210511029822
Position 581: 0.0010970443115477008
Position 2475: 0.0010078843375466153
Position 886: 0.0009323059726708976
Position 991: 0.0009120713902674489
Position 3323: 0.0009089406281704371
Position 1027: 0.0008840685455627325
Position 3003: 0.0008556434780513338
Position 1479: 0.0006901372654858684
Position 1013: 0.0006859330463895543
Position 326: 0.00067106006287346
Position 3266: 0.000619104509914883
Position 1170: 0.0005420504090811551
Position 2533: 0.0005293747755101537
Position 1188: 0.0004919431946512073
Position 508: 0.0004068493313418197
Position 3428: 0.0004062363428784517
Position 1366: 0.0003604398754798889
Position 165: 0.000343663177333216
Position 430: 0.0003257815404577501
Position 903: 0.0002752697873717833
Position 1914: 0.00026987743319432803
Position 625: 0.0002640142652060268
Position 702: 0.0002639967963954453
Position 3475: 0.00020184338519561572
Position 2546: 0.0001801284575594076
