Gene = Dref
index = 1137
Annotated 5SS: [1470 1854 2302]
Annotated 3SS: [1560 1913 2361]
SMsplice 5SS: [1470 1854 2302]
SMsplice 3SS: [1560 1913 2361]
top_k =  1000
Partition function (log Z): 3.5175087176563298

Sorted 5' Splice Sites (High to Low Probability):
Position 2302: 0.9952482532348785
Position 1854: 0.9808550145735947
Position 1470: 0.9741067146693809
Position 391: 0.05462773966031665
Position 71: 0.031096613407316075
Position 1590: 0.018397420448023862
Position 1486: 0.017309639552399878
Position 1249: 0.017272209904707382
Position 494: 0.015045928468122879
Position 193: 0.011887531235647963
Position 449: 0.010438757734549945
Position 2638: 0.004751912261591404
Position 1851: 0.004493705873169976
Position 2979: 0.004285109141931079
Position 95: 0.004162819278020847
Position 1748: 0.003441173670633269
Position 515: 0.0027159521544982182
Position 875: 0.00249877949042081
Position 91: 0.002469054550468428
Position 910: 0.002338978196762174
Position 536: 0.0021866618435136083
Position 1253: 0.0020797243550279773
Position 1707: 0.0019274970183298821
Position 1040: 0.0019085317390863641
Position 657: 0.001869818240108019
Position 2741: 0.0016586997191848263
Position 45: 0.0014815722930731415
Position 1326: 0.001397403449461921
Position 1072: 0.0011956058341830382
Position 52: 0.0011165995250622584
Position 2703: 0.0009802174446726633
Position 1997: 0.0008447003213896985
Position 512: 0.000794677645762538
Position 427: 0.0007865153493952913
Position 662: 0.0007810654492821103
Position 6: 0.0007714648932287891
Position 829: 0.0005876948625699464
Position 1827: 0.0005793880578363322
Position 2568: 0.0005366089590826296
Position 2865: 0.00048656894460513087
Position 144: 0.00044593242212793294
Position 287: 0.0004161287230410422
Position 1089: 0.0003946753441856177
Position 356: 0.00037904615443063545
Position 2460: 0.00021213065612472347
Position 2271: 0.00020214925082852577
Position 2684: 0.0001763433583021797
Position 1653: 0.00017090191709156756
Position 121: 0.00016576411823398895
Position 2495: 0.00016439539916895582
Position 2856: 0.00016271290258559472
Position 2838: 0.00014951771555195444
Position 2873: 0.00014283642694491621
Position 2306: 0.00013351175450158033
Position 2297: 0.0001316680871082699
Position 2554: 0.00011811609567640313
Position 2160: 0.00011458519313950482
Position 1698: 0.00011312663378706963
Position 2164: 9.830575567107162e-05
Position 2108: 9.672144145446867e-05
Position 2492: 9.38993554502266e-05
Position 2565: 9.127449485139556e-05
Position 1474: 8.776945339216593e-05
Position 233: 7.971262690217381e-05
Position 1061: 7.357276680003111e-05
Position 2073: 7.253673726105873e-05
Position 1700: 6.999079824721235e-05
Position 526: 6.941035267552367e-05
Position 1721: 6.279782809709684e-05
Position 707: 6.222676822824176e-05
Position 842: 5.961146090260014e-05
Position 1180: 5.4466935064538226e-05
Position 2546: 5.3157777636199086e-05
Position 1333: 5.262145436051295e-05
Position 1603: 5.1479898279293356e-05
Position 2358: 4.284363046073388e-05
Position 1809: 4.1334269530637495e-05
Position 2791: 3.4701326900909945e-05
Position 2756: 3.263628337456102e-05
Position 1898: 3.202347693233175e-05
Position 177: 3.0535266653155995e-05
Position 4: 2.487550383177132e-05
Position 896: 2.432439303360426e-05
Position 2180: 1.9850829430372503e-05
Position 170: 1.923217337208522e-05
Position 290: 1.872679474639315e-05
Position 1787: 1.3108382331507034e-05
Position 2258: 1.3037296093675952e-05
Position 1843: 1.2706128046885708e-05
Position 403: 1.0482204074940593e-05
Position 1348: 1.037256472643882e-05
Position 2480: 9.989067210897054e-06
Position 364: 9.618178887607455e-06
Position 1763: 8.632961971053179e-06
Position 1612: 8.397669567728652e-06
Position 528: 5.441249237120868e-06
Position 401: 4.680055987289694e-06
Position 1632: 4.258266461015238e-06
Position 1900: 3.977434333036971e-06
Position 2463: 3.935694749623641e-06
Position 1878: 3.918950249808233e-06
Position 2432: 3.2389839757151684e-06
Position 1954: 2.4660637946954527e-06
Position 2383: 2.464054699508292e-06
Position 2284: 2.3795709981947575e-06
Position 718: 2.319021970207847e-06
Position 172: 2.277093091849046e-06
Position 2556: 2.0178574498388797e-06
Position 1083: 1.8430093681329902e-06
Position 1319: 1.442314756312817e-06
Position 2244: 1.0789672580182e-06
Position 570: 9.973117831015927e-07
Position 1952: 9.888038105572967e-07
Position 2931: 9.85492204712561e-07
Position 635: 9.661512141744168e-07
Position 2362: 8.440776841189315e-07
Position 1343: 8.401772780345268e-07
Position 2808: 8.041893149486778e-07
Position 2754: 7.309072070969217e-07
Position 1577: 6.470162086858092e-07
Position 2427: 4.937964085141646e-07
Position 1106: 4.757712326651771e-07
Position 929: 4.508337387547916e-07
Position 1933: 4.2523242321850057e-07
Position 1364: 3.879392065600167e-07
Position 1259: 2.8865864455191507e-07
Position 998: 2.6933981170117435e-07
Position 692: 2.6539191118720113e-07
Position 1609: 2.429901944943647e-07
Position 1616: 2.1844387206990055e-07
Position 1887: 1.8523015317198257e-07
Position 613: 1.5967247764241473e-07
Position 679: 1.5648066963425462e-07
Position 1672: 1.1487126609197917e-07
Position 1101: 1.0473389980169446e-07
Position 963: 7.931549672353393e-08
Position 371: 4.7740325705133495e-09
Position 2247: 3.636814816167027e-09
Position 2274: 2.9412804022329858e-09
Position 601: 1.5217638147479743e-09
Position 945: 1.43935013108439e-09
Position 776: 1.1961701955224543e-09
Position 1584: 1.0672906459090502e-09
Position 2058: 8.967873410492248e-10
Position 2202: 6.452933111252379e-10
Position 2197: 3.2356267663649406e-10
Position 2641: 2.8465554913490774e-10
Position 1775: 7.882584028358562e-11
Position 2226: 1.8765163750543256e-11
Position 2375: 1.0593300529691922e-13
Position 2056: 7.994338395806254e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1560: 0.9974956351142167
Position 2361: 0.965793799716531
Position 1913: 0.9530896163686541
Position 583: 0.048670322921907656
Position 335: 0.036947258663624326
Position 508: 0.027632446926455955
Position 1309: 0.022280968505304075
Position 2383: 0.02080184148680494
Position 1982: 0.020124592999869052
Position 1652: 0.019940010134292294
Position 1267: 0.007052549661121416
Position 2066: 0.0068668055325244465
Position 2408: 0.005554914270083826
Position 2776: 0.0053525938432784645
Position 3029: 0.005278433034502042
Position 2808: 0.0048441512365139236
Position 1957: 0.004140679138424479
Position 338: 0.0040479334562080575
Position 2056: 0.0034964053982213155
Position 1124: 0.001803430913135496
Position 207: 0.001625491830109771
Position 1763: 0.0015682935249940772
Position 132: 0.001492367770368086
Position 1106: 0.0014563890847473266
Position 1994: 0.0014406142738465552
Position 796: 0.001439192291758515
Position 1281: 0.0013257460014614347
Position 281: 0.0011044856128562396
Position 2913: 0.000977149869500036
Position 249: 0.0008991667939002954
Position 439: 0.0008948117121221868
Position 1225: 0.0008404914372731103
Position 2828: 0.000725701268060065
Position 139: 0.0006903292082440319
Position 526: 0.0006837416207162536
Position 773: 0.0006489214874342544
