Gene = pim
index = 1837
Annotated 5SS: [150 537]
Annotated 3SS: [212 599]
SMsplice 5SS: [150 537]
SMsplice 3SS: [212 599]
top_k =  1000
Partition function (log Z): 1.4875558463669551

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.9937799035484849
Position 537: 0.9930762843951778
Position 418: 0.07331094799196841
Position 273: 0.012196468834472165
Position 413: 0.010990603045774712
Position 888: 0.0018677454317583616
Position 164: 0.001748026794788271
Position 824: 0.0014843420581791174
Position 345: 0.0010072122531736727
Position 541: 0.0006278201100811471
Position 287: 0.00043675384035720804
Position 392: 0.0002890420873742996
Position 865: 0.00021295971856102023
Position 254: 0.00014467968729141702
Position 961: 0.00013402435277954392
Position 516: 9.461665718347098e-05
Position 850: 4.83166327559047e-05
Position 181: 3.635190272128881e-05
Position 389: 2.2294380044183596e-05
Position 896: 1.6785634839680952e-05
Position 868: 1.6037165467645803e-05
Position 154: 1.30608326291564e-05
Position 14: 1.1482980206168557e-05
Position 842: 9.536448242769958e-06
Position 185: 8.28427361048461e-06
Position 348: 7.638935079960113e-06
Position 616: 5.085652576406069e-06
Position 452: 4.4618407204704265e-06
Position 984: 8.492784949256498e-07
Position 175: 6.522784228248637e-07
Position 239: 6.121287154708922e-07
Position 484: 4.942143110947086e-07
Position 476: 4.824800058346399e-07
Position 473: 3.887393062543204e-07
Position 576: 1.996805839487922e-07
Position 316: 1.9389232017295433e-07
Position 965: 1.5460538280668536e-07
Position 922: 1.2009744133958547e-07
Position 940: 1.1600915343315343e-07
Position 23: 9.843359653092409e-08
Position 212: 4.667438912527647e-08
Position 602: 4.374178511869273e-08
Position 179: 3.825288566351104e-08
Position 1019: 3.4377824165513e-08
Position 1022: 2.716263847315431e-08
Position 588: 1.211204541085289e-08
Position 585: 6.507165469378658e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 212: 0.9943610716423843
Position 599: 0.9924912370142539
Position 471: 0.08363905383785736
Position 324: 0.007418110028564867
Position 343: 0.004718655254738946
Position 952: 0.0019308823410484923
Position 883: 0.0017293424236685714
Position 608: 0.001208981889281549
Position 585: 0.001051420291799141
Position 262: 0.0006696240590307992
Position 348: 0.00040779718900093155
Position 399: 0.00031145055654237974
Position 699: 0.00020350420127045508
Position 218: 0.0001910385318809026
Position 1019: 0.00013224006903337629
Position 1022: 0.0001290119077682147
Position 887: 0.00011832767638684417
Position 716: 0.00011573367693968849
Position 373: 9.074090877980335e-05
Position 1051: 8.157714614933895e-05
Position 1028: 6.563674411035105e-05
Position 196: 6.539867422819691e-05
Position 932: 6.51799485188032e-05
Position 432: 6.333558596407433e-05
Position 749: 6.100924391014226e-05
Position 868: 5.486317338768807e-05
Position 396: 4.8245880552444656e-05
Position 961: 4.1875095954393175e-05
Position 835: 3.906566054160334e-05
Position 531: 3.5383069628800836e-05
Position 511: 1.5165289866847411e-05
Position 629: 1.1353376312917925e-05
Position 523: 8.982472895858065e-06
Position 1041: 8.005514440408589e-06
Position 473: 4.551356046421699e-06
Position 417: 3.6086961775614213e-06
Position 641: 2.5243542288636516e-06
Position 358: 2.4916058887717637e-06
Position 1086: 2.151779917064093e-06
Position 610: 1.5718637496189183e-06
Position 65: 1.4244524000626667e-06
Position 934: 8.064177095242634e-07
Position 239: 6.994890991808196e-07
Position 850: 6.895675441881571e-07
Position 118: 5.248173076920833e-07
Position 815: 4.783029781399405e-07
Position 767: 2.766835208694461e-07
Position 535: 1.7585067111133078e-07
Position 163: 2.178096545016173e-08
Position 413: 1.5270750324366236e-08
Position 409: 1.0011691900294162e-08
Position 185: 5.851529346485958e-09
Position 130: 3.049327817167196e-09
Position 154: 1.3247174306643045e-10
