Gene = Ndfip
index = 1313
Annotated 5SS: [289]
Annotated 3SS: [5033]
SMsplice 5SS: [289]
SMsplice 3SS: [5033]
top_k =  1000
Partition function (log Z): -11.294567645144882

Sorted 5' Splice Sites (High to Low Probability):
Position 3450: 0.7270514999042972
Position 289: 0.6433170658283354
Position 3722: 0.3360838503758277
Position 1344: 0.2960429078098351
Position 1825: 0.2827274267369326
Position 465: 0.06255651791560371
Position 59: 0.044456894253976614
Position 6405: 0.04029965190231255
Position 4903: 0.0360611618186144
Position 5144: 0.028541645395994384
Position 3954: 0.025864015818588056
Position 4047: 0.024902947322029922
Position 3274: 0.02392523904280424
Position 475: 0.02222535849845595
Position 4297: 0.01816480792810068
Position 473: 0.016256986645098528
Position 219: 0.013123971263355239
Position 631: 0.011344834838419332
Position 469: 0.010253556942840988
Position 1603: 0.009064256211040967
Position 1680: 0.008219553724618398
Position 161: 0.008128351261992661
Position 4841: 0.007123563465427808
Position 4270: 0.005599804764004825
Position 1875: 0.005179133267004613
Position 5767: 0.005036629092556591
Position 5300: 0.004784687326011632
Position 5290: 0.00433870013421445
Position 4899: 0.003983951144172964
Position 2510: 0.0038350114624714155
Position 3985: 0.003813268510787776
Position 479: 0.0031016294003494735
Position 3565: 0.002507691691107955
Position 4022: 0.002475759941977401
Position 349: 0.0017472288576499272
Position 544: 0.0017392194862369832
Position 2506: 0.0015243397456344322
Position 1174: 0.0014522566536875833
Position 4120: 0.001424894614960013
Position 1831: 0.0013728748687532686
Position 776: 0.0012165721120596493
Position 4559: 0.0010499125309269988
Position 600: 0.0006716511603178133
Position 5882: 0.0005973394067355458
Position 4040: 0.0005677230829891728
Position 5871: 0.0004880449833720632
Position 2019: 0.00047805670261840305
Position 1660: 0.00041866904566845376
Position 766: 0.00038740674325365786
Position 28: 0.0003844936990789221
Position 462: 0.00037841458252976096
Position 3544: 0.0003452249028477541
Position 1771: 0.00030345984330520145
Position 770: 0.0002762349061562964
Position 1637: 0.00025629648727856953
Position 4241: 0.0002315829246406413
Position 1246: 0.0002195700429678964
Position 1374: 0.00021420142089203899
Position 594: 0.00019552010445656872
Position 3736: 0.0001770270985920451
Position 1495: 0.0001450754427908395
Position 150: 9.568308418527003e-05
Position 94: 3.834161965728172e-05
Position 1587: 3.435807455260132e-05
Position 89: 3.43019605263918e-05
Position 1607: 3.212504804477383e-05
Position 1052: 3.1184450798873984e-05
Position 598: 2.230277488499947e-05
Position 566: 2.1560759095586723e-05
Position 400: 2.1080451396431936e-05
Position 485: 2.0669975816618676e-05
Position 3880: 1.934902289916807e-05
Position 25: 1.4774389930252315e-05
Position 582: 1.2917835491506654e-05
Position 22: 9.886080645246896e-06
Position 477: 7.836215907306218e-06
Position 2033: 4.804947822153675e-06
Position 653: 3.79566213739364e-06
Position 606: 3.7906365338824703e-06
Position 167: 3.320124914405462e-06
Position 778: 3.2395648080425915e-06
Position 182: 3.0933482132609242e-06
Position 363: 2.650894736662348e-06
Position 68: 2.3621885448139643e-06
Position 1225: 1.5769654825644965e-06
Position 1722: 1.0695437824459896e-06
Position 36: 6.392906996497455e-07
Position 673: 5.598842054764269e-07
Position 1356: 5.330246132435236e-07
Position 159: 5.102679930509749e-07
Position 1239: 3.367996180378914e-07
Position 1530: 2.9995336975866764e-07
Position 165: 4.1131149273419334e-08
Position 493: 1.8671256181069814e-08
Position 487: 1.6988741789807002e-08
Position 498: 1.4564187347391898e-08
Position 130: 9.9555941996369e-09
Position 909: 5.576443273063635e-09
Position 1306: 3.4978221180070772e-09
Position 780: 2.024000394035953e-09
Position 124: 1.907740829035423e-09
Position 592: 5.157870666626281e-10
Position 895: 1.812331465607253e-10
Position 1055: 1.1275078224069242e-10
Position 698: 4.320646378387247e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3520: 0.6781980304069524
Position 5033: 0.5800903423123597
Position 3319: 0.32446709601452145
Position 1400: 0.15167449545427777
Position 354: 0.0963338675521071
Position 3134: 0.077656755697436
Position 529: 0.0723888773291857
Position 4832: 0.07134622600873643
Position 1419: 0.06700213553968963
Position 3131: 0.06058865792485906
Position 3653: 0.0602986163653149
Position 6199: 0.04307260989532878
Position 1738: 0.03983370414285028
Position 6479: 0.03647819750351607
Position 2461: 0.03463570805853794
Position 2503: 0.034364850232742564
Position 3400: 0.03228913037437869
Position 2741: 0.026624186782071534
Position 1824: 0.019216143730925832
