Gene = DCTN5-p25
index = 1120
Annotated 5SS: [140 528]
Annotated 3SS: [227 584]
SMsplice 5SS: [528]
SMsplice 3SS: [584]
top_k =  1000
Partition function (log Z): -2.65551576311173

Sorted 5' Splice Sites (High to Low Probability):
Position 528: 0.9966543469794441
Position 243: 0.04612029565812088
Position 235: 0.025704359031791028
Position 144: 0.002561818218798906
Position 503: 0.0017099702812135228
Position 31: 0.0016370237360726833
Position 442: 0.0008702867737598183
Position 131: 0.0005419114690906763
Position 13: 0.000523962413218869
Position 780: 0.0003920866838178744
Position 36: 6.264896675723176e-05
Position 361: 5.022140345682527e-05
Position 297: 4.936406468406905e-05
Position 258: 3.894160708486241e-05
Position 363: 2.8356111213636046e-05
Position 69: 2.0018873426441626e-05
Position 501: 1.330036597694994e-05
Position 761: 1.023730914431785e-05
Position 220: 9.653885533036107e-06
Position 438: 7.036241348544232e-06
Position 713: 6.910772996489522e-06
Position 303: 4.233594622269076e-06
Position 670: 4.209886952726111e-06
Position 265: 3.896939729736172e-06
Position 342: 2.7068859009056675e-06
Position 395: 2.4570772434913654e-06
Position 381: 2.0727154567879683e-06
Position 615: 1.7029950546003624e-06
Position 545: 1.3028540615446296e-06
Position 697: 1.132891124975023e-06
Position 247: 8.485762112314866e-07
Position 471: 5.897064107133851e-07
Position 456: 5.430370893630753e-07
Position 268: 5.103343127853491e-07
Position 556: 5.038512352415279e-07
Position 474: 2.5705971074364205e-07
Position 595: 1.496506981676429e-07
Position 597: 1.1617102720445077e-07
Position 720: 9.100248666030092e-08
Position 450: 4.319420966203063e-08
Position 654: 4.238587679828256e-08
Position 589: 2.5960001578395633e-08
Position 613: 5.659438519370417e-09
Position 656: 3.1864159315230675e-09
Position 633: 9.135827195852098e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 584: 0.9995693706050999
Position 296: 0.05998367530043724
Position 308: 0.011428504470709387
Position 227: 0.004113365825341898
Position 69: 0.0004149364280676191
Position 837: 0.00041151273397506627
Position 606: 0.0002813870026900997
Position 117: 0.00024475892983933176
Position 409: 0.0001990612402004288
Position 181: 0.00018695565148892153
Position 661: 4.256661504985458e-05
Position 355: 4.059290128028278e-05
Position 645: 2.19524029219486e-05
Position 374: 2.0156405261098796e-05
Position 413: 1.9414490800682008e-05
Position 134: 1.5639666867550883e-05
Position 465: 1.230995515605125e-05
Position 468: 9.0653762131076e-06
Position 737: 8.782670293609324e-06
Position 122: 3.64715664781056e-06
Position 247: 3.2663670735531604e-06
Position 471: 3.0665147894614754e-06
Position 243: 2.858748113325007e-06
Position 515: 1.362946886038162e-06
Position 761: 6.551378286339674e-07
Position 188: 6.016004468663271e-07
Position 792: 4.0261774333286294e-07
Position 784: 1.5783374756420525e-07
Position 623: 5.6736690089927444e-08
Position 704: 3.611961665878649e-08
Position 190: 2.6200563849133894e-08
Position 144: 2.473255839052246e-08
Position 695: 5.7220448731489325e-09
Position 310: 5.059347160816209e-09
Position 682: 4.20179978210434e-09
Position 773: 3.360097386127778e-09
Position 743: 2.5239779331416546e-09
Position 798: 1.6678097278863371e-09
Position 532: 8.814255639248406e-10
Position 528: 8.0875549308474e-10
Position 136: 6.594493955799208e-10
Position 802: 1.4601973479920732e-10
Position 446: 4.710474498857894e-11
