Gene = ghi
index = 1715
Annotated 5SS: [158 295]
Annotated 3SS: [248 421]
SMsplice 5SS: [158]
SMsplice 3SS: [248]
top_k =  1000
Partition function (log Z): -6.625795832775301

Sorted 5' Splice Sites (High to Low Probability):
Position 158: 0.8127176505778481
Position 295: 0.3512292554101193
Position 6: 0.14277829948361412
Position 21: 0.11087961737100316
Position 162: 0.017123435830084813
Position 275: 0.0038676904076707973
Position 559: 0.0032378603936253528
Position 10: 0.003236520564460693
Position 267: 0.0018785258190127249
Position 598: 0.0010922998437766613
Position 339: 0.0009295074768330408
Position 168: 0.0008505745111497413
Position 139: 0.0006156214189650544
Position 301: 0.0004455467997328683
Position 456: 0.0004033496082148172
Position 817: 0.00030695245455387185
Position 602: 0.00030094078063926485
Position 311: 0.0002685849087281289
Position 637: 0.00020279390811404113
Position 361: 0.00018508833798058053
Position 260: 0.00017506465160771584
Position 62: 0.00013829212988172819
Position 848: 0.00013809981121902417
Position 509: 0.00012963131825997188
Position 436: 0.00011617371506508077
Position 132: 0.00011548200547318877
Position 395: 7.147347574808475e-05
Position 249: 6.624178734341478e-05
Position 643: 4.983883177492517e-05
Position 538: 4.041095794979762e-05
Position 831: 2.574104405514266e-05
Position 411: 1.4387747875454504e-05
Position 142: 1.4330498248585837e-05
Position 299: 1.1815579489876977e-05
Position 834: 9.459432170979657e-06
Position 841: 6.94200206394564e-06
Position 119: 3.5635521437932093e-06
Position 607: 2.5724506067716895e-06
Position 713: 1.9065987965669869e-06
Position 614: 1.180822291083669e-06
Position 810: 1.0290806206751823e-06
Position 80: 8.374917555855238e-07
Position 448: 6.999746752981701e-07
Position 820: 5.788019010490059e-07
Position 78: 3.273541283723766e-07
Position 707: 1.0238453230227123e-07
Position 852: 9.003821419129428e-08
Position 66: 2.1756124137597537e-08
Position 424: 2.0812041161596386e-09
Position 600: 8.184304665693737e-10
Position 472: 3.3469996537971903e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 248: 0.696528026027588
Position 421: 0.4753387846723225
Position 78: 0.2542127240855935
Position 393: 0.010051101704790953
Position 632: 0.007359936282799826
Position 710: 0.0032700380318342686
Position 323: 0.001846183807066018
Position 339: 0.0015132615063670652
Position 579: 0.0013907941441747317
Position 509: 0.000663716097270128
Position 201: 0.0005798745518349853
Position 892: 0.00045781988705873765
Position 902: 0.00011128015854112773
Position 544: 9.671355100808415e-05
Position 132: 9.46618368668633e-05
Position 716: 8.038510546845204e-05
Position 590: 3.418142302869619e-05
Position 375: 2.0375491635187456e-05
Position 558: 1.403565510085206e-05
Position 820: 6.114808449425032e-06
Position 831: 3.9449958362756305e-06
Position 275: 3.4402203051549426e-06
Position 733: 2.977179351984019e-06
Position 768: 2.1637860186985856e-06
Position 799: 1.6007782327285314e-06
Position 257: 1.2213804667546375e-06
Position 299: 4.7061182874654436e-07
Position 852: 3.68573195740903e-07
Position 828: 2.1349280020618858e-07
Position 281: 3.027221301013245e-09
Position 538: 7.244447669165627e-10
Position 198: 5.34746819510803e-10
