Gene = gdl-ORF39
index = 1713
Annotated 5SS: [437 787]
Annotated 3SS: [ 491 1159]
SMsplice 5SS: [437 787]
SMsplice 3SS: [ 501 1159]
top_k =  1000
Partition function (log Z): -4.480511593151766

Sorted 5' Splice Sites (High to Low Probability):
Position 437: 0.9925549134438078
Position 787: 0.3597299182848713
Position 973: 0.07773174892826892
Position 962: 0.06686565673319128
Position 199: 0.037388241495662645
Position 204: 0.03601001841458015
Position 571: 0.025098350838505964
Position 835: 0.02078729966317804
Position 565: 0.012263135766477754
Position 171: 0.011332598649159503
Position 839: 0.008628639953922854
Position 1306: 0.0046352691548406984
Position 259: 0.0037493639053507877
Position 1036: 0.0032942926278145567
Position 175: 0.003139726915892061
Position 645: 0.0030477780604717874
Position 696: 0.001542172425933894
Position 7: 0.0011283223762146477
Position 871: 0.0005835460296074197
Position 750: 0.0005694791358638636
Position 814: 0.0005158313172186759
Position 319: 0.0004240983808562427
Position 666: 0.0002993462146793442
Position 542: 0.00027027883351222966
Position 811: 0.000244309358042553
Position 933: 0.00013777835838977767
Position 148: 8.113561141621876e-05
Position 334: 4.411971099611059e-05
Position 658: 4.376170735749545e-05
Position 544: 3.723480602812935e-05
Position 106: 2.839756779943733e-05
Position 399: 2.4229732072676366e-05
Position 441: 9.410405510069347e-06
Position 125: 6.748043465235489e-06
Position 342: 4.908897991113599e-06
Position 371: 3.889151187282508e-06
Position 455: 3.873307782843919e-06
Position 1117: 2.9664994552600016e-06
Position 12: 2.1138474192962525e-06
Position 350: 1.6965906991839294e-06
Position 1130: 1.2454155573358202e-06
Position 83: 1.2141759606077328e-06
Position 322: 7.840516784227504e-07
Position 345: 5.753686836829207e-07
Position 101: 5.472511050426442e-07
Position 1269: 4.441706098675877e-07
Position 285: 4.4344239820405307e-07
Position 1160: 3.7214905784375e-07
Position 128: 1.9459019083827171e-07
Position 1246: 9.846505190528812e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1159: 0.6556048543540086
Position 501: 0.4251515901693912
Position 491: 0.3996317524611547
Position 633: 0.05300099804513769
Position 285: 0.049914401761490056
Position 270: 0.03575962249086446
Position 835: 0.014499503186709312
Position 1189: 0.014006142534876002
Position 871: 0.006840413237611681
Position 1359: 0.003993728928617892
Position 318: 0.0034435316769201867
Position 290: 0.0014638648895376623
Position 990: 0.0014143357421301254
Position 1093: 0.001138455913270046
Position 933: 0.0010360628607289214
Position 972: 0.0007849196710022977
Position 1023: 0.0007055409458868426
Position 1369: 0.0006709324580319477
Position 571: 0.0005906466995226794
Position 113: 0.0005672488521457331
Position 608: 0.000491249361427527
Position 888: 0.0004117236590931164
Position 956: 0.0003455305199845483
Position 313: 0.00027657363571229634
Position 577: 0.00016786424661355742
Position 334: 8.314353800416573e-05
Position 148: 7.103478946318318e-05
Position 778: 6.853726732381065e-05
Position 655: 3.7955040252325736e-05
Position 639: 3.509996758033485e-05
Position 658: 2.7859421142550143e-05
Position 961: 8.64553818667148e-06
Position 345: 6.7107016743936525e-06
Position 729: 6.700146681198884e-06
Position 1228: 3.6354903759729453e-06
Position 322: 2.6420087736016918e-06
Position 786: 1.892892402424287e-06
Position 455: 1.1291174852948665e-06
Position 588: 1.045674879804944e-06
Position 168: 8.715967772390175e-07
Position 359: 7.598328844857858e-07
Position 738: 5.936514514378674e-07
Position 338: 5.263664384921412e-07
Position 1231: 5.205626976951121e-07
Position 1306: 4.6366878013225084e-07
Position 155: 4.4001788247814214e-07
Position 645: 2.591426749866034e-07
Position 1334: 2.0641410090956516e-07
Position 342: 1.4298229194302174e-07
Position 1310: 1.016713340103694e-07
Position 356: 7.174840529461144e-08
Position 350: 1.211849675064409e-08
Position 671: 9.924497169104258e-09
Position 696: 8.493633328068957e-09
Position 371: 4.0857717414902225e-09
Position 185: 3.1176634525755725e-09
Position 762: 2.471411922337898e-09
Position 187: 9.226627954408545e-10
Position 693: 5.232565632126355e-10
Position 678: 4.4784036774129133e-10
Position 684: 2.7429408071498035e-10
Position 441: 1.1465335057811654e-10
Position 666: 6.590405219376902e-11
Position 750: 5.715759771556552e-11
Position 199: 4.8716673707019794e-11
Position 437: 8.014822741172814e-12
