Gene = He
index = 1207
Annotated 5SS: [157]
Annotated 3SS: [335]
SMsplice 5SS: [272]
SMsplice 3SS: [335]
top_k =  1000
Partition function (log Z): -6.232654886207944

Sorted 5' Splice Sites (High to Low Probability):
Position 157: 0.5033636664959982
Position 272: 0.4501584621455445
Position 245: 0.04075276441371773
Position 493: 0.0068603549161379935
Position 212: 0.005467169448061989
Position 454: 0.0035918725992090243
Position 161: 0.0022922842446990023
Position 415: 0.0018905768559670437
Position 249: 0.0008916053697037025
Position 481: 0.0008185033910589621
Position 676: 0.0007426207631028955
Position 172: 0.00010924227400046209
Position 49: 0.0001037010867265339
Position 568: 9.028856986082956e-05
Position 39: 8.25305593665578e-05
Position 572: 6.712057961070738e-05
Position 582: 6.579748577617033e-05
Position 28: 3.3014203543730156e-05
Position 96: 1.2631117258646989e-05
Position 637: 8.038072911474955e-06
Position 110: 7.046155890360467e-06
Position 79: 5.699174734681603e-06
Position 648: 1.2170774874831274e-06
Position 125: 8.19043842147953e-07
Position 82: 6.573753070445361e-07
Position 570: 5.585105811841034e-07
Position 603: 5.110438762740119e-07
Position 331: 1.4833443472835616e-07
Position 325: 4.6496816891807026e-08
Position 343: 8.892941756196955e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 335: 0.9151802027850562
Position 372: 0.030803047923577638
Position 603: 0.019478108665198092
Position 402: 0.01615044414890887
Position 271: 0.01253808820140534
Position 307: 0.011254574881508057
Position 210: 0.0042508609855555326
Position 388: 0.0027918253455549084
Position 481: 0.0011706691309718489
Position 337: 0.001122431751630315
Position 740: 0.0007390503836314529
Position 785: 0.0004223903402591377
Position 415: 0.0004196964660390877
Position 521: 0.00020784038602443674
Position 568: 0.0002001390616378867
Position 249: 0.0001614013141316387
Position 543: 0.00013655587794109857
Position 110: 0.00010792936955379978
Position 550: 8.07859023041271e-05
Position 504: 5.942381146647411e-05
Position 450: 4.8531532794642084e-05
Position 143: 3.181750792102228e-05
Position 654: 2.6429019847821266e-05
Position 493: 1.4604968031749386e-05
Position 454: 1.1486555540653976e-05
Position 656: 4.749642662146311e-06
Position 461: 4.194432783087638e-06
Position 509: 1.068151774143176e-06
Position 676: 4.430323053318015e-07
Position 530: 1.4534125150288933e-07
Position 665: 1.97809007250724e-08
